;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;1.0;0.201;0.201;0.085;0.085;0.607;0.607;0.607;0.607;0.154;0.154;0.255;0.255;0.185;0.185;0.154;0.189;0.216;0.216;0.138;0.138;0.216;0.231;0.232
transcript9_ENSXMAG00000026005;1.0;1.0;0.201;0.201;0.085;0.085;0.607;0.607;0.607;0.607;0.154;0.154;0.255;0.255;0.185;0.185;0.154;0.189;0.216;0.216;0.138;0.138;0.216;0.231;0.232
transcript14_ENSAPOG00000016134;0.201;0.201;1.0;1.0;0.728;0.728;0.128;0.128;0.128;0.128;0.743;0.743;0.776;0.776;0.627;0.627;0.744;0.617;0.93;0.917;0.857;0.857;0.93;0.867;0.852
transcript14_ENSAPOG00000023408;0.201;0.201;1.0;1.0;0.728;0.728;0.128;0.128;0.128;0.128;0.743;0.743;0.776;0.776;0.627;0.627;0.744;0.617;0.93;0.917;0.857;0.857;0.93;0.867;0.852
transcript21_ENSAPOG00000016134;0.085;0.085;0.728;0.728;1.0;1.0;0.0;0.0;0.0;0.0;0.719;0.719;0.617;0.617;0.583;0.583;0.72;0.572;0.782;0.645;0.704;0.704;0.782;0.714;0.698
transcript21_ENSPNYG00000024266;0.085;0.085;0.728;0.728;1.0;1.0;0.0;0.0;0.0;0.0;0.719;0.719;0.617;0.617;0.583;0.583;0.72;0.572;0.782;0.645;0.704;0.704;0.782;0.714;0.698
transcript7_ENSAPOG00000023408;0.607;0.607;0.128;0.128;0.0;0.0;1.0;1.0;1.0;1.0;0.169;0.169;0.161;0.161;0.206;0.206;0.169;0.212;0.138;0.136;0.149;0.149;0.138;0.147;0.147
transcript7_ENSAOCG00000015695;0.607;0.607;0.128;0.128;0.0;0.0;1.0;1.0;1.0;1.0;0.169;0.169;0.161;0.161;0.206;0.206;0.169;0.212;0.138;0.136;0.149;0.149;0.138;0.147;0.147
transcript7_ENSPNYG00000024266;0.607;0.607;0.128;0.128;0.0;0.0;1.0;1.0;1.0;1.0;0.169;0.169;0.161;0.161;0.206;0.206;0.169;0.212;0.138;0.136;0.149;0.149;0.138;0.147;0.147
transcript7_ENSXMAG00000026005;0.607;0.607;0.128;0.128;0.0;0.0;1.0;1.0;1.0;1.0;0.169;0.169;0.161;0.161;0.206;0.206;0.169;0.212;0.138;0.136;0.149;0.149;0.138;0.147;0.147
