;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.741;0.787;0.465;0.779;0.844;0.163;0.368;0.919;0.909;0.583;0.583;0.901;0.294;0.683;0.333
ENST00000379697_90_90;0.741;1.0;0.449;0.196;0.491;0.504;0.168;0.383;0.69;0.633;0.359;0.359;0.63;0.335;0.786;0.177
ENST00000379698_90_90;0.787;0.449;1.0;0.567;0.878;0.913;0.17;0.451;0.629;0.769;0.469;0.469;0.668;0.366;0.534;0.208
ENST00000379716_90_90;0.465;0.196;0.567;1.0;0.558;0.548;0.0;0.07;0.432;0.467;0.734;0.734;0.46;0.132;0.236;0.306
ENST00000379726_90_90;0.779;0.491;0.878;0.558;1.0;0.855;0.167;0.409;0.702;0.736;0.45;0.45;0.641;0.344;0.51;0.2
ENST00000397821_90_90;0.844;0.504;0.913;0.548;0.855;1.0;0.163;0.442;0.688;0.736;0.447;0.447;0.731;0.349;0.512;0.198
ENST00000431164_90_90;0.163;0.168;0.17;0.0;0.167;0.163;1.0;0.428;0.173;0.187;0.0;0.0;0.185;0.547;0.244;0.0
ENST00000432234_90_90;0.368;0.383;0.451;0.07;0.409;0.442;0.428;1.0;0.286;0.383;0.066;0.066;0.304;0.641;0.469;0.0
ENSMUST00000073094_90_90;0.919;0.69;0.629;0.432;0.702;0.688;0.173;0.286;1.0;0.819;0.553;0.532;0.94;0.353;0.602;0.324
ENSMUST00000080394_90_90;0.909;0.633;0.769;0.467;0.736;0.736;0.187;0.383;0.819;1.0;0.578;0.553;0.867;0.361;0.747;0.333
ENSMUST00000112451_90_90;0.583;0.359;0.469;0.734;0.45;0.447;0.0;0.066;0.553;0.578;1.0;0.935;0.589;0.09;0.347;0.56
ENSMUST00000112453_90_90;0.583;0.359;0.469;0.734;0.45;0.447;0.0;0.066;0.532;0.553;0.935;1.0;0.564;0.086;0.334;0.525
ENSMUST00000112456_90_90;0.901;0.63;0.668;0.46;0.641;0.731;0.185;0.304;0.94;0.867;0.589;0.564;1.0;0.376;0.635;0.345
ENSMUST00000123433_90_90;0.294;0.335;0.366;0.132;0.344;0.349;0.547;0.641;0.353;0.361;0.09;0.086;0.376;1.0;0.439;0.0
ENSMUST00000141354_90_90;0.683;0.786;0.534;0.236;0.51;0.512;0.244;0.469;0.602;0.747;0.347;0.334;0.635;0.439;1.0;0.162
ENSMUST00000152426_90_90;0.333;0.177;0.208;0.306;0.2;0.198;0.0;0.0;0.324;0.333;0.56;0.525;0.345;0.0;0.162;1.0
