;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;;0.748;0.44;0.761;0.608;0.247;0.756;0.608;0.946;0.785;0.946;0.619;0.285;0.051;0.124
ENST00000360194_90_90;0.748;;;;;;;;0.756;0.608;0.756;0.483;0.257;0.0;0.128
ENST00000525338_90_90;0.44;;;;;;;;0.422;0.508;0.422;0.422;0.336;0.0;0.138
ENST00000528985_90_90;0.761;;;;;;;;0.769;0.619;0.769;0.495;0.263;0.0;0.133
ENST00000529731_90_90;0.608;;;;;;;;0.657;0.773;0.657;0.315;0.379;0.0;0.146
ENST00000530043_90_90;0.247;;;;;;;;0.238;0.175;0.238;0.376;0.238;0.0;0.0
ENST00000533050_90_90;0.756;;;;;;;;0.804;0.657;0.804;0.465;0.314;0.0;0.12
ENST00000627851_90_90;0.608;;;;;;;;0.657;0.773;0.657;0.315;0.379;0.0;0.146
ENSMUST00000059057_90_90;0.946;0.756;0.422;0.769;0.657;0.238;0.804;0.657;;;;;;;
ENSMUST00000063782_90_90;0.785;0.608;0.508;0.619;0.773;0.175;0.657;0.773;;;;;;;
ENSMUST00000121564_90_90;0.946;0.756;0.422;0.769;0.657;0.238;0.804;0.657;;;;;;;
ENSMUST00000125087_90_90;0.619;0.483;0.422;0.495;0.315;0.376;0.465;0.315;;;;;;;
ENSMUST00000133739_90_90;0.285;0.257;0.336;0.263;0.379;0.238;0.314;0.379;;;;;;;
ENSMUST00000214230_90_90;0.051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000217306_90_90;0.124;0.128;0.138;0.133;0.146;0.0;0.12;0.146;;;;;;;
