;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.992;0.994;0.947;0.994;0.992;0.019;0.994;0.099;0.084;0.164;0.199;0.021;0.168;0.618;0.115;0.947;0.116;0.993;0.994;0.994
ENST00000392476_90_90;0.992;1.0;0.994;0.946;0.994;1.0;0.019;0.994;0.099;0.084;0.164;0.199;0.021;0.161;0.619;0.113;0.946;0.115;1.0;0.993;0.992
ENST00000430767_90_90;0.994;0.994;1.0;0.952;1.0;0.994;0.02;1.0;0.099;0.084;0.165;0.2;0.021;0.162;0.623;0.114;0.952;0.116;0.993;1.0;0.997
ENST00000431431_90_90;0.947;0.946;0.952;1.0;0.952;0.946;0.0;0.952;0.052;0.037;0.173;0.21;0.0;0.17;0.575;0.099;1.0;0.069;0.946;0.952;0.95
ENST00000436233_90_90;0.994;0.994;1.0;0.952;1.0;0.994;0.02;1.0;0.099;0.084;0.165;0.2;0.021;0.162;0.623;0.114;0.952;0.116;0.993;1.0;0.997
ENST00000443798_90_90;0.992;1.0;0.994;0.946;0.994;1.0;0.019;0.994;0.099;0.084;0.164;0.199;0.021;0.161;0.619;0.113;0.946;0.115;1.0;0.993;0.992
ENST00000561721_90_90;0.019;0.019;0.02;0.0;0.02;0.019;1.0;0.02;0.197;0.232;0.0;0.0;0.913;0.0;0.031;0.0;0.0;0.169;0.02;0.02;0.02
ENST00000585618_90_90;0.994;0.994;1.0;0.952;1.0;0.994;0.02;1.0;0.099;0.084;0.165;0.2;0.021;0.162;0.623;0.114;0.952;0.116;0.993;1.0;0.997
ENST00000586429_90_90;0.099;0.099;0.099;0.052;0.099;0.099;0.197;0.099;1.0;0.85;0.0;0.209;0.216;0.0;0.159;0.455;0.052;0.855;0.099;0.1;0.099
ENST00000587820_90_90;0.084;0.084;0.084;0.037;0.084;0.084;0.232;0.084;0.85;1.0;0.0;0.149;0.254;0.0;0.135;0.358;0.037;0.727;0.084;0.085;0.085
ENST00000588488_90_90;0.164;0.164;0.165;0.173;0.165;0.164;0.0;0.165;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.173;0.0;0.165;0.165;0.165
ENST00000588616_90_90;0.199;0.199;0.2;0.21;0.2;0.199;0.0;0.2;0.209;0.149;0.0;1.0;0.0;0.262;0.321;0.426;0.21;0.277;0.199;0.2;0.2
ENST00000588880_90_90;0.021;0.021;0.021;0.0;0.021;0.021;0.913;0.021;0.216;0.254;0.0;0.0;1.0;0.0;0.034;0.0;0.0;0.185;0.021;0.022;0.021
ENST00000589202_90_90;0.168;0.161;0.162;0.17;0.162;0.161;0.0;0.162;0.0;0.0;0.0;0.262;0.0;1.0;0.253;0.011;0.17;0.0;0.166;0.167;0.167
ENST00000589827_90_90;0.618;0.619;0.623;0.575;0.623;0.619;0.031;0.623;0.159;0.135;0.0;0.321;0.034;0.253;1.0;0.182;0.575;0.186;0.618;0.621;0.62
ENST00000590483_90_90;0.115;0.113;0.114;0.099;0.114;0.113;0.0;0.114;0.455;0.358;0.0;0.426;0.0;0.011;0.182;1.0;0.099;0.564;0.115;0.116;0.116
ENST00000591437_90_90;0.947;0.946;0.952;1.0;0.952;0.946;0.0;0.952;0.052;0.037;0.173;0.21;0.0;0.17;0.575;0.099;1.0;0.069;0.946;0.952;0.95
ENST00000591786_90_90;0.116;0.115;0.116;0.069;0.116;0.115;0.169;0.116;0.855;0.727;0.0;0.277;0.185;0.0;0.186;0.564;0.069;1.0;0.116;0.116;0.116
ENSMUST00000021177_90_90;0.993;1.0;0.993;0.946;0.993;1.0;0.02;0.993;0.099;0.084;0.165;0.199;0.021;0.166;0.618;0.115;0.946;0.116;1.0;0.994;0.992
ENSMUST00000090433_90_90;0.994;0.993;1.0;0.952;1.0;0.993;0.02;1.0;0.1;0.085;0.165;0.2;0.022;0.167;0.621;0.116;0.952;0.116;0.994;1.0;0.998
ENSMUST00000103026_90_90;0.994;0.992;0.997;0.95;0.997;0.992;0.02;0.997;0.099;0.085;0.165;0.2;0.021;0.167;0.62;0.116;0.95;0.116;0.992;0.998;1.0
