;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.432;0.659;0.685;0.114;0.034;0.106;0.202;0.511;0.047;0.222;0.475;0.476;0.475;0.476;0.475;0.476;0.685;0.659
ENSCAFT00000021670_90_90;0.432;1.0;0.424;0.429;0.153;0.051;0.103;0.183;0.342;0.054;0.231;0.545;0.525;0.545;0.525;0.545;0.525;0.429;0.44
ENST00000265969_90_90;0.659;0.424;1.0;0.824;0.153;0.116;0.129;0.246;0.729;0.057;0.397;0.34;0.33;0.34;0.33;0.34;0.33;0.824;0.971
ENST00000379472_90_90;0.685;0.429;0.824;1.0;0.139;0.041;0.13;0.25;0.622;0.058;0.27;0.4;0.388;0.4;0.388;0.4;0.388;1.0;0.824
ENST00000638366_90_90;0.114;0.153;0.153;0.139;1.0;0.2;0.529;0.435;0.193;0.235;0.355;0.095;0.091;0.095;0.091;0.095;0.091;0.139;0.153
ENST00000638825_90_90;0.034;0.051;0.116;0.041;0.2;1.0;0.176;0.125;0.148;0.25;0.286;0.027;0.026;0.027;0.026;0.027;0.026;0.041;0.1
ENST00000639325_90_90;0.106;0.103;0.129;0.13;0.529;0.176;1.0;0.526;0.208;0.417;0.31;0.085;0.081;0.085;0.081;0.085;0.081;0.13;0.129
ENST00000639495_90_90;0.202;0.183;0.246;0.25;0.435;0.125;0.526;1.0;0.34;0.263;0.607;0.151;0.145;0.151;0.145;0.151;0.145;0.25;0.246
ENST00000640318_90_90;0.511;0.342;0.729;0.622;0.193;0.148;0.208;0.34;1.0;0.093;0.455;0.28;0.271;0.28;0.271;0.28;0.271;0.622;0.704
ENST00000640461_90_90;0.047;0.054;0.057;0.058;0.235;0.25;0.417;0.263;0.093;1.0;0.138;0.043;0.042;0.043;0.042;0.043;0.042;0.058;0.057
ENST00000640909_90_90;0.222;0.231;0.397;0.27;0.355;0.286;0.31;0.607;0.455;0.138;1.0;0.163;0.157;0.163;0.157;0.163;0.157;0.27;0.377
ENST00000302127_90_90;0.475;0.545;0.34;0.4;0.095;0.027;0.085;0.151;0.28;0.043;0.163;1.0;0.957;1.0;0.957;1.0;0.957;0.4;0.34
ENST00000315987_90_90;0.476;0.525;0.33;0.388;0.091;0.026;0.081;0.145;0.271;0.042;0.157;0.957;1.0;0.957;1.0;0.957;1.0;0.388;0.33
ENST00000369697_90_90;0.475;0.545;0.34;0.4;0.095;0.027;0.085;0.151;0.28;0.043;0.163;1.0;0.957;1.0;0.957;1.0;0.957;0.4;0.34
ENSMUST00000079169_90_90;0.476;0.525;0.33;0.388;0.091;0.026;0.081;0.145;0.271;0.042;0.157;0.957;1.0;0.957;1.0;0.957;1.0;0.388;0.33
ENSMUST00000098761_90_90;0.475;0.545;0.34;0.4;0.095;0.027;0.085;0.151;0.28;0.043;0.163;1.0;0.957;1.0;0.957;1.0;0.957;0.4;0.34
ENSMUST00000118360_90_90;0.476;0.525;0.33;0.388;0.091;0.026;0.081;0.145;0.271;0.042;0.157;0.957;1.0;0.957;1.0;0.957;1.0;0.388;0.33
ENSMUST00000025202_90_90;0.685;0.429;0.824;1.0;0.139;0.041;0.13;0.25;0.622;0.058;0.27;0.4;0.388;0.4;0.388;0.4;0.388;1.0;0.824
ENSMUST00000160433_90_90;0.659;0.44;0.971;0.824;0.153;0.1;0.129;0.246;0.704;0.057;0.377;0.34;0.33;0.34;0.33;0.34;0.33;0.824;1.0
