;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.95;0.75;0.1;0.1;0.05;0.733;0.733;0.933;0.333;0.2
ENST00000318445_90_90;0.95;1.0;0.654;0.036;0.08;0.04;0.8;0.75;1.0;0.333;0.111
ENST00000424469_90_90;0.75;0.654;1.0;0.048;0.111;0.056;0.75;0.812;0.938;0.312;0.105
ENST00000553304_90_90;0.1;0.036;0.048;1.0;0.0;0.0;0.067;0.062;0.056;0.125;0.8
ENST00000555210_90_90;0.1;0.08;0.111;0.0;1.0;0.5;0.167;0.154;0.133;0.0;0.0
ENST00000555892_90_90;0.05;0.04;0.056;0.0;0.5;1.0;0.083;0.077;0.067;0.0;0.0
ENSMUST00000026897_90_90;0.733;0.8;0.75;0.067;0.167;0.083;1.0;0.875;0.65;0.4;0.1
ENSMUST00000098371_90_90;0.733;0.75;0.812;0.062;0.154;0.077;0.875;1.0;0.65;0.4;0.1
ENSMUST00000107453_90_90;0.933;1.0;0.938;0.056;0.133;0.067;0.65;0.65;1.0;0.333;0.087
ENSMUST00000134539_90_90;0.333;0.333;0.312;0.125;0.0;0.0;0.4;0.4;0.333;1.0;0.182
ENSMUST00000138099_90_90;0.2;0.111;0.105;0.8;0.0;0.0;0.1;0.1;0.087;0.182;1.0
