;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.146;0.107;0.122;0.042;0.063;0.063;0.063;0.103;0.838;0.581;0.581;0.581;0.808;0.551;0.838;0.026;0.55;0.809;0.063;0.594;0.586;0.114;0.594;0.571;0.276
ENST00000587805_90_90;0.146;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.174;0.231;0.231;0.231;0.178;0.242;0.174;0.0;0.24;0.18;0.0;0.225;0.213;0.0;0.219;0.231;0.0
ENST00000588116_90_90;0.107;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.112;0.157;0.157;0.157;0.115;0.162;0.112;0.0;0.165;0.114;0.0;0.099;0.1;0.0;0.099;0.102;0.0
ENST00000589774_90_90;0.122;0.0;0.0;1.0;0.48;0.215;0.215;0.215;0.868;0.174;0.246;0.246;0.246;0.141;0.26;0.174;0.281;0.199;0.18;0.215;0.097;0.1;0.056;0.096;0.071;0.419
ENST00000590432_90_90;0.042;0.0;0.0;0.48;1.0;0.35;0.35;0.35;0.551;0.083;0.116;0.116;0.116;0.085;0.123;0.083;0.543;0.122;0.085;0.35;0.034;0.035;0.083;0.034;0.035;0.146
ENST00000590538_90_90;0.063;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000591610_90_90;0.063;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000592167_90_90;0.063;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000593014_90_90;0.103;0.0;0.0;0.868;0.551;0.238;0.238;0.238;1.0;0.151;0.214;0.214;0.214;0.118;0.225;0.151;0.321;0.166;0.157;0.238;0.081;0.083;0.061;0.08;0.055;0.35
ENST00000610402_90_90;0.838;0.174;0.112;0.174;0.083;0.047;0.047;0.047;0.151;1.0;0.708;0.708;0.708;0.966;0.673;1.0;0.052;0.674;0.966;0.047;0.511;0.502;0.015;0.512;0.488;0.159
