;transcript9_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript38_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript9_ENSMUNG00000002377;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript10_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.854;0.708;0.875;0.896;0.984;0.969;0.953;0.531;0.953;0.958;0.958;0.875;0.957;0.969;0.531;0.953;1.0
transcript31_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.854;0.708;0.875;0.896;0.984;0.969;0.953;0.531;0.953;0.958;0.958;0.875;0.957;0.969;0.531;0.953;1.0
transcript33_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.854;0.708;0.875;0.896;0.984;0.969;0.953;0.531;0.953;0.958;0.958;0.875;0.957;0.969;0.531;0.953;1.0
transcript25_ENSMUNG00000007775;0.953;0.953;0.953;1.0;0.833;0.688;0.894;0.915;0.969;0.953;0.938;0.516;0.938;0.938;0.938;0.854;0.896;0.953;0.516;0.938;0.953
transcript38_ENSMUNG00000002377;0.854;0.854;0.854;0.833;1.0;0.646;0.784;0.804;0.875;0.875;0.854;0.489;0.872;0.863;0.898;0.978;0.857;0.88;0.469;0.824;0.86
transcript36_ENSMUNG00000002377;0.708;0.708;0.708;0.688;0.646;1.0;0.577;0.596;0.729;0.729;0.708;0.703;0.688;0.654;0.68;0.667;0.64;0.7;0.703;0.647;0.68
transcript35_ENSMUNG00000002377;0.875;0.875;0.875;0.894;0.784;0.577;1.0;0.979;0.896;0.896;0.875;0.511;0.854;0.922;0.882;0.804;0.88;0.882;0.48;0.863;0.863
transcript27_ENSMUNG00000002377;0.896;0.896;0.896;0.915;0.804;0.596;0.979;1.0;0.917;0.917;0.896;0.532;0.875;0.941;0.902;0.824;0.9;0.902;0.5;0.882;0.882
transcript21_ENSMUNG00000007775;0.984;0.984;0.984;0.969;0.875;0.729;0.896;0.917;1.0;0.984;0.969;0.547;0.969;0.979;0.979;0.896;0.938;0.984;0.547;0.969;0.984
transcript23_ENSMUNG00000007775;0.969;0.969;0.969;0.953;0.875;0.729;0.896;0.917;0.984;1.0;0.984;0.556;0.953;0.979;0.979;0.896;0.938;1.0;0.556;0.953;0.969
transcript26_ENSMUNG00000007775;0.953;0.953;0.953;0.938;0.854;0.708;0.875;0.896;0.969;0.984;1.0;0.565;0.938;0.958;0.958;0.875;0.917;0.984;0.565;0.938;0.953
transcript30_ENSMUNG00000007775;0.531;0.531;0.531;0.516;0.489;0.703;0.511;0.532;0.547;0.556;0.565;1.0;0.516;0.596;0.596;0.511;0.553;0.556;1.0;0.516;0.531
transcript32_ENSMUNG00000007775;0.953;0.953;0.953;0.938;0.872;0.688;0.854;0.875;0.969;0.953;0.938;0.516;1.0;0.938;0.938;0.854;0.896;0.953;0.516;0.938;0.953
transcript13_ENSMUNG00000002377;0.958;0.958;0.958;0.938;0.863;0.654;0.922;0.941;0.979;0.979;0.958;0.596;0.938;1.0;0.961;0.882;0.922;0.961;0.56;0.941;0.941
transcript23_ENSMUNG00000002377;0.958;0.958;0.958;0.938;0.898;0.68;0.882;0.902;0.979;0.979;0.958;0.596;0.938;0.961;1.0;0.918;0.959;0.98;0.571;0.922;0.96
transcript37_ENSMUNG00000002377;0.875;0.875;0.875;0.854;0.978;0.667;0.804;0.824;0.896;0.896;0.875;0.511;0.854;0.882;0.918;1.0;0.878;0.9;0.49;0.843;0.88
transcript9_ENSMUNG00000002377;0.957;0.957;0.957;0.896;0.857;0.64;0.88;0.9;0.938;0.938;0.917;0.553;0.896;0.922;0.959;0.878;1.0;0.94;0.531;0.882;0.959
transcript23_ENSMUNG00000002391;0.969;0.969;0.969;0.953;0.88;0.7;0.882;0.902;0.984;1.0;0.984;0.556;0.953;0.961;0.98;0.9;0.94;1.0;0.538;0.913;0.97
transcript30_ENSMUNG00000002391;0.531;0.531;0.531;0.516;0.469;0.703;0.48;0.5;0.547;0.556;0.565;1.0;0.516;0.56;0.571;0.49;0.531;0.538;1.0;0.478;0.515
transcript10_ENSMUNG00000002391;0.953;0.953;0.953;0.938;0.824;0.647;0.863;0.882;0.969;0.953;0.938;0.516;0.938;0.941;0.922;0.843;0.882;0.913;0.478;1.0;0.913
transcript33_ENSMUNG00000002391;1.0;1.0;1.0;0.953;0.86;0.68;0.863;0.882;0.984;0.969;0.953;0.531;0.953;0.941;0.96;0.88;0.959;0.97;0.515;0.913;1.0
