;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.7;0.85;0.55;0.8;0.9;0.1;0.4;0.952;0.857;0.524;0.524;0.905;0.429;0.714;0.286
ENST00000379697_90_90;0.7;1.0;0.517;0.214;0.519;0.593;0.19;0.571;0.783;0.625;0.292;0.292;0.696;0.556;0.714;0.091
ENST00000379698_90_90;0.85;0.517;1.0;0.52;0.731;0.88;0.16;0.48;0.76;0.909;0.478;0.478;0.826;0.476;0.773;0.227
ENST00000379716_90_90;0.55;0.214;0.52;1.0;0.591;0.542;0.0;0.125;0.44;0.478;0.857;0.857;0.478;0.211;0.348;0.357
ENST00000379726_90_90;0.8;0.519;0.731;0.591;1.0;0.76;0.182;0.36;0.75;0.667;0.524;0.524;0.667;0.45;0.542;0.25
ENST00000397821_90_90;0.9;0.593;0.88;0.542;0.76;1.0;0.167;0.5;0.833;0.826;0.478;0.478;0.909;0.476;0.696;0.227
ENST00000431164_90_90;0.1;0.19;0.16;0.0;0.182;0.167;1.0;0.286;0.13;0.143;0.0;0.0;0.143;0.3;0.167;0.0
ENST00000432234_90_90;0.4;0.571;0.48;0.125;0.36;0.5;0.286;1.0;0.478;0.524;0.143;0.143;0.524;0.75;0.611;0.0
ENSMUST00000073094_90_90;0.952;0.783;0.76;0.44;0.75;0.833;0.13;0.478;1.0;0.815;0.5;0.481;0.92;0.44;0.586;0.28
ENSMUST00000080394_90_90;0.857;0.625;0.909;0.478;0.667;0.826;0.143;0.524;0.815;1.0;0.52;0.5;0.88;0.458;0.731;0.292
ENSMUST00000112451_90_90;0.524;0.292;0.478;0.857;0.524;0.478;0.0;0.143;0.5;0.52;1.0;0.933;0.542;0.19;0.296;0.5
ENSMUST00000112453_90_90;0.524;0.292;0.478;0.857;0.524;0.478;0.0;0.143;0.481;0.5;0.933;1.0;0.52;0.182;0.286;0.467
ENSMUST00000112456_90_90;0.905;0.696;0.826;0.478;0.667;0.909;0.143;0.524;0.92;0.88;0.542;0.52;1.0;0.478;0.63;0.304
ENSMUST00000123433_90_90;0.429;0.556;0.476;0.211;0.45;0.476;0.3;0.75;0.44;0.458;0.19;0.182;0.478;1.0;0.524;0.0
ENSMUST00000141354_90_90;0.714;0.714;0.773;0.348;0.542;0.696;0.167;0.611;0.586;0.731;0.296;0.286;0.63;0.524;1.0;0.12
ENSMUST00000152426_90_90;0.286;0.091;0.227;0.357;0.25;0.227;0.0;0.0;0.28;0.292;0.5;0.467;0.304;0.0;0.12;1.0
