;transcript9_ppan;transcript10_ppan;transcript15_ppan;transcript9_ptro;transcript10_ptro;transcript17_ptro;transcript10_hsap;transcript9_ggor;transcript10_ggor;transcript14_ggor;transcript17_ggor;transcript18_ggor
transcript9_ppan;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript10_ppan;0.796;1.0;0.796;0.796;1.0;0.796;0.895;0.796;1.0;0.796;0.707;0.796
transcript15_ppan;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript9_ptro;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript10_ptro;0.796;1.0;0.796;0.796;1.0;0.796;0.895;0.796;1.0;0.796;0.707;0.796
transcript17_ptro;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript10_hsap;0.71;0.895;0.71;0.71;0.895;0.71;1.0;0.71;0.895;0.71;0.62;0.71
transcript9_ggor;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript10_ggor;0.796;1.0;0.796;0.796;1.0;0.796;0.895;0.796;1.0;0.796;0.707;0.796
transcript14_ggor;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
transcript17_ggor;0.91;0.707;0.91;0.91;0.707;0.91;0.62;0.91;0.707;0.91;1.0;0.91
transcript18_ggor;1.0;0.796;1.0;1.0;0.796;1.0;0.71;1.0;0.796;1.0;0.91;1.0
