;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;0.867;0.8;0.786;0.857;0.733;0.467;0.154;0.133;0.4;0.143;0.667
ENST00000370197_90_90;0.867;1.0;0.933;0.8;0.867;0.75;0.6;0.133;0.118;0.438;0.125;0.688
ENST00000370198_90_90;0.8;0.933;1.0;0.857;0.8;0.688;0.643;0.143;0.125;0.467;0.133;0.733
ENST00000426398_90_90;0.786;0.8;0.857;1.0;0.923;0.786;0.5;0.167;0.143;0.538;0.154;0.846
ENST00000609116_90_90;0.857;0.867;0.8;0.923;1.0;0.857;0.467;0.154;0.133;0.5;0.143;0.786
ENSMUST00000029780_90_90;0.733;0.75;0.688;0.786;0.857;1.0;0.467;0.154;0.214;0.615;0.067;0.923
ENSMUST00000195902_90_90;0.467;0.6;0.643;0.5;0.467;0.467;1.0;0.222;0.0;0.417;0.0;0.5
ENSMUST00000197387_90_90;0.154;0.133;0.143;0.167;0.154;0.154;0.222;1.0;0.0;0.25;0.0;0.167
ENSMUST00000197464_90_90;0.133;0.118;0.125;0.143;0.133;0.214;0.0;0.0;1.0;0.333;0.167;0.231
ENSMUST00000197833_90_90;0.4;0.438;0.467;0.538;0.5;0.615;0.417;0.25;0.333;1.0;0.1;0.667
ENSMUST00000198403_90_90;0.143;0.125;0.133;0.154;0.143;0.067;0.0;0.0;0.167;0.1;1.0;0.071
ENSMUST00000200097_90_90;0.667;0.688;0.733;0.846;0.786;0.923;0.5;0.167;0.231;0.667;0.071;1.0
