;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.909;0.968;0.035;0.809;0.058;0.058;0.909;0.136;0.777;0.087;0.702;0.346;0.135;0.303;0.132;0.3;0.939;1.0;0.147;0.807
ENST00000268049_90_90;0.909;1.0;0.916;0.03;0.732;0.0;0.0;0.931;0.062;0.794;0.165;0.684;0.452;0.07;0.264;0.132;0.29;0.843;0.909;0.08;0.771
ENST00000380324_90_90;0.968;0.916;1.0;0.03;0.807;0.052;0.052;0.911;0.117;0.775;0.124;0.667;0.397;0.126;0.328;0.127;0.354;0.901;0.968;0.141;0.832
ENST00000538686_90_90;0.035;0.03;0.03;1.0;0.0;0.0;0.0;0.03;0.0;0.042;0.0;0.0;0.061;0.0;0.0;0.0;0.063;0.037;0.035;0.0;0.0
ENST00000540797_90_90;0.809;0.732;0.807;0.0;1.0;0.064;0.064;0.728;0.146;0.754;0.08;0.808;0.212;0.154;0.425;0.147;0.17;0.742;0.809;0.176;0.998
ENST00000557884_90_90;0.058;0.0;0.052;0.0;0.064;1.0;1.0;0.0;0.272;0.0;0.0;0.0;0.0;0.311;0.151;0.0;0.135;0.062;0.058;0.476;0.074
ENST00000558157_90_90;0.058;0.0;0.052;0.0;0.064;1.0;1.0;0.0;0.272;0.0;0.0;0.0;0.0;0.311;0.151;0.0;0.135;0.062;0.058;0.476;0.074
ENST00000558285_90_90;0.909;0.931;0.911;0.03;0.728;0.0;0.0;1.0;0.062;0.79;0.126;0.68;0.4;0.07;0.263;0.131;0.29;0.843;0.909;0.08;0.771
ENST00000559192_90_90;0.136;0.062;0.117;0.0;0.146;0.272;0.272;0.062;1.0;0.0;0.263;0.0;0.126;0.23;0.334;0.0;0.293;0.145;0.136;0.323;0.129
ENST00000559257_90_90;0.777;0.794;0.775;0.042;0.754;0.0;0.0;0.79;0.0;1.0;0.0;0.841;0.246;0.085;0.231;0.155;0.14;0.712;0.777;0.097;0.788
ENST00000559276_90_90;0.087;0.165;0.124;0.0;0.08;0.0;0.0;0.126;0.263;0.0;1.0;0.0;0.349;0.0;0.158;0.0;0.265;0.092;0.087;0.0;0.057
ENST00000559711_90_90;0.702;0.684;0.667;0.0;0.808;0.0;0.0;0.68;0.0;0.841;0.0;1.0;0.148;0.091;0.253;0.165;0.051;0.637;0.702;0.111;0.863
ENST00000559771_90_90;0.346;0.452;0.397;0.061;0.212;0.0;0.0;0.4;0.126;0.246;0.349;0.148;1.0;0.0;0.399;0.0;0.522;0.369;0.346;0.174;0.194
ENST00000559873_90_90;0.135;0.07;0.126;0.0;0.154;0.311;0.311;0.07;0.23;0.085;0.0;0.091;0.0;1.0;0.139;0.0;0.122;0.145;0.135;0.28;0.167
ENST00000560070_90_90;0.303;0.264;0.328;0.0;0.425;0.151;0.151;0.263;0.334;0.231;0.158;0.253;0.399;0.139;1.0;0.0;0.303;0.324;0.303;0.435;0.388
ENST00000560202_90_90;0.132;0.132;0.127;0.0;0.147;0.0;0.0;0.131;0.0;0.155;0.0;0.165;0.0;0.0;0.0;1.0;0.0;0.141;0.132;0.0;0.153
ENST00000561442_90_90;0.3;0.29;0.354;0.063;0.17;0.135;0.135;0.29;0.293;0.14;0.265;0.051;0.522;0.122;0.303;0.0;1.0;0.321;0.3;0.289;0.147
ENSMUST00000098613_90_90;0.939;0.843;0.901;0.037;0.742;0.062;0.062;0.843;0.145;0.712;0.092;0.637;0.369;0.145;0.324;0.141;0.321;1.0;0.939;0.157;0.746
ENSMUST00000127569_90_90;1.0;0.909;0.968;0.035;0.809;0.058;0.058;0.909;0.136;0.777;0.087;0.702;0.346;0.135;0.303;0.132;0.3;0.939;1.0;0.147;0.807
ENSMUST00000139547_90_90;0.147;0.08;0.141;0.0;0.176;0.476;0.476;0.08;0.323;0.097;0.0;0.111;0.174;0.28;0.435;0.0;0.289;0.157;0.147;1.0;0.194
ENSMUST00000174387_90_90;0.807;0.771;0.832;0.0;0.998;0.074;0.074;0.771;0.129;0.788;0.057;0.863;0.194;0.167;0.388;0.153;0.147;0.746;0.807;0.194;1.0
