;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.808;0.794;0.688;0.808;0.318;0.433;0.304;0.475;0.988;0.722;0.71;0.988;0.71;0.068;0.053;0.171;0.207;0.232
ENST00000290246_90_90;0.808;1.0;0.99;0.896;1.0;0.244;0.364;0.532;0.591;0.819;0.423;0.413;0.819;0.413;0.063;0.048;0.152;0.192;0.053
ENST00000352077_90_90;0.794;0.99;1.0;0.886;0.99;0.246;0.354;0.539;0.599;0.809;0.413;0.403;0.809;0.403;0.064;0.048;0.154;0.193;0.054
ENST00000372176_90_90;0.688;0.896;0.886;1.0;0.896;0.275;0.26;0.592;0.652;0.724;0.332;0.322;0.724;0.322;0.0;0.0;0.043;0.216;0.059
ENST00000396391_90_90;0.808;1.0;0.99;0.896;1.0;0.244;0.364;0.532;0.591;0.819;0.423;0.413;0.819;0.413;0.063;0.048;0.152;0.192;0.053
ENST00000425546_90_90;0.318;0.244;0.246;0.275;0.244;1.0;0.251;0.048;0.241;0.249;0.425;0.4;0.249;0.4;0.0;0.0;0.0;0.223;0.234
ENST00000450812_90_90;0.433;0.364;0.354;0.26;0.364;0.251;1.0;0.0;0.061;0.341;0.594;0.57;0.341;0.57;0.16;0.128;0.415;0.484;0.0
ENST00000452857_90_90;0.304;0.532;0.539;0.592;0.532;0.048;0.0;1.0;0.593;0.416;0.041;0.041;0.416;0.041;0.0;0.0;0.0;0.0;0.069
ENST00000467800_90_90;0.475;0.591;0.599;0.652;0.591;0.241;0.061;0.593;1.0;0.564;0.16;0.162;0.564;0.162;0.0;0.0;0.0;0.026;0.072
ENSMUST00000071699_90_90;0.988;0.819;0.809;0.724;0.819;0.249;0.341;0.416;0.564;1.0;0.55;0.56;1.0;0.56;0.055;0.041;0.131;0.175;0.182
ENSMUST00000074046_90_90;0.722;0.423;0.413;0.332;0.423;0.425;0.594;0.041;0.16;0.55;1.0;0.955;0.55;0.955;0.08;0.065;0.214;0.262;0.346
ENSMUST00000094329_90_90;0.71;0.413;0.403;0.322;0.413;0.4;0.57;0.041;0.162;0.56;0.955;1.0;0.56;1.0;0.083;0.069;0.225;0.275;0.361
ENSMUST00000103088_90_90;0.988;0.819;0.809;0.724;0.819;0.249;0.341;0.416;0.564;1.0;0.55;0.56;1.0;0.56;0.055;0.041;0.131;0.175;0.182
ENSMUST00000103091_90_90;0.71;0.413;0.403;0.322;0.413;0.4;0.57;0.041;0.162;0.56;0.955;1.0;0.56;1.0;0.083;0.069;0.225;0.275;0.361
ENSMUST00000126318_90_90;0.068;0.063;0.064;0.0;0.063;0.0;0.16;0.0;0.0;0.055;0.08;0.083;0.055;0.083;1.0;0.473;0.4;0.0;0.0
ENSMUST00000128690_90_90;0.053;0.048;0.048;0.0;0.048;0.0;0.128;0.0;0.0;0.041;0.065;0.069;0.041;0.069;0.473;1.0;0.311;0.0;0.0
ENSMUST00000133205_90_90;0.171;0.152;0.154;0.043;0.152;0.0;0.415;0.0;0.0;0.131;0.214;0.225;0.131;0.225;0.4;0.311;1.0;0.08;0.0
ENSMUST00000137188_90_90;0.207;0.192;0.193;0.216;0.192;0.223;0.484;0.0;0.026;0.175;0.262;0.275;0.175;0.275;0.0;0.0;0.08;1.0;0.0
ENSMUST00000148643_90_90;0.232;0.053;0.054;0.059;0.053;0.234;0.0;0.069;0.072;0.182;0.346;0.361;0.182;0.361;0.0;0.0;0.0;0.0;1.0
