;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.294;0.324;0.303;0.167;0.125;0.167;0.167;0.343;0.684;0.611;0.333;0.667
ENST00000336604_90_90;0.294;1.0;0.964;0.963;0.357;0.37;0.107;0.357;0.9;0.4;0.3;0.4;0.29
ENST00000356896_90_90;0.324;0.964;1.0;0.929;0.393;0.357;0.103;0.393;0.933;0.387;0.29;0.387;0.323
ENST00000396840_90_90;0.303;0.963;0.929;1.0;0.321;0.333;0.111;0.321;0.867;0.414;0.31;0.414;0.3
ENST00000436152_90_90;0.167;0.357;0.393;0.321;1.0;0.909;0.0;1.0;0.367;0.13;0.15;0.13;0.2
ENST00000465801_90_90;0.125;0.37;0.357;0.333;0.909;1.0;0.0;0.909;0.333;0.136;0.158;0.136;0.15
ENST00000487279_90_90;0.167;0.107;0.103;0.111;0.0;0.0;1.0;0.0;0.097;0.267;0.333;0.267;0.133
ENST00000615885_90_90;0.167;0.357;0.393;0.321;1.0;0.909;0.0;1.0;0.367;0.13;0.15;0.13;0.2
ENST00000619571_90_90;0.343;0.9;0.933;0.867;0.367;0.333;0.097;0.367;1.0;0.364;0.273;0.364;0.303
ENSMUST00000117675_90_90;0.684;0.4;0.387;0.414;0.13;0.136;0.267;0.13;0.364;1.0;0.8;0.429;0.75
ENSMUST00000119527_90_90;0.611;0.3;0.29;0.31;0.15;0.158;0.333;0.15;0.273;0.8;1.0;0.5;0.667
ENSMUST00000144364_90_90;0.333;0.4;0.387;0.414;0.13;0.136;0.267;0.13;0.364;0.429;0.5;1.0;0.333
ENSMUST00000148835_90_90;0.667;0.29;0.323;0.3;0.2;0.15;0.133;0.2;0.303;0.75;0.667;0.333;1.0
