;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.867;0.968;0.97;0.537;0.451;0.53;0.507;0.444;0.507;0.507;0.507;0.507;0.445;0.453;0.453;0.458
transcript7_ENSMLUG00000027828;0.867;1.0;0.894;0.907;0.445;0.535;0.44;0.476;0.528;0.476;0.476;0.477;0.476;0.528;0.535;0.536;0.54
transcript7_ENSSTOG00000019743;0.968;0.894;1.0;1.0;0.968;0.938;0.968;1.0;0.938;1.0;1.0;1.0;1.0;0.938;0.938;0.938;0.938
transcript7_ENSCCNG00000000226;0.97;0.907;1.0;1.0;0.97;0.943;0.97;1.0;0.943;1.0;1.0;1.0;1.0;0.943;0.943;0.943;0.943
transcript25_ENSMPUG00000020072;0.537;0.445;0.968;0.97;1.0;0.993;0.881;0.85;0.895;0.85;0.85;0.85;0.85;0.883;0.98;0.98;0.918
transcript25_ENSMLUG00000027828;0.451;0.535;0.938;0.943;0.993;1.0;0.875;0.844;0.892;0.844;0.844;0.856;0.848;0.882;0.97;0.987;0.916
transcript28_ENSMPUG00000020072;0.53;0.44;0.968;0.97;0.881;0.875;1.0;0.934;0.976;0.934;0.934;0.934;0.934;0.964;0.865;0.865;0.816
transcript12_ENSECAG00000007947;0.507;0.476;1.0;1.0;0.85;0.844;0.934;1.0;0.956;1.0;1.0;0.957;0.989;0.946;0.85;0.834;0.807
transcript12_ENSMLUG00000027828;0.444;0.528;0.938;0.943;0.895;0.892;0.976;0.956;1.0;0.956;0.956;0.919;0.946;0.99;0.896;0.882;0.852
transcript23_ENSECAG00000007947;0.507;0.476;1.0;1.0;0.85;0.844;0.934;1.0;0.956;1.0;1.0;0.957;0.989;0.946;0.85;0.834;0.807
transcript31_ENSECAG00000007947;0.507;0.476;1.0;1.0;0.85;0.844;0.934;1.0;0.956;1.0;1.0;0.957;0.989;0.946;0.85;0.834;0.807
transcript32_ENSECAG00000007947;0.507;0.477;1.0;1.0;0.85;0.856;0.934;0.957;0.919;0.957;0.957;1.0;0.968;0.908;0.806;0.846;0.762
transcript33_ENSECAG00000007947;0.507;0.476;1.0;1.0;0.85;0.848;0.934;0.989;0.946;0.989;0.989;0.968;1.0;0.936;0.838;0.838;0.796
transcript15_ENSMLUG00000027828;0.445;0.528;0.938;0.943;0.883;0.882;0.964;0.946;0.99;0.946;0.946;0.908;0.936;1.0;0.904;0.89;0.859
transcript16_ENSMLUG00000027828;0.453;0.535;0.938;0.943;0.98;0.97;0.865;0.85;0.896;0.85;0.85;0.806;0.838;0.904;1.0;0.982;0.945
transcript26_ENSMLUG00000027828;0.453;0.536;0.938;0.943;0.98;0.987;0.865;0.834;0.882;0.834;0.834;0.846;0.838;0.89;0.982;1.0;0.927
transcript27_ENSMLUG00000027828;0.458;0.54;0.938;0.943;0.918;0.916;0.816;0.807;0.852;0.807;0.807;0.762;0.796;0.859;0.945;0.927;1.0
