;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;0.947;0.94;0.947;0.363;0.174;0.94;0.94;0.392;0.52;0.049;0.52;0.861;0.947;0.049;0.968;0.968;0.34;0.976;0.049;0.073
ENST00000283256_90_90;0.947;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.865;0.865;0.362;0.974;0.053;0.082
ENST00000375427_90_90;0.94;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.974;0.974;0.283;0.865;0.053;0.082
ENST00000375437_90_90;0.947;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.865;0.865;0.362;0.974;0.053;0.082
ENST00000424833_90_90;0.363;0.401;0.321;0.401;1.0;0.359;0.321;0.321;0.742;0.669;0.129;0.67;0.318;0.401;0.129;0.307;0.307;0.907;0.389;0.0;0.0
ENST00000486878_90_90;0.174;0.156;0.097;0.156;0.359;1.0;0.097;0.097;0.229;0.247;0.0;0.247;0.17;0.156;0.0;0.13;0.13;0.47;0.201;0.0;0.0
ENST00000631182_90_90;0.94;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.974;0.974;0.283;0.865;0.053;0.082
ENST00000636071_90_90;0.94;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.974;0.974;0.283;0.865;0.053;0.082
ENST00000636135_90_90;0.392;0.411;0.335;0.411;0.742;0.229;0.335;0.335;1.0;0.667;0.115;0.668;0.332;0.411;0.115;0.334;0.334;0.72;0.418;0.0;0.0
ENST00000636384_90_90;0.52;0.558;0.472;0.558;0.669;0.247;0.472;0.472;0.667;1.0;0.088;0.925;0.478;0.558;0.088;0.454;0.454;0.652;0.547;0.0;0.0
ENST00000636662_90_90;0.049;0.046;0.046;0.046;0.129;0.0;0.046;0.046;0.115;0.088;1.0;0.088;0.0;0.046;1.0;0.049;0.049;0.138;0.049;0.0;0.0
ENST00000636769_90_90;0.52;0.558;0.472;0.558;0.67;0.247;0.472;0.472;0.668;0.925;0.088;1.0;0.478;0.558;0.088;0.454;0.454;0.652;0.547;0.0;0.0
ENST00000636985_90_90;0.861;0.917;0.816;0.917;0.318;0.17;0.816;0.816;0.332;0.478;0.0;0.478;1.0;0.917;0.0;0.786;0.786;0.277;0.888;0.057;0.09
ENST00000637266_90_90;0.947;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.865;0.865;0.362;0.974;0.053;0.082
ENST00000637367_90_90;0.049;0.046;0.046;0.046;0.129;0.0;0.046;0.046;0.115;0.088;1.0;0.088;0.0;0.046;1.0;0.049;0.049;0.138;0.049;0.0;0.0
ENSMUST00000028377_90_90;0.968;0.865;0.974;0.865;0.307;0.13;0.974;0.974;0.334;0.454;0.049;0.454;0.786;0.865;0.049;1.0;1.0;0.29;0.898;0.047;0.071
ENSMUST00000100067_90_90;0.968;0.865;0.974;0.865;0.307;0.13;0.974;0.974;0.334;0.454;0.049;0.454;0.786;0.865;0.049;1.0;1.0;0.29;0.898;0.047;0.071
ENSMUST00000144254_90_90;0.34;0.362;0.283;0.362;0.907;0.47;0.283;0.283;0.72;0.652;0.138;0.652;0.277;0.362;0.138;0.29;0.29;1.0;0.364;0.0;0.0
ENSMUST00000200829_90_90;0.976;0.974;0.865;0.974;0.389;0.201;0.865;0.865;0.418;0.547;0.049;0.547;0.888;0.974;0.049;0.898;0.898;0.364;1.0;0.047;0.071
ENSMUST00000202162_90_90;0.049;0.053;0.053;0.053;0.0;0.0;0.053;0.053;0.0;0.0;0.0;0.0;0.057;0.053;0.0;0.047;0.047;0.0;0.047;1.0;0.797
ENSMUST00000202508_90_90;0.073;0.082;0.082;0.082;0.0;0.0;0.082;0.082;0.0;0.0;0.0;0.0;0.09;0.082;0.0;0.071;0.071;0.0;0.071;0.797;1.0
