;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.879;0.13;0.403;0.585;0.585;0.595;0.64;0.0;0.523;0.526;0.0;0.0;0.0;0.526;0.532;0.527
ENSCAFT00000048830_90_90;0.879;1.0;0.139;0.41;0.596;0.596;0.609;0.671;0.0;0.526;0.53;0.0;0.0;0.0;0.529;0.538;0.53
ENST00000368686_90_90;0.13;0.139;1.0;0.331;0.295;0.272;0.317;0.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.403;0.41;0.331;1.0;0.766;0.783;0.666;0.365;0.296;0.523;0.539;0.311;0.311;0.296;0.538;0.267;0.264
ENST00000368690_90_90;0.585;0.596;0.295;0.766;1.0;0.976;0.86;0.561;0.257;0.605;0.619;0.269;0.269;0.257;0.619;0.354;0.35
ENST00000368694_90_90;0.585;0.596;0.272;0.783;0.976;1.0;0.883;0.582;0.257;0.605;0.619;0.27;0.269;0.257;0.619;0.354;0.35
ENST00000403433_90_90;0.595;0.609;0.317;0.666;0.86;0.883;1.0;0.638;0.267;0.616;0.635;0.283;0.283;0.267;0.634;0.357;0.352
ENST00000614256_90_90;0.64;0.671;0.186;0.365;0.561;0.582;0.638;1.0;0.089;0.444;0.449;0.09;0.09;0.089;0.449;0.438;0.427
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.296;0.257;0.257;0.267;0.089;1.0;0.736;0.534;0.708;0.772;1.0;0.572;0.305;0.423
ENSMUST00000049937_90_90;0.523;0.526;0.0;0.523;0.605;0.605;0.616;0.444;0.736;1.0;0.798;0.534;0.572;0.736;0.836;0.57;0.668
ENSMUST00000076639_90_90;0.526;0.53;0.0;0.539;0.619;0.619;0.635;0.449;0.534;0.798;1.0;0.665;0.644;0.534;0.956;0.635;0.577
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.311;0.269;0.27;0.283;0.09;0.708;0.534;0.665;1.0;0.913;0.708;0.644;0.324;0.315
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.311;0.269;0.269;0.283;0.09;0.772;0.572;0.644;0.913;1.0;0.772;0.689;0.368;0.353
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.296;0.257;0.257;0.267;0.089;1.0;0.736;0.534;0.708;0.772;1.0;0.572;0.305;0.423
ENSMUST00000107346_90_90;0.526;0.529;0.0;0.538;0.619;0.619;0.634;0.449;0.572;0.836;0.956;0.644;0.689;0.572;1.0;0.679;0.615
ENSMUST00000131868_90_90;0.532;0.538;0.0;0.267;0.354;0.354;0.357;0.438;0.305;0.57;0.635;0.324;0.368;0.305;0.679;1.0;0.692
ENSMUST00000146740_90_90;0.527;0.53;0.0;0.264;0.35;0.35;0.352;0.427;0.423;0.668;0.577;0.315;0.353;0.423;0.615;0.692;1.0
