;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;1.0;0.455;1.0;0.364;0.909;0.727;0.455;0.182;0.833;0.583;1.0;0.5;0.167
ENST00000369254_90_90;0.455;1.0;0.5;0.222;0.333;0.167;0.222;0.0;0.273;0.571;0.455;1.0;0.2
ENST00000369261_90_90;1.0;0.5;1.0;0.308;0.833;0.667;0.417;0.167;0.818;0.545;1.0;0.455;0.091
ENST00000447886_90_90;0.364;0.222;0.308;1.0;0.364;0.182;0.111;0.0;0.182;0.429;0.364;0.286;0.0
ENST00000536676_90_90;0.909;0.333;0.833;0.364;1.0;0.8;0.5;0.2;0.727;0.455;0.909;0.364;0.0
ENST00000539200_90_90;0.727;0.167;0.667;0.182;0.8;1.0;0.444;0.25;0.889;0.273;0.727;0.182;0.0
ENST00000544166_90_90;0.455;0.222;0.417;0.111;0.5;0.444;1.0;0.4;0.4;0.222;0.455;0.25;0.0
ENST00000620278_90_90;0.182;0.0;0.167;0.0;0.2;0.25;0.4;1.0;0.222;0.143;0.182;0.0;0.0
ENSMUST00000084781_90_90;0.833;0.273;0.818;0.182;0.727;0.889;0.4;0.222;1.0;0.417;0.833;0.333;0.182
ENSMUST00000108214_90_90;0.583;0.571;0.545;0.429;0.455;0.273;0.222;0.143;0.417;1.0;0.583;0.625;0.25
ENSMUST00000108218_90_90;1.0;0.455;1.0;0.364;0.909;0.727;0.455;0.182;0.833;0.583;1.0;0.5;0.154
ENSMUST00000140652_90_90;0.5;1.0;0.455;0.286;0.364;0.182;0.25;0.0;0.333;0.625;0.5;1.0;0.286
ENSMUST00000150920_90_90;0.167;0.2;0.091;0.0;0.0;0.0;0.0;0.0;0.182;0.25;0.154;0.286;1.0
