;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.179;1.0;0.641;0.564;0.7;0.7;0.7;0.641;0.667;0.667;0.615
transcript37_ENSMUGG00000013649;0.179;1.0;0.179;0.108;0.118;0.125;0.125;0.125;0.079;0.105;0.105;0.053
transcript34_ENSRNOG00000031503;1.0;0.179;1.0;0.641;0.564;0.7;0.7;0.7;0.641;0.667;0.667;0.615
transcript33_ENSMUSG00000054036;0.641;0.108;0.641;1.0;0.865;0.9;0.9;0.9;0.946;0.973;0.973;0.919
transcript33_MGP-PahariEiJ-G0020237;0.564;0.118;0.564;0.865;1.0;0.825;0.825;0.825;0.865;0.892;0.892;0.838
transcript27_ENSMUGG00000013649;0.7;0.125;0.7;0.9;0.825;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript40_ENSMUGG00000013649;0.7;0.125;0.7;0.9;0.825;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript39_ENSMUGG00000013592;0.7;0.125;0.7;0.9;0.825;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript49_ENSMUGG00000013649;0.641;0.079;0.641;0.946;0.865;0.9;0.9;0.9;1.0;0.973;0.973;0.972
transcript38_ENSMUGG00000013649;0.667;0.105;0.667;0.973;0.892;0.925;0.925;0.925;0.973;1.0;1.0;0.946
transcript45_ENSMUGG00000013649;0.667;0.105;0.667;0.973;0.892;0.925;0.925;0.925;0.973;1.0;1.0;0.946
transcript46_ENSMUGG00000013649;0.615;0.053;0.615;0.919;0.838;0.875;0.875;0.875;0.972;0.946;0.946;1.0
