;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript22_ENSAPOG00000016134;0.849;1.0;0.751;0.823;0.849;1.0;0.647;0.699;0.849;0.849;0.642;0.763;0.439;0.559;0.849;0.647;0.688;0.904;0.565;0.536;0.849;0.849;0.648;0.565
transcript27_ENSAPOG00000016134;0.647;0.751;1.0;0.574;0.647;0.751;0.803;0.495;0.647;0.647;0.439;0.514;0.548;0.477;0.647;0.803;0.484;0.682;0.421;0.364;0.647;0.647;0.478;0.421
transcript28_ENSAPOG00000016134;0.699;0.823;0.574;1.0;0.699;0.823;0.495;0.826;0.699;0.699;0.491;0.587;0.287;0.407;0.699;0.495;0.537;0.744;0.466;0.41;0.699;0.699;0.534;0.466
transcript19_ENSAPOG00000023408;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript22_ENSAPOG00000023408;0.849;1.0;0.751;0.823;0.849;1.0;0.647;0.699;0.849;0.849;0.642;0.763;0.439;0.559;0.849;0.647;0.688;0.904;0.565;0.536;0.849;0.849;0.648;0.565
transcript32_ENSAPOG00000023408;0.796;0.647;0.803;0.495;0.796;0.647;1.0;0.645;0.796;0.796;0.589;0.439;0.744;0.645;0.796;1.0;0.635;0.733;0.535;0.495;0.796;0.796;0.421;0.535
transcript33_ENSAPOG00000023408;0.849;0.699;0.495;0.826;0.849;0.699;0.645;1.0;0.849;0.849;0.641;0.491;0.438;0.558;0.849;0.645;0.687;0.785;0.58;0.542;0.849;0.849;0.466;0.58
transcript12_ENSAOCG00000015695;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript19_ENSAOCG00000015695;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
