;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.963;0.579;0.579;0.536;0.85;0.827;0.741;0.741;0.124;0.137;0.13;0.137;0.125;0.135;0.132;0.144;0.113
transcript8_ENSMUSG00000054036;1.0;1.0;0.963;0.579;0.579;0.536;0.85;0.827;0.741;0.741;0.124;0.137;0.13;0.137;0.125;0.135;0.132;0.144;0.113
transcript8_ENSRNOG00000031503;0.963;0.963;1.0;0.598;0.598;0.555;0.819;0.854;0.71;0.725;0.12;0.132;0.126;0.132;0.121;0.131;0.128;0.14;0.109
transcript47_MGP-SPRETEiJ-G0021131;0.579;0.579;0.598;1.0;1.0;0.743;0.492;0.511;0.454;0.552;0.079;0.08;0.076;0.079;0.073;0.079;0.077;0.084;0.066
transcript47_ENSMUSG00000054036;0.579;0.579;0.598;1.0;1.0;0.743;0.492;0.511;0.454;0.552;0.079;0.08;0.076;0.079;0.073;0.079;0.077;0.084;0.066
transcript47_ENSMUGG00000013649;0.536;0.536;0.555;0.743;0.743;1.0;0.457;0.476;0.351;0.435;0.079;0.08;0.076;0.079;0.073;0.079;0.077;0.084;0.066
transcript42_ENSMUSG00000054036;0.85;0.85;0.819;0.492;0.492;0.457;1.0;0.959;0.891;0.891;0.142;0.16;0.153;0.161;0.146;0.158;0.155;0.168;0.133
transcript42_ENSRNOG00000031503;0.827;0.827;0.854;0.511;0.511;0.476;0.959;1.0;0.85;0.866;0.136;0.154;0.147;0.155;0.141;0.153;0.149;0.162;0.128
transcript54_ENSMUSG00000054036;0.741;0.741;0.71;0.454;0.454;0.351;0.891;0.85;1.0;0.873;0.125;0.142;0.137;0.144;0.13;0.141;0.138;0.15;0.119
transcript55_ENSMUSG00000054036;0.741;0.741;0.725;0.552;0.552;0.435;0.891;0.866;0.873;1.0;0.126;0.143;0.137;0.144;0.131;0.142;0.139;0.151;0.119
transcript7_ENSMUGG00000013649;0.124;0.124;0.12;0.079;0.079;0.079;0.142;0.136;0.125;0.126;1.0;0.862;0.862;0.903;0.903;0.854;0.847;0.771;0.836
transcript7_ENSMUGG00000013592;0.137;0.137;0.132;0.08;0.08;0.08;0.16;0.154;0.142;0.143;0.862;1.0;0.85;0.805;0.913;0.99;0.856;0.779;0.824
transcript44_ENSMUGG00000013649;0.13;0.13;0.126;0.076;0.076;0.076;0.153;0.147;0.137;0.137;0.862;0.85;1.0;0.952;0.936;0.859;0.88;0.804;0.869
transcript48_ENSMUGG00000013649;0.137;0.137;0.132;0.079;0.079;0.079;0.161;0.155;0.144;0.144;0.903;0.805;0.952;1.0;0.891;0.814;0.835;0.759;0.827
transcript28_ENSMUGG00000013592;0.125;0.125;0.121;0.073;0.073;0.073;0.146;0.141;0.13;0.131;0.903;0.913;0.936;0.891;1.0;0.922;0.943;0.866;0.903
transcript52_ENSMUGG00000013592;0.135;0.135;0.131;0.079;0.079;0.079;0.158;0.153;0.141;0.142;0.854;0.99;0.859;0.814;0.922;1.0;0.865;0.788;0.833
transcript53_ENSMUGG00000013592;0.132;0.132;0.128;0.077;0.077;0.077;0.155;0.149;0.138;0.139;0.847;0.856;0.88;0.835;0.943;0.865;1.0;0.912;0.852
transcript54_ENSMUGG00000013592;0.144;0.144;0.14;0.084;0.084;0.084;0.168;0.162;0.15;0.151;0.771;0.779;0.804;0.759;0.866;0.788;0.912;1.0;0.782
transcript25_ENSPEMG00000024651;0.113;0.113;0.109;0.066;0.066;0.066;0.133;0.128;0.119;0.119;0.836;0.824;0.869;0.827;0.903;0.833;0.852;0.782;1.0
