;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.48;0.433;0.094;0.0;0.091;0.1;0.0;0.0;0.111;0.0;0.154;0.129;0.438;0.143;0.077;0.138
ENSCAFT00000023892_90_90;0.48;1.0;0.786;0.135;0.0;0.192;0.143;0.0;0.0;0.156;0.083;0.156;0.135;0.364;0.147;0.094;0.143
ENSCAFT00000043832_90_90;0.433;0.786;1.0;0.116;0.0;0.276;0.122;0.0;0.0;0.132;0.071;0.132;0.116;0.286;0.125;0.079;0.122
ENST00000292476_90_90;0.094;0.135;0.116;1.0;0.2;0.16;0.9;0.462;0.6;0.75;0.609;0.4;0.6;0.12;0.48;0.435;0.52
ENST00000412686_90_90;0.0;0.0;0.0;0.2;1.0;0.0;0.222;0.1;0.333;0.118;0.167;0.118;0.2;0.0;0.235;0.308;0.222
ENST00000430038_90_90;0.091;0.192;0.276;0.16;0.0;1.0;0.174;0.0;0.0;0.2;0.083;0.091;0.074;0.133;0.083;0.048;0.08
ENST00000436336_90_90;0.1;0.143;0.122;0.9;0.222;0.174;1.0;0.385;0.667;0.833;0.667;0.435;0.52;0.13;0.522;0.409;0.565
ENST00000440514_90_90;0.0;0.0;0.0;0.462;0.1;0.0;0.385;1.0;0.5;0.32;0.4;0.32;0.462;0.0;0.346;0.292;0.385
ENST00000441580_90_90;0.0;0.0;0.0;0.6;0.333;0.0;0.667;0.5;1.0;0.5;0.611;0.286;0.391;0.0;0.381;0.389;0.429
ENST00000451876_90_90;0.111;0.156;0.132;0.75;0.118;0.2;0.833;0.32;0.5;1.0;0.524;0.5;0.4;0.15;0.455;0.273;0.435
ENST00000452047_90_90;0.0;0.083;0.071;0.609;0.167;0.083;0.667;0.4;0.611;0.524;1.0;0.231;0.321;0.0;0.308;0.304;0.346
ENSMUST00000070487_90_90;0.154;0.156;0.132;0.4;0.118;0.091;0.435;0.32;0.286;0.5;0.231;1.0;0.75;0.278;0.882;0.474;0.833
ENSMUST00000160422_90_90;0.129;0.135;0.116;0.6;0.2;0.074;0.52;0.462;0.391;0.4;0.321;0.75;1.0;0.217;0.85;0.65;0.9
ENSMUST00000160574_90_90;0.438;0.364;0.286;0.12;0.0;0.133;0.13;0.0;0.0;0.15;0.0;0.278;0.217;1.0;0.25;0.167;0.238
ENSMUST00000160629_90_90;0.143;0.147;0.125;0.48;0.235;0.083;0.522;0.346;0.381;0.455;0.308;0.882;0.85;0.25;1.0;0.579;0.944
ENSMUST00000160762_90_90;0.077;0.094;0.079;0.435;0.308;0.048;0.409;0.292;0.389;0.273;0.304;0.474;0.65;0.167;0.579;1.0;0.632
ENSMUST00000162244_90_90;0.138;0.143;0.122;0.52;0.222;0.08;0.565;0.385;0.429;0.435;0.346;0.833;0.9;0.238;0.944;0.632;1.0
