;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.875;0.917;0.333;0.792;0.292;0.375;0.167;0.125;0.208;0.25;0.625;0.125;0.92;0.88;0.24;0.12;0.56;0.16
ENST00000263280_90_90;0.875;1.0;0.962;0.385;0.92;0.32;0.281;0.107;0.16;0.24;0.28;0.5;0.16;0.96;1.0;0.222;0.167;0.433;0.1
ENST00000391910_90_90;0.917;0.962;1.0;0.37;0.885;0.308;0.312;0.103;0.154;0.231;0.269;0.531;0.154;1.0;0.96;0.214;0.16;0.467;0.133
ENST00000435164_90_90;0.333;0.385;0.37;1.0;0.417;0.727;0.0;0.133;0.364;0.545;0.636;0.36;0.0;0.36;0.375;0.385;0.0;0.4;0.0
ENST00000539396_90_90;0.792;0.92;0.885;0.417;1.0;0.348;0.3;0.074;0.174;0.261;0.304;0.533;0.174;0.88;0.917;0.192;0.182;0.464;0.107
ENST00000593979_90_90;0.292;0.32;0.308;0.727;0.348;1.0;0.0;0.167;0.5;0.75;0.875;0.292;0.0;0.32;0.333;0.417;0.0;0.35;0.0
ENST00000594287_90_90;0.375;0.281;0.312;0.0;0.3;0.0;1.0;0.0;0.0;0.0;0.0;0.444;0.176;0.333;0.3;0.0;0.188;0.417;0.6
ENST00000594704_90_90;0.167;0.107;0.103;0.133;0.074;0.167;0.0;1.0;0.25;0.2;0.182;0.036;0.0;0.107;0.111;0.667;0.0;0.042;0.0
ENST00000596012_90_90;0.125;0.16;0.154;0.364;0.174;0.5;0.0;0.25;1.0;0.667;0.571;0.125;0.0;0.16;0.167;0.444;0.0;0.15;0.0
ENST00000597021_90_90;0.208;0.24;0.231;0.545;0.261;0.75;0.0;0.2;0.667;1.0;0.857;0.208;0.0;0.24;0.25;0.5;0.0;0.25;0.0
ENST00000597063_90_90;0.25;0.28;0.269;0.636;0.304;0.875;0.0;0.182;0.571;0.857;1.0;0.25;0.0;0.28;0.292;0.455;0.0;0.3;0.0
ENST00000600358_90_90;0.625;0.5;0.531;0.36;0.533;0.292;0.444;0.036;0.125;0.208;0.25;1.0;0.0;0.533;0.5;0.154;0.0;0.905;0.429
ENST00000600615_90_90;0.125;0.16;0.154;0.0;0.174;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.16;0.167;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.92;0.96;1.0;0.36;0.88;0.32;0.333;0.107;0.16;0.24;0.28;0.533;0.16;1.0;0.962;0.194;0.154;0.455;0.121
ENSMUST00000108495_90_90;0.88;1.0;0.96;0.375;0.917;0.333;0.3;0.111;0.167;0.25;0.292;0.5;0.167;0.962;1.0;0.2;0.16;0.424;0.091
ENSMUST00000184280_90_90;0.24;0.222;0.214;0.385;0.192;0.417;0.0;0.667;0.444;0.5;0.455;0.154;0.0;0.194;0.2;1.0;0.0;0.138;0.0
ENSMUST00000184694_90_90;0.12;0.167;0.16;0.0;0.182;0.0;0.188;0.0;0.0;0.0;0.0;0.0;1.0;0.154;0.16;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.56;0.433;0.467;0.4;0.464;0.35;0.417;0.042;0.15;0.25;0.3;0.905;0.0;0.455;0.424;0.138;0.0;1.0;0.5
ENSMUST00000185011_90_90;0.16;0.1;0.133;0.0;0.107;0.0;0.6;0.0;0.0;0.0;0.0;0.429;0.0;0.121;0.091;0.0;0.0;0.5;1.0
