;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.999;0.998;0.998;0.282;0.945;0.999;0.102;0.061;0.999;1.0;0.946;1.0;0.947
ENST00000372554_90_90;0.999;1.0;0.978;0.978;0.265;0.926;0.99;0.095;0.059;0.977;0.989;0.925;0.999;0.937
ENST00000372559_90_90;0.998;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.999;0.987;0.946;0.977;0.934
ENST00000372564_90_90;0.998;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.999;0.987;0.946;0.977;0.934
ENST00000416230_90_90;0.282;0.265;0.271;0.271;1.0;0.286;0.268;0.416;0.162;0.281;0.278;0.297;0.275;0.293
ENST00000416629_90_90;0.945;0.926;0.947;0.947;0.286;1.0;0.935;0.103;0.064;0.946;0.934;0.999;0.925;0.986
ENST00000417224_90_90;0.999;0.99;0.988;0.988;0.268;0.935;1.0;0.096;0.06;0.987;0.999;0.934;0.989;0.947
ENST00000425236_90_90;0.102;0.095;0.098;0.098;0.416;0.103;0.096;1.0;0.0;0.101;0.1;0.107;0.099;0.106
ENST00000455407_90_90;0.061;0.059;0.061;0.061;0.162;0.064;0.06;0.0;1.0;0.061;0.06;0.064;0.059;0.063
ENSMUST00000028214_90_90;0.999;0.977;0.999;0.999;0.281;0.946;0.987;0.101;0.061;1.0;0.988;0.947;0.978;0.935
ENSMUST00000100215_90_90;1.0;0.989;0.987;0.987;0.278;0.934;0.999;0.1;0.06;0.988;1.0;0.935;0.99;0.948
ENSMUST00000113620_90_90;0.946;0.925;0.946;0.946;0.297;0.999;0.934;0.107;0.064;0.947;0.935;1.0;0.926;0.987
ENSMUST00000113621_90_90;1.0;0.999;0.977;0.977;0.275;0.925;0.989;0.099;0.059;0.978;0.99;0.926;1.0;0.938
ENSMUST00000163668_90_90;0.947;0.937;0.934;0.934;0.293;0.986;0.947;0.106;0.063;0.935;0.948;0.987;0.938;1.0
