;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.505;0.913;0.844;0.958;0.958;0.958;0.767;0.863;0.97;0.773;0.872;0.997;0.675;1.0;0.686;0.696;0.675;0.773;0.536;0.677;0.846;0.846
transcript17_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.505;0.913;0.844;0.958;0.958;0.958;0.767;0.863;0.97;0.773;0.872;0.997;0.675;1.0;0.686;0.696;0.675;0.773;0.536;0.677;0.846;0.846
transcript20_ENSHGLG00100003156;0.964;0.964;1.0;1.0;0.973;1.0;0.546;0.949;0.875;0.994;0.994;0.994;0.739;0.886;0.994;0.745;0.844;0.964;0.653;0.964;0.664;0.672;0.653;0.745;0.519;0.654;0.877;0.877
transcript13_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.973;1.0;0.546;0.949;0.903;0.994;0.994;0.994;0.739;0.91;0.994;0.745;0.871;0.964;0.674;0.964;0.683;0.679;0.674;0.745;0.536;0.661;0.905;0.905
transcript17_ENSHGLG00000019563;1.0;1.0;0.973;0.973;1.0;0.973;0.51;0.921;0.877;0.967;0.967;0.967;0.767;0.893;0.976;0.773;0.9;0.997;0.697;1.0;0.706;0.704;0.697;0.773;0.554;0.685;0.88;0.88
transcript25_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.973;1.0;0.546;0.949;0.903;0.994;0.994;0.994;0.739;0.91;0.994;0.745;0.871;0.964;0.674;0.964;0.683;0.679;0.674;0.745;0.536;0.661;0.905;0.905
transcript26_ENSHGLG00000019563;0.505;0.505;0.546;0.546;0.51;0.546;1.0;0.479;0.483;0.54;0.54;0.54;0.246;0.488;0.54;0.252;0.449;0.505;0.225;0.505;0.228;0.195;0.225;0.252;0.068;0.199;0.487;0.487
transcript27_ENSHGLG00000019563;0.913;0.913;0.949;0.949;0.921;0.949;0.479;1.0;0.864;0.954;0.954;0.954;0.693;0.862;0.944;0.69;0.823;0.913;0.624;0.913;0.632;0.625;0.624;0.69;0.483;0.606;0.858;0.858
transcript0_ENSHGLG00100006079;0.844;0.844;0.875;0.903;0.877;0.903;0.483;0.864;1.0;0.774;0.774;0.774;0.575;0.978;0.766;0.573;0.967;0.743;0.817;0.743;0.804;0.725;0.817;0.554;0.711;0.712;0.993;0.993
transcript13_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.967;0.994;0.54;0.954;0.774;1.0;1.0;1.0;0.743;0.774;0.989;0.739;0.739;0.958;0.571;0.958;0.58;0.581;0.571;0.739;0.453;0.564;0.768;0.768
transcript20_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.967;0.994;0.54;0.954;0.774;1.0;1.0;1.0;0.743;0.774;0.989;0.739;0.739;0.958;0.571;0.958;0.58;0.581;0.571;0.739;0.453;0.564;0.768;0.768
transcript21_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.967;0.994;0.54;0.954;0.774;1.0;1.0;1.0;0.743;0.774;0.989;0.739;0.739;0.958;0.571;0.958;0.58;0.581;0.571;0.739;0.453;0.564;0.768;0.768
transcript22_ENSHGLG00100006079;0.767;0.767;0.739;0.739;0.767;0.739;0.246;0.693;0.575;0.743;0.743;0.743;1.0;0.581;0.743;0.992;0.588;0.764;0.711;0.767;0.725;0.738;0.711;0.992;0.564;0.718;0.571;0.571
transcript0_ENSMUNG00000002391;0.863;0.863;0.886;0.91;0.893;0.91;0.488;0.862;0.978;0.774;0.774;0.774;0.581;1.0;0.782;0.586;0.966;0.758;0.815;0.758;0.804;0.742;0.815;0.566;0.709;0.729;0.984;0.984
transcript21_ENSMUNG00000002391;0.97;0.97;0.994;0.994;0.976;0.994;0.54;0.944;0.766;0.989;0.989;0.989;0.743;0.782;1.0;0.749;0.747;0.97;0.578;0.97;0.587;0.588;0.578;0.749;0.459;0.572;0.768;0.768
transcript22_ENSMUNG00000002391;0.773;0.773;0.745;0.745;0.773;0.745;0.252;0.69;0.573;0.739;0.739;0.739;0.992;0.586;0.749;1.0;0.593;0.77;0.717;0.773;0.73;0.744;0.717;1.0;0.569;0.724;0.575;0.575
transcript8_ENSAPOG00000016134;0.872;0.872;0.844;0.871;0.9;0.871;0.449;0.823;0.967;0.739;0.739;0.739;0.588;0.966;0.747;0.593;1.0;0.763;0.846;0.765;0.832;0.751;0.846;0.573;0.737;0.738;0.974;0.974
transcript10_ENSAPOG00000016134;0.997;0.997;0.964;0.964;0.997;0.964;0.505;0.913;0.743;0.958;0.958;0.958;0.764;0.758;0.97;0.77;0.763;1.0;0.59;0.997;0.599;0.604;0.59;0.77;0.47;0.587;0.745;0.745
transcript12_ENSAPOG00000016134;0.675;0.675;0.653;0.674;0.697;0.674;0.225;0.624;0.817;0.571;0.571;0.571;0.711;0.815;0.578;0.717;0.846;0.59;1.0;0.592;0.984;0.889;1.0;0.688;0.872;0.874;0.824;0.824
transcript17_ENSAPOG00000016134;1.0;1.0;0.964;0.964;1.0;0.964;0.505;0.913;0.743;0.958;0.958;0.958;0.767;0.758;0.97;0.773;0.765;0.997;0.592;1.0;0.601;0.604;0.592;0.773;0.47;0.587;0.745;0.745
transcript20_ENSAPOG00000016134;0.686;0.686;0.664;0.683;0.706;0.683;0.228;0.632;0.804;0.58;0.58;0.58;0.725;0.804;0.587;0.73;0.832;0.599;0.984;0.601;1.0;0.903;0.984;0.701;0.856;0.888;0.811;0.811
transcript7_ENSAPOG00000023408;0.696;0.696;0.672;0.679;0.704;0.679;0.195;0.625;0.725;0.581;0.581;0.581;0.738;0.742;0.588;0.744;0.751;0.604;0.889;0.604;0.903;1.0;0.889;0.706;0.827;0.984;0.731;0.731
transcript12_ENSAPOG00000023408;0.675;0.675;0.653;0.674;0.697;0.674;0.225;0.624;0.817;0.571;0.571;0.571;0.711;0.815;0.578;0.717;0.846;0.59;1.0;0.592;0.984;0.889;1.0;0.688;0.872;0.874;0.824;0.824
transcript22_ENSAPOG00000023408;0.773;0.773;0.745;0.745;0.773;0.745;0.252;0.69;0.554;0.739;0.739;0.739;0.992;0.566;0.749;1.0;0.573;0.77;0.688;0.773;0.701;0.706;0.688;1.0;0.547;0.687;0.557;0.557
transcript23_ENSAPOG00000023408;0.536;0.536;0.519;0.536;0.554;0.536;0.068;0.483;0.711;0.453;0.453;0.453;0.564;0.709;0.459;0.569;0.737;0.47;0.872;0.47;0.856;0.827;0.872;0.547;1.0;0.811;0.718;0.718
transcript24_ENSAPOG00000023408;0.677;0.677;0.654;0.661;0.685;0.661;0.199;0.606;0.712;0.564;0.564;0.564;0.718;0.729;0.572;0.724;0.738;0.587;0.874;0.587;0.888;0.984;0.874;0.687;0.811;1.0;0.718;0.718
transcript0_ENSPNYG00000024266;0.846;0.846;0.877;0.905;0.88;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.571;0.984;0.768;0.575;0.974;0.745;0.824;0.745;0.811;0.731;0.824;0.557;0.718;0.718;1.0;1.0
transcript0_ENSXMAG00000026005;0.846;0.846;0.877;0.905;0.88;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.571;0.984;0.768;0.575;0.974;0.745;0.824;0.745;0.811;0.731;0.824;0.557;0.718;0.718;1.0;1.0
