id_transcript;id_gene
ENSBTAT00000013468_98;ENSBTAG00000010208_98
ENSBTAT00000026228_98;ENSBTAG00000019680_98
ENSBTAT00000082754_98;ENSBTAG00000019680_98
ENSBTAT00000052828_98;ENSBTAG00000026032_98
ENSCAFT00000005976_98;ENSCAFG00000003713_98
ENSCAFT00000077108_98;ENSCAFG00000003713_98
ENSCAFT00000080124_98;ENSCAFG00000003713_98
ENSCAFT00000030487_98;ENSCAFG00000019206_98
ENSCAFT00000031886_98;ENSCAFG00000020039_98
ENSCAFT00000075890_98;ENSCAFG00000020039_98
ENSCAFT00000084785_98;ENSCAFG00000020039_98
ENSCAFT00020015645_98;ENSCAFG00020010875_98
ENSCAFT00020016883_98;ENSCAFG00020011727_98
ENSCAFT00020033891_98;ENSCAFG00020022864_98
ENSCAFT00020033914_98;ENSCAFG00020022864_98
ENSCAFT00020033916_98;ENSCAFG00020022864_98
ENSCAFT00020033921_98;ENSCAFG00020022864_98
ENST00000291900_98;ENSG00000160445_98
ENST00000414921_98;ENSG00000160445_98
ENST00000427848_98;ENSG00000160445_98
ENST00000294353_98;ENSG00000162378_98
ENST00000545132_98;ENSG00000162378_98
ENST00000371528_98;ENSG00000203995_98
ENST00000371532_98;ENSG00000203995_98
ENST00000612017_98;ENSG00000203995_98
ENSGALT00000007424_98;ENSGALG00000004659_98
ENSGALT00000054395_98;ENSGALG00000004659_98
ENSGALT00000017315_98;ENSGALG00000010643_98
ENSMUST00000043616_98;ENSMUSG00000034636_98
ENSMUST00000043793_98;ENSMUSG00000034645_98
ENSMUST00000106690_98;ENSMUSG00000034645_98
ENSMUST00000223127_98;ENSMUSG00000034645_98
ENSMUST00000044751_98;ENSMUSG00000039686_98
ENSMUST00000113677_98;ENSMUSG00000039686_98
