;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.0;0.502;0.0;0.502;0.502;0.502;0.502;0.0;0.0;0.502;0.502;0.0;0.0;0.0
ENST00000311089_90_90;0.0;1.0;0.336;0.495;0.0;0.659;0.466;0.292;0.0;0.581;0.3;0.24;0.0;0.73;0.0
ENST00000553645_90_90;0.502;0.336;1.0;0.183;0.393;0.505;0.714;0.598;0.254;0.217;0.62;0.718;0.333;0.275;0.349
ENST00000554113_90_90;0.0;0.495;0.183;1.0;0.0;0.348;0.241;0.277;0.0;0.689;0.272;0.213;0.0;0.347;0.0
ENST00000554159_90_90;0.502;0.0;0.393;0.0;1.0;0.141;0.333;0.398;0.411;0.0;0.344;0.333;0.265;0.0;0.437
ENST00000554339_90_90;0.502;0.659;0.505;0.348;0.141;1.0;0.661;0.494;0.036;0.41;0.544;0.434;0.0;0.499;0.0
ENST00000554871_90_90;0.502;0.466;0.714;0.241;0.333;0.661;1.0;0.827;0.357;0.287;0.692;0.562;0.159;0.351;0.115
ENST00000555631_90_90;0.502;0.292;0.598;0.277;0.398;0.494;0.827;1.0;0.439;0.332;0.784;0.621;0.175;0.232;0.128
ENST00000555919_90_90;0.0;0.0;0.254;0.0;0.411;0.036;0.357;0.439;1.0;0.0;0.268;0.213;0.296;0.0;0.212
ENST00000559993_90_90;0.0;0.581;0.217;0.689;0.0;0.41;0.287;0.332;0.0;1.0;0.328;0.257;0.0;0.534;0.0
ENSMUST00000046340_90_90;0.502;0.3;0.62;0.272;0.344;0.544;0.692;0.784;0.268;0.328;1.0;0.74;0.22;0.216;0.092
ENSMUST00000123491_90_90;0.502;0.24;0.718;0.213;0.333;0.434;0.562;0.621;0.213;0.257;0.74;1.0;0.465;0.173;0.313
ENSMUST00000136159_90_90;0.0;0.0;0.333;0.0;0.265;0.0;0.159;0.175;0.296;0.0;0.22;0.465;1.0;0.0;0.506
ENSMUST00000140812_90_90;0.0;0.73;0.275;0.347;0.0;0.499;0.351;0.232;0.0;0.534;0.216;0.173;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.0;0.0;0.349;0.0;0.437;0.0;0.115;0.128;0.212;0.0;0.092;0.313;0.506;0.0;1.0
