;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.875;0.611;0.706;0.083;0.278;0.125;0.2;0.294;0.125;0.083;0.6;0.684;0.625
ENSCAFT00000008030_90_90;0.875;1.0;0.706;0.611;0.083;0.278;0.059;0.2;0.222;0.125;0.083;0.684;0.6;0.625
ENST00000293217_90_90;0.611;0.706;1.0;0.867;0.19;0.467;0.062;0.214;0.4;0.133;0.19;0.55;0.476;0.562
ENST00000301608_90_90;0.706;0.611;0.867;1.0;0.19;0.467;0.133;0.214;0.5;0.133;0.19;0.476;0.55;0.562
ENST00000572047_90_90;0.083;0.083;0.19;0.19;1.0;0.267;0.0;0.0;0.286;0.0;1.0;0.167;0.167;0.0
ENST00000573078_90_90;0.278;0.278;0.467;0.467;0.267;1.0;0.222;0.0;0.667;0.0;0.267;0.19;0.19;0.188
ENST00000576743_90_90;0.125;0.059;0.062;0.133;0.0;0.222;1.0;0.0;0.25;0.0;0.0;0.053;0.111;0.077
ENST00000587927_90_90;0.2;0.2;0.214;0.214;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.176;0.176;0.273
ENST00000588176_90_90;0.294;0.222;0.4;0.5;0.286;0.667;0.25;0.0;1.0;0.0;0.286;0.143;0.2;0.125
ENST00000588968_90_90;0.125;0.125;0.133;0.133;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.111;0.111;0.167
ENST00000589301_90_90;0.083;0.083;0.19;0.19;1.0;0.267;0.0;0.0;0.286;0.0;1.0;0.167;0.167;0.0
ENSMUST00000066587_90_90;0.6;0.684;0.55;0.476;0.167;0.19;0.053;0.176;0.143;0.111;0.167;1.0;0.889;0.556
ENSMUST00000072948_90_90;0.684;0.6;0.476;0.55;0.167;0.19;0.111;0.176;0.2;0.111;0.167;0.889;1.0;0.556
ENSMUST00000148601_90_90;0.625;0.625;0.562;0.562;0.0;0.188;0.077;0.273;0.125;0.167;0.0;0.556;0.556;1.0
