;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;1.0;0.007;0.136;0.221;0.238;0.05;0.095;0.238;0.05;0.136;0.05;0.05;0.201;0.05;0.05;0.078;0.136;0.007;0.136
ENST00000341217_90_90;0.007;1.0;0.772;0.091;0.014;0.0;0.0;0.014;0.0;0.772;0.0;0.0;0.198;0.0;0.0;0.0;0.772;1.0;0.772
ENST00000452648_90_90;0.136;0.772;1.0;0.319;0.242;0.049;0.046;0.242;0.049;1.0;0.049;0.049;0.426;0.049;0.049;0.078;1.0;0.772;1.0
ENST00000577376_90_90;0.221;0.091;0.319;1.0;0.76;0.152;0.133;0.76;0.152;0.319;0.152;0.152;0.748;0.152;0.152;0.244;0.319;0.091;0.319
ENST00000577513_90_90;0.238;0.014;0.242;0.76;1.0;0.2;0.168;1.0;0.2;0.242;0.2;0.2;0.568;0.2;0.2;0.321;0.242;0.014;0.242
ENST00000577682_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000579381_90_90;0.095;0.0;0.046;0.133;0.168;0.519;1.0;0.168;0.519;0.046;0.519;0.519;0.103;0.519;0.519;0.389;0.046;0.0;0.046
ENST00000581229_90_90;0.238;0.014;0.242;0.76;1.0;0.2;0.168;1.0;0.2;0.242;0.2;0.2;0.568;0.2;0.2;0.321;0.242;0.014;0.242
ENST00000581381_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000581407_90_90;0.136;0.772;1.0;0.319;0.242;0.049;0.046;0.242;0.049;1.0;0.049;0.049;0.426;0.049;0.049;0.078;1.0;0.772;1.0
ENST00000582059_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000582266_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000583307_90_90;0.201;0.198;0.426;0.748;0.568;0.114;0.103;0.568;0.114;0.426;0.114;0.114;1.0;0.114;0.114;0.182;0.426;0.198;0.426
ENST00000583522_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000583953_90_90;0.05;0.0;0.049;0.152;0.2;1.0;0.519;0.2;1.0;0.049;1.0;1.0;0.114;1.0;1.0;0.617;0.049;0.0;0.049
ENST00000584059_90_90;0.078;0.0;0.078;0.244;0.321;0.617;0.389;0.321;0.617;0.078;0.617;0.617;0.182;0.617;0.617;1.0;0.078;0.0;0.078
ENSMUST00000073705_90_90;0.136;0.772;1.0;0.319;0.242;0.049;0.046;0.242;0.049;1.0;0.049;0.049;0.426;0.049;0.049;0.078;1.0;0.772;1.0
ENSMUST00000100782_90_90;0.007;1.0;0.772;0.091;0.014;0.0;0.0;0.014;0.0;0.772;0.0;0.0;0.198;0.0;0.0;0.0;0.772;1.0;0.772
ENSMUST00000155571_90_90;0.136;0.772;1.0;0.319;0.242;0.049;0.046;0.242;0.049;1.0;0.049;0.049;0.426;0.049;0.049;0.078;1.0;0.772;1.0
