;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.696;0.591;0.682;0.696;0.652;0.739;0.615;0.636;0.318;0.739;0.227;0.095;0.591;0.667;0.381;0.818;0.762;0.727;0.667;0.773;0.409;0.095;0.32;0.714;0.818
ENST00000242066_90_90;0.696;1.0;0.545;0.636;1.0;0.85;0.95;0.783;0.667;0.4;0.95;0.3;0.158;0.619;0.773;0.273;0.773;0.565;0.682;0.478;0.81;0.5;0.158;0.333;0.591;0.773
ENST00000399357_90_90;0.591;0.545;1.0;0.882;0.545;0.5;0.591;0.542;0.824;0.143;0.591;0.1;0.0;0.765;0.458;0.6;0.522;0.778;0.435;0.875;0.478;0.182;0.0;0.167;0.722;0.522
ENST00000403527_90_90;0.682;0.636;0.882;1.0;0.636;0.591;0.682;0.625;0.941;0.182;0.682;0.091;0.0;0.882;0.542;0.529;0.609;0.889;0.522;0.778;0.565;0.273;0.0;0.25;0.833;0.609
ENST00000403685_90_90;0.696;1.0;0.545;0.636;1.0;0.85;0.95;0.783;0.667;0.4;0.95;0.3;0.158;0.619;0.773;0.273;0.773;0.565;0.682;0.478;0.81;0.5;0.158;0.333;0.591;0.773
ENST00000405192_90_90;0.652;0.85;0.5;0.591;0.85;1.0;0.9;0.739;0.545;0.5;0.9;0.389;0.167;0.5;0.727;0.286;0.727;0.522;0.8;0.435;0.682;0.526;0.167;0.409;0.478;0.727
ENST00000405218_90_90;0.739;0.95;0.591;0.682;0.95;0.9;1.0;0.826;0.636;0.45;1.0;0.35;0.15;0.591;0.818;0.318;0.818;0.609;0.727;0.522;0.773;0.476;0.15;0.375;0.565;0.818
ENST00000405358_90_90;0.615;0.783;0.542;0.625;0.783;0.739;0.826;1.0;0.583;0.348;0.826;0.261;0.087;0.542;0.68;0.292;0.68;0.56;0.6;0.48;0.64;0.375;0.087;0.458;0.52;0.68
ENST00000420159_90_90;0.636;0.667;0.824;0.941;0.667;0.545;0.636;0.583;1.0;0.136;0.636;0.045;0.0;0.938;0.5;0.471;0.565;0.833;0.478;0.722;0.591;0.286;0.0;0.208;0.882;0.565
ENST00000421381_90_90;0.318;0.4;0.143;0.182;0.4;0.5;0.45;0.348;0.136;1.0;0.45;0.778;0.333;0.143;0.45;0.2;0.381;0.182;0.421;0.143;0.333;0.538;0.333;0.467;0.136;0.381
ENST00000430479_90_90;0.739;0.95;0.591;0.682;0.95;0.9;1.0;0.826;0.636;0.45;1.0;0.35;0.15;0.591;0.818;0.318;0.818;0.609;0.727;0.522;0.773;0.476;0.15;0.375;0.565;0.818
ENST00000431887_90_90;0.227;0.3;0.1;0.091;0.3;0.389;0.35;0.261;0.045;0.778;0.35;1.0;0.429;0.048;0.35;0.143;0.286;0.091;0.316;0.1;0.238;0.385;0.429;0.333;0.045;0.286
ENST00000433547_90_90;0.095;0.158;0.0;0.0;0.158;0.167;0.15;0.087;0.0;0.333;0.15;0.429;1.0;0.0;0.15;0.0;0.15;0.0;0.167;0.0;0.158;0.273;1.0;0.143;0.0;0.15
ENST00000438956_90_90;0.591;0.619;0.765;0.882;0.619;0.5;0.591;0.542;0.938;0.143;0.591;0.048;0.0;1.0;0.522;0.5;0.522;0.778;0.435;0.667;0.545;0.3;0.0;0.217;0.824;0.522
ENST00000443137_90_90;0.667;0.773;0.458;0.542;0.773;0.727;0.818;0.68;0.5;0.45;0.818;0.35;0.15;0.522;1.0;0.318;0.739;0.542;0.652;0.458;0.696;0.476;0.15;0.375;0.5;0.739
ENST00000443608_90_90;0.381;0.273;0.6;0.529;0.273;0.286;0.318;0.292;0.471;0.2;0.318;0.143;0.0;0.5;0.318;1.0;0.318;0.529;0.286;0.6;0.273;0.25;0.0;0.222;0.471;0.318
ENSMUST00000095767_90_90;0.818;0.773;0.522;0.609;0.773;0.727;0.818;0.68;0.565;0.381;0.818;0.286;0.15;0.522;0.739;0.318;1.0;0.682;0.9;0.591;0.95;0.55;0.15;0.435;0.636;1.0
ENSMUST00000159334_90_90;0.762;0.565;0.778;0.889;0.565;0.522;0.609;0.56;0.833;0.182;0.609;0.091;0.0;0.778;0.542;0.529;0.682;1.0;0.591;0.882;0.636;0.273;0.0;0.25;0.941;0.682
ENSMUST00000160244_90_90;0.727;0.682;0.435;0.522;0.682;0.8;0.727;0.6;0.478;0.421;0.727;0.316;0.167;0.435;0.652;0.286;0.9;0.591;1.0;0.5;0.85;0.611;0.167;0.476;0.545;0.9
ENSMUST00000160701_90_90;0.667;0.478;0.875;0.778;0.478;0.435;0.522;0.48;0.722;0.143;0.522;0.1;0.0;0.667;0.458;0.6;0.591;0.882;0.5;1.0;0.545;0.182;0.0;0.167;0.824;0.591
ENSMUST00000160856_90_90;0.773;0.81;0.478;0.565;0.81;0.682;0.773;0.64;0.591;0.333;0.773;0.238;0.158;0.545;0.696;0.273;0.95;0.636;0.85;0.545;1.0;0.579;0.158;0.391;0.667;0.95
