;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;;0.554;0.922;0.804;0.853;0.103;0.022;0.0;0.029;0.354;0.09;0.0
ENST00000370183_90_90;0.554;;;;;0.098;0.0;0.0;0.0;0.56;0.168;0.0
ENST00000370187_90_90;0.922;;;;;0.122;0.041;0.0;0.048;0.379;0.09;0.0
ENST00000393441_90_90;0.804;;;;;0.09;0.047;0.0;0.057;0.271;0.069;0.0
ENST00000408038_90_90;0.853;;;;;0.13;0.042;0.0;0.052;0.406;0.098;0.0
ENSMUST00000065601_90_90;0.103;0.098;0.122;0.09;0.13;;;;;;;
ENSMUST00000111936_90_90;0.022;0.0;0.041;0.047;0.042;;;;;;;
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000223764_90_90;0.029;0.0;0.048;0.057;0.052;;;;;;;
ENSMUST00000224102_90_90;0.354;0.56;0.379;0.271;0.406;;;;;;;
ENSMUST00000224318_90_90;0.09;0.168;0.09;0.069;0.098;;;;;;;
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;;;;;;;
