;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.848;0.547;0.378;0.698;0.346;0.152;0.152;0.47;0.368;0.159;0.418;0.295;0.198;0.451;0.397
ENST00000158771_90_90;0.848;1.0;0.586;0.414;0.739;0.405;0.173;0.173;0.456;0.379;0.162;0.371;0.3;0.201;0.403;0.339
ENST00000570848_90_90;0.547;0.586;1.0;0.487;0.811;0.525;0.206;0.206;0.415;0.622;0.159;0.236;0.386;0.249;0.236;0.141
ENST00000571476_90_90;0.378;0.414;0.487;1.0;0.397;0.523;0.213;0.213;0.089;0.773;0.287;0.162;0.431;0.41;0.162;0.027
ENST00000571971_90_90;0.698;0.739;0.811;0.397;1.0;0.427;0.178;0.178;0.474;0.51;0.139;0.353;0.318;0.21;0.353;0.282
ENST00000572834_90_90;0.346;0.405;0.525;0.523;0.427;1.0;0.331;0.331;0.066;0.526;0.24;0.195;0.212;0.277;0.195;0.064
ENST00000573637_90_90;0.152;0.173;0.206;0.213;0.178;0.331;1.0;1.0;0.0;0.231;0.092;0.058;0.039;0.1;0.058;0.0
ENST00000574952_90_90;0.152;0.173;0.206;0.213;0.178;0.331;1.0;1.0;0.0;0.231;0.092;0.058;0.039;0.1;0.058;0.0
ENST00000575605_90_90;0.47;0.456;0.415;0.089;0.474;0.066;0.0;0.0;1.0;0.166;0.0;0.268;0.183;0.042;0.3;0.443
ENST00000576551_90_90;0.368;0.379;0.622;0.773;0.51;0.526;0.231;0.231;0.166;1.0;0.214;0.194;0.396;0.37;0.194;0.071
ENSMUST00000018586_90_90;0.159;0.162;0.159;0.287;0.139;0.24;0.092;0.092;0.0;0.214;1.0;0.446;0.303;0.556;0.446;0.05
ENSMUST00000108523_90_90;0.418;0.371;0.236;0.162;0.353;0.195;0.058;0.058;0.268;0.194;0.446;1.0;0.175;0.283;0.94;0.554
ENSMUST00000131340_90_90;0.295;0.3;0.386;0.431;0.318;0.212;0.039;0.039;0.183;0.396;0.303;0.175;1.0;0.509;0.175;0.0
ENSMUST00000132198_90_90;0.198;0.201;0.249;0.41;0.21;0.277;0.1;0.1;0.042;0.37;0.556;0.283;0.509;1.0;0.283;0.0
ENSMUST00000143850_90_90;0.451;0.403;0.236;0.162;0.353;0.195;0.058;0.058;0.3;0.194;0.446;0.94;0.175;0.283;1.0;0.603
ENSMUST00000171041_90_90;0.397;0.339;0.141;0.027;0.282;0.064;0.0;0.0;0.443;0.071;0.05;0.554;0.0;0.0;0.603;1.0
