;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.995;0.995;0.352;0.995;0.785;0.587;0.773;0.267;0.5
ENST00000617070_90_90;0.995;1.0;1.0;0.354;1.0;0.789;0.589;0.777;0.268;0.502
ENST00000617991_90_90;0.995;1.0;1.0;0.354;1.0;0.789;0.589;0.777;0.268;0.502
ENST00000622969_90_90;0.352;0.354;0.354;1.0;0.354;0.157;0.157;0.354;0.0;0.305
ENST00000623597_90_90;0.995;1.0;1.0;0.354;1.0;0.789;0.589;0.777;0.268;0.502
ENST00000623893_90_90;0.785;0.789;0.789;0.157;0.789;1.0;0.725;0.589;0.33;0.296
ENSMUST00000064664_90_90;0.587;0.589;0.589;0.157;0.589;0.725;1.0;0.789;0.541;0.296
ENSMUST00000064679_90_90;0.773;0.777;0.777;0.354;0.777;0.589;0.789;1.0;0.427;0.502
ENSMUST00000129905_90_90;0.267;0.268;0.268;0.0;0.268;0.33;0.541;0.427;1.0;0.458
ENSMUST00000136247_90_90;0.5;0.502;0.502;0.305;0.502;0.296;0.296;0.502;0.458;1.0
