;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.554;0.843;1.0;1.0;0.805;0.38;0.815;0.841;1.0;0.626;0.584
transcript15_ENSSTOG00000019743;1.0;1.0;0.554;0.843;1.0;1.0;0.805;0.38;0.815;0.841;1.0;0.626;0.584
transcript8_ENSNGAG00000018584;0.554;0.554;1.0;0.664;0.562;0.91;0.639;0.392;0.631;0.611;0.84;0.845;0.807
transcript9_ENSNGAG00000018584;0.843;0.843;0.664;1.0;0.856;0.911;0.902;0.412;0.913;0.943;0.842;0.575;0.54
transcript2_ENSMLUG00000027828;1.0;1.0;0.562;0.856;1.0;1.0;0.819;0.389;0.828;0.854;1.0;0.626;0.586
transcript8_ENSPEMG00000024651;1.0;1.0;0.91;0.911;1.0;1.0;0.869;0.429;0.869;0.869;1.0;0.995;0.943
transcript18_ENSNGAG00000018584;0.805;0.805;0.639;0.902;0.819;0.869;1.0;0.427;0.929;0.958;0.839;0.594;0.559
transcript7_ENSNGAG00000018584;0.38;0.38;0.392;0.412;0.389;0.429;0.427;1.0;0.47;0.455;0.468;0.378;0.403
transcript19_ENSNGAG00000018584;0.815;0.815;0.631;0.913;0.828;0.869;0.929;0.47;1.0;0.97;0.839;0.589;0.553
transcript10_ENSNGAG00000018584;0.841;0.841;0.611;0.943;0.854;0.869;0.958;0.455;0.97;1.0;0.839;0.572;0.537
transcript17_ENSMUGG00000013649;1.0;1.0;0.84;0.842;1.0;1.0;0.839;0.468;0.839;0.839;1.0;0.993;0.993
transcript29_ENSMUGG00000013592;0.626;0.626;0.845;0.575;0.626;0.995;0.594;0.378;0.589;0.572;0.993;1.0;0.95
transcript17_ENSMUGG00000013592;0.584;0.584;0.807;0.54;0.586;0.943;0.559;0.403;0.553;0.537;0.993;0.95;1.0
