;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.412;1.0;0.871;0.861;0.955;0.955;0.955;0.871;0.874;0.874;0.858
transcript37_ENSMUGG00000013649;0.412;1.0;0.412;0.333;0.337;0.394;0.394;0.394;0.329;0.332;0.332;0.316
transcript34_ENSRNOG00000031503;1.0;0.412;1.0;0.871;0.861;0.955;0.955;0.955;0.871;0.874;0.874;0.858
transcript33_ENSMUSG00000054036;0.871;0.333;0.871;1.0;0.982;0.91;0.91;0.91;0.993;0.996;0.996;0.979
transcript33_MGP-PahariEiJ-G0020237;0.861;0.337;0.861;0.982;1.0;0.9;0.9;0.9;0.982;0.986;0.986;0.968
transcript27_ENSMUGG00000013649;0.955;0.394;0.955;0.91;0.9;1.0;1.0;1.0;0.91;0.913;0.913;0.897
transcript40_ENSMUGG00000013649;0.955;0.394;0.955;0.91;0.9;1.0;1.0;1.0;0.91;0.913;0.913;0.897
transcript39_ENSMUGG00000013592;0.955;0.394;0.955;0.91;0.9;1.0;1.0;1.0;0.91;0.913;0.913;0.897
transcript49_ENSMUGG00000013649;0.871;0.329;0.871;0.993;0.982;0.91;0.91;0.91;1.0;0.996;0.996;0.986
transcript38_ENSMUGG00000013649;0.874;0.332;0.874;0.996;0.986;0.913;0.913;0.913;0.996;1.0;1.0;0.982
transcript45_ENSMUGG00000013649;0.874;0.332;0.874;0.996;0.986;0.913;0.913;0.913;0.996;1.0;1.0;0.982
transcript46_ENSMUGG00000013649;0.858;0.316;0.858;0.979;0.968;0.897;0.897;0.897;0.986;0.982;0.982;1.0
