;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.764;0.717;0.818;0.097;0.086;0.085;0.071;0.067;0.071;0.071;0.077;0.073;0.07;0.084;0.091;0.091
transcript7_ENSMLUG00000027828;0.764;1.0;0.659;0.762;0.078;0.095;0.068;0.067;0.073;0.067;0.067;0.072;0.068;0.076;0.091;0.1;0.099
transcript7_ENSSTOG00000019743;0.717;0.659;1.0;0.846;0.077;0.085;0.068;0.075;0.066;0.075;0.075;0.082;0.077;0.069;0.082;0.09;0.089
transcript7_ENSCCNG00000000226;0.818;0.762;0.846;1.0;0.094;0.103;0.082;0.091;0.08;0.091;0.091;0.1;0.094;0.083;0.099;0.108;0.107
transcript25_ENSMPUG00000020072;0.097;0.078;0.077;0.094;1.0;0.706;0.776;0.636;0.613;0.636;0.636;0.66;0.64;0.588;0.686;0.675;0.621
transcript25_ENSMLUG00000027828;0.086;0.095;0.085;0.103;0.706;1.0;0.568;0.613;0.766;0.613;0.613;0.609;0.621;0.731;0.881;0.954;0.831
transcript28_ENSMPUG00000020072;0.085;0.068;0.068;0.082;0.776;0.568;1.0;0.751;0.706;0.751;0.751;0.782;0.756;0.681;0.554;0.541;0.499
transcript12_ENSECAG00000007947;0.071;0.067;0.075;0.091;0.636;0.613;0.751;1.0;0.803;1.0;1.0;0.929;0.974;0.786;0.648;0.593;0.601
transcript12_ENSMLUG00000027828;0.067;0.073;0.066;0.08;0.613;0.766;0.706;0.803;1.0;0.803;0.803;0.746;0.786;0.964;0.795;0.731;0.728
transcript23_ENSECAG00000007947;0.071;0.067;0.075;0.091;0.636;0.613;0.751;1.0;0.803;1.0;1.0;0.929;0.974;0.786;0.648;0.593;0.601
transcript31_ENSECAG00000007947;0.071;0.067;0.075;0.091;0.636;0.613;0.751;1.0;0.803;1.0;1.0;0.929;0.974;0.786;0.648;0.593;0.601
transcript32_ENSECAG00000007947;0.077;0.072;0.082;0.1;0.66;0.609;0.782;0.929;0.746;0.929;0.929;1.0;0.947;0.728;0.59;0.59;0.541
transcript33_ENSECAG00000007947;0.073;0.068;0.077;0.094;0.64;0.621;0.756;0.974;0.786;0.974;0.974;0.947;1.0;0.769;0.631;0.602;0.583
transcript15_ENSMLUG00000027828;0.07;0.076;0.069;0.083;0.588;0.731;0.681;0.786;0.964;0.786;0.786;0.728;0.769;1.0;0.825;0.758;0.754
transcript16_ENSMLUG00000027828;0.084;0.091;0.082;0.099;0.686;0.881;0.554;0.648;0.795;0.648;0.648;0.59;0.631;0.825;1.0;0.92;0.915
transcript26_ENSMLUG00000027828;0.091;0.1;0.09;0.108;0.675;0.954;0.541;0.593;0.731;0.593;0.593;0.59;0.602;0.758;0.92;1.0;0.867
transcript27_ENSMLUG00000027828;0.091;0.099;0.089;0.107;0.621;0.831;0.499;0.601;0.728;0.601;0.601;0.541;0.583;0.754;0.915;0.867;1.0
