;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.45;0.523;0.525;0.687;0.011;0.576;0.161;0.468;0.454;0.274;0.482;0.555;0.207;0.614;0.485;0.611
ENSCAFT00000023892_90_90;0.45;1.0;0.788;0.78;0.331;0.088;0.859;0.39;0.645;0.984;0.495;0.991;0.784;0.239;0.861;0.607;0.865
ENSCAFT00000043832_90_90;0.523;0.788;1.0;0.991;0.419;0.069;0.899;0.506;0.704;0.776;0.557;0.781;0.996;0.189;0.9;0.767;0.903
ENST00000292476_90_90;0.525;0.78;0.991;1.0;0.419;0.066;0.907;0.483;0.71;0.784;0.558;0.778;0.994;0.185;0.897;0.765;0.901
ENST00000412686_90_90;0.687;0.331;0.419;0.419;1.0;0.0;0.462;0.182;0.59;0.332;0.312;0.332;0.419;0.0;0.464;0.543;0.462
ENST00000430038_90_90;0.011;0.088;0.069;0.066;0.0;1.0;0.072;0.0;0.0;0.082;0.066;0.081;0.065;0.351;0.071;0.079;0.071
ENST00000436336_90_90;0.576;0.859;0.899;0.907;0.462;0.072;1.0;0.403;0.783;0.865;0.605;0.858;0.901;0.203;0.989;0.728;0.993
ENST00000440514_90_90;0.161;0.39;0.506;0.483;0.182;0.0;0.403;1.0;0.485;0.368;0.402;0.389;0.509;0.0;0.421;0.462;0.424
ENST00000441580_90_90;0.468;0.645;0.704;0.71;0.59;0.0;0.783;0.485;1.0;0.648;0.613;0.643;0.705;0.0;0.774;0.744;0.778
ENST00000451876_90_90;0.454;0.984;0.776;0.784;0.332;0.082;0.865;0.368;0.648;1.0;0.493;0.992;0.778;0.234;0.862;0.601;0.858
ENST00000452047_90_90;0.274;0.495;0.557;0.558;0.312;0.066;0.605;0.402;0.613;0.493;1.0;0.498;0.563;0.065;0.608;0.574;0.612
ENSMUST00000070487_90_90;0.482;0.991;0.781;0.778;0.332;0.081;0.858;0.389;0.643;0.992;0.498;1.0;0.784;0.232;0.868;0.607;0.865
ENSMUST00000160422_90_90;0.555;0.784;0.996;0.994;0.419;0.065;0.901;0.509;0.705;0.778;0.563;0.784;1.0;0.184;0.903;0.771;0.907
ENSMUST00000160574_90_90;0.207;0.239;0.189;0.185;0.0;0.351;0.203;0.0;0.0;0.234;0.065;0.232;0.184;1.0;0.202;0.074;0.202
ENSMUST00000160629_90_90;0.614;0.861;0.9;0.897;0.464;0.071;0.989;0.421;0.774;0.862;0.608;0.868;0.903;0.202;1.0;0.73;0.996
ENSMUST00000160762_90_90;0.485;0.607;0.767;0.765;0.543;0.079;0.728;0.462;0.744;0.601;0.574;0.607;0.771;0.074;0.73;1.0;0.734
ENSMUST00000162244_90_90;0.611;0.865;0.903;0.901;0.462;0.071;0.993;0.424;0.778;0.858;0.612;0.865;0.907;0.202;0.996;0.734;1.0
