;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;1.0;0.525;0.982;0.023;0.452;0.323;0.058;0.982;1.0;0.983;0.983;0.323;0.023
ENST00000339582_90_90;1.0;1.0;0.512;0.966;0.023;0.449;0.323;0.055;0.966;1.0;0.966;0.966;0.323;0.023
ENST00000341617_90_90;0.525;0.512;1.0;0.512;0.041;0.0;0.586;0.097;0.512;0.525;0.525;0.525;0.615;0.043
ENST00000358373_90_90;0.982;0.966;0.512;1.0;0.023;0.424;0.323;0.055;1.0;0.966;1.0;1.0;0.323;0.023
ENST00000412160_90_90;0.023;0.023;0.041;0.023;1.0;0.0;0.07;0.0;0.023;0.023;0.023;0.023;0.07;1.0
ENST00000444921_90_90;0.452;0.449;0.0;0.424;0.0;1.0;0.0;0.0;0.424;0.452;0.427;0.427;0.0;0.0
ENST00000457830_90_90;0.323;0.323;0.586;0.323;0.07;0.0;1.0;0.157;0.323;0.323;0.323;0.323;0.999;0.07
ENST00000465844_90_90;0.058;0.055;0.097;0.055;0.0;0.0;0.157;1.0;0.055;0.058;0.058;0.058;0.179;0.0
ENST00000472701_90_90;0.982;0.966;0.512;1.0;0.023;0.424;0.323;0.055;1.0;0.966;1.0;1.0;0.323;0.023
ENSMUST00000090512_90_90;1.0;1.0;0.525;0.966;0.023;0.452;0.323;0.058;0.966;1.0;0.966;0.966;0.323;0.023
ENSMUST00000115323_90_90;0.983;0.966;0.525;1.0;0.023;0.427;0.323;0.058;1.0;0.966;1.0;1.0;0.323;0.023
ENSMUST00000115324_90_90;0.983;0.966;0.525;1.0;0.023;0.427;0.323;0.058;1.0;0.966;1.0;1.0;0.323;0.023
ENSMUST00000131897_90_90;0.323;0.323;0.615;0.323;0.07;0.0;0.999;0.179;0.323;0.323;0.323;0.323;1.0;0.07
ENSMUST00000132755_90_90;0.023;0.023;0.043;0.023;1.0;0.0;0.07;0.0;0.023;0.023;0.023;0.023;0.07;1.0
