;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.333;0.933;0.333;0.533;0.133;0.8;0.333;1.0;0.75;0.375
ENST00000258909_90_90;0.333;1.0;0.412;0.75;0.636;0.0;0.467;0.083;0.375;0.125;0.714
ENST00000322019_90_90;0.933;0.412;1.0;0.333;0.647;0.111;0.882;0.353;0.938;0.688;0.4
ENST00000379384_90_90;0.333;0.75;0.333;1.0;0.5;0.0;0.375;0.083;0.375;0.125;0.714
ENST00000379390_90_90;0.533;0.636;0.647;0.5;1.0;0.077;0.733;0.214;0.562;0.312;0.5
ENST00000561551_90_90;0.133;0.0;0.111;0.0;0.077;1.0;0.125;0.0;0.125;0.167;0.0
ENST00000565774_90_90;0.8;0.467;0.882;0.375;0.733;0.125;1.0;0.312;0.812;0.562;0.462
ENST00000565982_90_90;0.333;0.083;0.353;0.083;0.214;0.0;0.312;1.0;0.312;0.417;0.222
ENSMUST00000041890_90_90;1.0;0.375;0.938;0.375;0.562;0.125;0.812;0.312;1.0;0.706;0.412
ENSMUST00000119543_90_90;0.75;0.125;0.688;0.125;0.312;0.167;0.562;0.417;0.706;1.0;0.118
ENSMUST00000126334_90_90;0.375;0.714;0.4;0.714;0.5;0.0;0.462;0.222;0.412;0.118;1.0
