;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript22_ENSAPOG00000016134;0.949;0.949;0.949;1.0;1.0;0.931;0.529;0.529;0.342;0.342;0.887;0.862;0.949;0.949;0.949;0.659;0.618;0.879;0.839;0.53;0.93;0.949;0.546;0.53
transcript22_ENSAPOG00000023408;0.949;0.949;0.949;1.0;1.0;0.931;0.529;0.529;0.342;0.342;0.887;0.862;0.949;0.949;0.949;0.659;0.618;0.879;0.839;0.53;0.93;0.949;0.546;0.53
transcript22_ENSPNYG00000024266;0.949;0.949;0.949;0.931;0.931;1.0;0.527;0.529;0.342;0.342;0.822;0.798;0.949;0.949;0.949;0.659;0.618;0.884;0.84;0.53;0.93;0.949;0.546;0.53
transcript27_ENSAPOG00000016134;0.502;0.502;0.502;0.529;0.529;0.527;1.0;0.633;0.647;0.644;0.596;0.611;0.502;0.502;0.502;0.506;0.53;0.566;0.539;0.281;0.505;0.502;0.289;0.281
transcript27_ENSAOCG00000015695;0.502;0.502;0.502;0.529;0.529;0.529;0.633;1.0;0.644;0.647;0.596;0.568;0.502;0.502;0.502;0.708;0.752;0.596;0.594;0.281;0.509;0.502;0.289;0.281
transcript28_ENSAPOG00000016134;0.325;0.325;0.325;0.342;0.342;0.342;0.647;0.644;1.0;0.995;0.385;0.395;0.325;0.325;0.325;0.456;0.485;0.385;0.377;0.181;0.329;0.325;0.187;0.181
transcript28_ENSAOCG00000015695;0.325;0.325;0.325;0.342;0.342;0.342;0.644;0.647;0.995;1.0;0.385;0.395;0.325;0.325;0.325;0.458;0.486;0.385;0.377;0.181;0.329;0.325;0.187;0.181
