;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.923;0.923;0.667;0.448;0.414;0.55;0.379;0.448;0.333;0.385;0.346;0.346;0.35;0.409;0.406
transcript19_ppan;0.923;1.0;0.846;0.611;0.414;0.379;0.579;0.345;0.414;0.286;0.346;0.308;0.308;0.3;0.364;0.375
transcript20_ppan;0.923;0.846;1.0;0.611;0.414;0.379;0.5;0.393;0.414;0.286;0.346;0.36;0.36;0.3;0.429;0.375
transcript12_ptro;0.667;0.611;0.611;1.0;0.533;0.5;0.4;0.467;0.533;0.524;0.481;0.444;0.444;0.55;0.522;0.531
transcript12_hsap;0.448;0.414;0.414;0.533;1.0;0.966;0.621;0.931;1.0;0.419;0.677;0.645;0.645;0.433;0.567;0.906
transcript18_hsap;0.414;0.379;0.379;0.5;0.966;1.0;0.643;0.964;0.966;0.387;0.645;0.613;0.613;0.4;0.533;0.875
transcript19_hsap;0.55;0.579;0.5;0.4;0.621;0.643;1.0;0.607;0.621;0.179;0.464;0.429;0.429;0.185;0.333;0.562
transcript20_hsap;0.379;0.345;0.393;0.467;0.931;0.964;0.607;1.0;0.931;0.355;0.613;0.633;0.633;0.367;0.552;0.844
transcript21_hsap;0.448;0.414;0.414;0.533;1.0;0.966;0.621;0.931;1.0;0.419;0.677;0.645;0.645;0.433;0.567;0.906
transcript11_ggor;0.333;0.286;0.286;0.524;0.419;0.387;0.179;0.355;0.419;1.0;0.583;0.542;0.542;0.933;0.65;0.469
transcript12_ggor;0.385;0.346;0.346;0.481;0.677;0.645;0.464;0.613;0.677;0.583;1.0;0.957;0.957;0.609;0.783;0.719
transcript16_ggor;0.346;0.308;0.36;0.444;0.645;0.613;0.429;0.633;0.645;0.542;0.957;1.0;1.0;0.565;0.818;0.688
transcript17_ggor;0.346;0.308;0.36;0.444;0.645;0.613;0.429;0.633;0.645;0.542;0.957;1.0;1.0;0.565;0.818;0.688
transcript18_ggor;0.35;0.3;0.3;0.55;0.433;0.4;0.185;0.367;0.433;0.933;0.609;0.565;0.565;1.0;0.684;0.438
transcript19_ggor;0.409;0.364;0.429;0.522;0.567;0.533;0.333;0.552;0.567;0.65;0.783;0.818;0.818;0.684;1.0;0.562
transcript8_pabe;0.406;0.375;0.375;0.531;0.906;0.875;0.562;0.844;0.906;0.469;0.719;0.688;0.688;0.438;0.562;1.0
