;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.842;0.8;1.0;1.0;1.0;0.919;0.88;0.919;0.89;0.89;0.889;0.889;0.89;0.829;0.89;0.89
transcript7_ENSMUGG00000013649;0.842;1.0;0.96;0.788;0.882;0.882;0.766;0.817;0.766;0.371;0.376;0.414;0.434;0.396;0.386;0.378;0.402
transcript7_ENSMUGG00000013592;0.8;0.96;1.0;0.75;0.84;0.84;0.724;0.778;0.724;0.398;0.398;0.393;0.416;0.416;0.409;0.404;0.429
transcript7_ENSCGRG00015005362;1.0;0.788;0.75;1.0;1.0;1.0;0.919;0.89;0.919;0.378;0.384;0.421;0.434;0.396;0.384;0.378;0.402
transcript7_ENSCGRG00000018457;1.0;0.882;0.84;1.0;1.0;1.0;0.932;1.0;0.932;1.0;1.0;1.0;1.0;1.0;0.934;1.0;1.0
transcript7_ENSPEMG00000024651;1.0;0.882;0.84;1.0;1.0;1.0;0.932;1.0;0.932;1.0;1.0;1.0;1.0;1.0;0.934;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.919;0.766;0.724;0.919;0.932;0.932;1.0;0.831;1.0;0.841;0.841;0.84;0.84;0.841;0.78;0.841;0.841
transcript58_MGP-CAROLIEiJ-G0020234;0.88;0.817;0.778;0.89;1.0;1.0;0.831;1.0;0.831;1.0;1.0;1.0;1.0;1.0;0.939;1.0;1.0
transcript59_MGP-CAROLIEiJ-G0020234;0.919;0.766;0.724;0.919;0.932;0.932;1.0;0.831;1.0;0.841;0.841;0.84;0.84;0.841;0.78;0.841;0.841
transcript28_ENSMUGG00000013649;0.89;0.371;0.398;0.378;1.0;1.0;0.841;1.0;0.841;1.0;0.985;1.0;0.956;0.955;0.891;1.0;0.94
transcript42_ENSMUGG00000013649;0.89;0.376;0.398;0.384;1.0;1.0;0.841;1.0;0.841;0.985;1.0;1.0;0.956;0.96;0.876;0.985;0.945
transcript42_ENSMUGG00000013592;0.889;0.414;0.393;0.421;1.0;1.0;0.84;1.0;0.84;1.0;1.0;1.0;0.945;0.972;0.893;1.0;0.944
transcript52_ENSMUGG00000013592;0.889;0.434;0.416;0.434;1.0;1.0;0.84;1.0;0.84;0.956;0.956;0.945;1.0;0.977;0.908;0.972;0.916
transcript52_ENSCGRG00015005362;0.89;0.396;0.416;0.396;1.0;1.0;0.841;1.0;0.841;0.955;0.96;0.972;0.977;1.0;0.898;0.955;0.915
transcript53_ENSCGRG00015005362;0.829;0.386;0.409;0.384;0.934;0.934;0.78;0.939;0.78;0.891;0.876;0.893;0.908;0.898;1.0;0.886;0.827
transcript54_ENSCGRG00015005362;0.89;0.378;0.404;0.378;1.0;1.0;0.841;1.0;0.841;1.0;0.985;1.0;0.972;0.955;0.886;1.0;0.94
transcript55_ENSCGRG00015005362;0.89;0.402;0.429;0.402;1.0;1.0;0.841;1.0;0.841;0.94;0.945;0.944;0.916;0.915;0.827;0.94;1.0
