;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.653;0.694;0.673;0.653;0.694;0.257;0.22;0.728;0.821;0.765
ENST00000323039_90_90;0.653;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.899;0.819;0.717
ENST00000348817_90_90;0.694;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.826;0.753;0.766
ENST00000430012_90_90;0.673;0.802;0.865;1.0;0.802;0.865;0.396;0.165;0.717;0.653;0.855
ENST00000593685_90_90;0.653;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.899;0.819;0.717
ENST00000597639_90_90;0.694;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.826;0.753;0.766
ENST00000600611_90_90;0.257;0.304;0.331;0.396;0.304;0.331;1.0;0.434;0.236;0.215;0.288
ENST00000601972_90_90;0.22;0.142;0.151;0.165;0.142;0.151;0.434;1.0;0.198;0.18;0.247
ENSMUST00000085901_90_90;0.728;0.899;0.826;0.717;0.899;0.826;0.236;0.198;1.0;0.907;0.802
ENSMUST00000172467_90_90;0.821;0.819;0.753;0.653;0.819;0.753;0.215;0.18;0.907;1.0;0.728
ENSMUST00000172761_90_90;0.765;0.717;0.766;0.855;0.717;0.766;0.288;0.247;0.802;0.728;1.0
