;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENSCAFT00000030055_90_90;1.0;0.679;0.704;0.571;0.821;0.741;0.741;0.679;0.538;0.615;0.308;0.615;0.577;0.423;0.741;0.75;0.741;0.481;0.038;0.269;0.385;0.077;0.5;0.346;0.741;0.231;0.741;0.741;0.154;0.741;0.5;0.621;0.75;0.75;0.741;0.667;0.192;0.115
ENST00000345434_90_90;0.679;1.0;0.864;0.56;0.704;0.826;0.826;1.0;0.667;0.762;0.381;0.762;0.714;0.524;0.826;0.76;0.826;0.667;0.048;0.333;0.476;0.095;0.619;0.429;0.826;0.286;0.826;0.826;0.19;0.826;0.609;0.909;0.76;0.76;0.826;0.818;0.238;0.143
ENST00000370674_90_90;0.704;0.864;1.0;0.583;0.8;0.952;0.952;0.864;0.7;0.8;0.4;0.8;0.75;0.55;0.952;0.87;0.952;0.7;0.05;0.35;0.5;0.1;0.65;0.45;0.952;0.3;0.952;0.952;0.2;0.952;0.636;0.864;0.87;0.87;0.952;0.773;0.25;0.15
ENST00000370676_90_90;0.571;0.56;0.583;1.0;0.72;0.56;0.56;0.56;0.6;0.545;0.444;0.545;0.571;0.611;0.56;0.577;0.56;0.778;0.056;0.389;0.556;0.111;0.632;0.5;0.56;0.333;0.56;0.56;0.222;0.56;0.789;0.56;0.577;0.577;0.56;0.48;0.278;0.167
ENST00000370683_90_90;0.821;0.704;0.8;0.72;1.0;0.84;0.84;0.704;0.56;0.64;0.32;0.64;0.6;0.44;0.84;0.846;0.84;0.56;0.04;0.28;0.4;0.08;0.52;0.36;0.84;0.24;0.84;0.84;0.16;0.84;0.577;0.704;0.846;0.846;0.84;0.63;0.2;0.12
ENST00000370690_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000394153_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000394155_90_90;0.679;1.0;0.864;0.56;0.704;0.826;0.826;1.0;0.667;0.762;0.381;0.762;0.714;0.524;0.826;0.76;0.826;0.667;0.048;0.333;0.476;0.095;0.619;0.429;0.826;0.286;0.826;0.826;0.19;0.826;0.609;0.909;0.76;0.76;0.826;0.818;0.238;0.143
ENST00000420362_90_90;0.538;0.667;0.7;0.6;0.56;0.667;0.667;0.667;1.0;0.875;0.571;0.875;0.933;0.786;0.667;0.609;0.667;0.75;0.071;0.5;0.714;0.143;0.929;0.643;0.667;0.429;0.667;0.667;0.286;0.667;0.667;0.667;0.609;0.609;0.667;0.737;0.357;0.214
ENST00000434885_90_90;0.615;0.762;0.8;0.545;0.64;0.762;0.762;0.762;0.875;1.0;0.5;1.0;0.938;0.688;0.762;0.696;0.762;0.667;0.062;0.438;0.625;0.125;0.812;0.562;0.762;0.375;0.762;0.762;0.25;0.762;0.6;0.762;0.696;0.696;0.762;0.842;0.312;0.188
