;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;1.0;1.0;1.0;0.273;0.052;0.947;0.947;0.892;0.95;1.0;1.0;0.898;0.95
ENST00000314845_90_90;1.0;1.0;0.899;0.26;0.049;0.854;0.95;0.776;0.95;0.899;1.0;0.776;0.95
ENST00000458649_90_90;1.0;0.899;1.0;0.232;0.043;0.956;0.854;0.877;0.854;1.0;0.899;0.877;0.854
ENST00000526545_90_90;0.273;0.26;0.232;1.0;0.0;0.244;0.275;0.27;0.275;0.232;0.26;0.27;0.275
ENST00000526606_90_90;0.052;0.049;0.043;0.0;1.0;0.045;0.052;0.051;0.052;0.043;0.049;0.051;0.052
ENST00000528950_90_90;0.947;0.854;0.956;0.244;0.045;1.0;0.893;0.832;0.893;0.956;0.854;0.832;0.893
ENST00000533727_90_90;0.947;0.95;0.854;0.275;0.052;0.893;1.0;0.731;1.0;0.854;0.95;0.731;1.0
ENST00000534300_90_90;0.892;0.776;0.877;0.27;0.051;0.832;0.731;1.0;0.731;0.877;0.776;1.0;0.731
ENSMUST00000045699_90_90;0.95;0.95;0.854;0.275;0.052;0.893;1.0;0.731;1.0;0.837;0.953;0.725;1.0
ENSMUST00000045705_90_90;1.0;0.899;1.0;0.232;0.043;0.956;0.854;0.877;0.837;1.0;0.877;0.889;0.837
ENSMUST00000099712_90_90;1.0;1.0;0.899;0.26;0.049;0.854;0.95;0.776;0.953;0.877;1.0;0.766;0.953
ENSMUST00000111316_90_90;0.898;0.776;0.877;0.27;0.051;0.832;0.731;1.0;0.725;0.889;0.766;1.0;0.725
ENSMUST00000111317_90_90;0.95;0.95;0.854;0.275;0.052;0.893;1.0;0.731;1.0;0.837;0.953;0.725;1.0
