;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.884;0.771;0.774;0.818;0.881;0.93;0.884;0.771;0.014;0.885;0.611;0.883;0.885;0.434
ENSCAFT00000018912_90_90;0.884;1.0;0.856;0.865;0.909;0.976;0.927;0.979;0.856;0.014;0.98;0.609;0.978;0.98;0.433
ENST00000400304_90_90;0.771;0.856;1.0;0.846;0.796;0.86;0.807;0.858;1.0;0.015;0.858;0.626;0.86;0.858;0.445
ENST00000400305_90_90;0.774;0.865;0.846;1.0;0.928;0.865;0.814;0.868;0.846;0.017;0.866;0.578;0.864;0.866;0.39
ENST00000400308_90_90;0.818;0.909;0.796;0.928;1.0;0.932;0.876;0.93;0.796;0.015;0.911;0.542;0.913;0.911;0.365
ENST00000400309_90_90;0.881;0.976;0.86;0.865;0.932;1.0;0.943;0.997;0.86;0.014;0.978;0.609;0.98;0.978;0.433
ENST00000400310_90_90;0.93;0.927;0.807;0.814;0.876;0.943;1.0;0.946;0.807;0.015;0.927;0.642;0.924;0.927;0.456
ENST00000400314_90_90;0.884;0.979;0.858;0.868;0.93;0.997;0.946;1.0;0.858;0.014;0.98;0.608;0.978;0.98;0.432
ENST00000449640_90_90;0.771;0.856;1.0;0.846;0.796;0.86;0.807;0.858;1.0;0.015;0.858;0.626;0.86;0.858;0.445
ENST00000549265_90_90;0.014;0.014;0.015;0.017;0.015;0.014;0.015;0.014;0.015;1.0;0.014;0.024;0.014;0.014;0.0
ENSMUST00000001148_90_90;0.885;0.98;0.858;0.866;0.911;0.978;0.927;0.98;0.858;0.014;1.0;0.609;0.997;1.0;0.433
ENSMUST00000092393_90_90;0.611;0.609;0.626;0.578;0.542;0.609;0.642;0.608;0.626;0.024;0.609;1.0;0.611;0.609;0.216
ENSMUST00000105411_90_90;0.883;0.978;0.86;0.864;0.913;0.98;0.924;0.978;0.86;0.014;0.997;0.611;1.0;0.997;0.434
ENSMUST00000168465_90_90;0.885;0.98;0.858;0.866;0.911;0.978;0.927;0.98;0.858;0.014;1.0;0.609;0.997;1.0;0.433
ENSMUST00000173854_90_90;0.434;0.433;0.445;0.39;0.365;0.433;0.456;0.432;0.445;0.0;0.433;0.216;0.434;0.433;1.0
