;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;1.0;1.0;0.929;0.929;0.214;0.5;0.357;0.429;1.0;0.9;1.0;0.9;0.9;0.85;0.9;1.0;1.0;1.0;0.933;1.0;0.933
ENSCAFT00000024036_90_90;1.0;1.0;1.0;0.938;0.938;0.188;0.5;0.438;0.5;0.938;1.0;1.0;1.0;1.0;0.929;0.929;1.0;1.0;1.0;0.882;0.941;0.941
ENST00000304523_90_90;1.0;1.0;1.0;0.783;0.9;0.211;0.474;0.4;0.45;0.947;1.0;1.0;1.0;1.0;0.778;0.933;1.0;1.0;1.0;0.727;0.944;0.773
ENST00000441778_90_90;0.929;0.938;0.783;1.0;0.783;0.182;0.348;0.348;0.391;0.739;0.933;0.933;0.778;0.778;1.0;0.722;0.778;0.778;0.773;0.952;0.727;1.0
ENST00000502640_90_90;0.929;0.938;0.9;0.783;1.0;0.211;0.4;0.4;0.45;0.85;0.933;0.933;0.933;0.933;0.824;0.867;0.933;0.933;0.944;0.762;0.889;0.81
ENST00000506732_90_90;0.214;0.188;0.211;0.182;0.211;1.0;0.182;0.182;0.273;0.222;0.2;0.2;0.2;0.2;0.176;0.214;0.2;0.2;0.167;0.15;0.176;0.143
ENST00000507464_90_90;0.5;0.5;0.474;0.348;0.4;0.182;1.0;0.0;0.056;0.421;0.533;0.533;0.533;0.533;0.389;0.467;0.533;0.533;0.5;0.318;0.444;0.364
ENST00000508918_90_90;0.357;0.438;0.4;0.348;0.4;0.182;0.0;1.0;0.727;0.421;0.333;0.333;0.333;0.333;0.294;0.357;0.333;0.333;0.389;0.35;0.412;0.333
ENST00000512345_90_90;0.429;0.5;0.45;0.391;0.45;0.273;0.056;0.727;1.0;0.474;0.4;0.4;0.4;0.4;0.353;0.429;0.4;0.4;0.444;0.4;0.471;0.381
ENST00000515064_90_90;1.0;0.938;0.947;0.739;0.85;0.222;0.421;0.421;0.474;1.0;0.933;0.933;0.933;0.933;0.722;1.0;0.933;0.933;0.944;0.762;1.0;0.727
ENST00000361198_90_90;0.9;1.0;1.0;0.933;0.933;0.2;0.533;0.333;0.4;0.933;1.0;0.864;1.0;1.0;0.947;0.947;0.864;0.864;1.0;0.875;0.938;0.938
ENST00000425280_90_90;1.0;1.0;1.0;0.933;0.933;0.2;0.533;0.333;0.4;0.933;0.864;1.0;0.864;0.864;0.818;0.818;1.0;1.0;1.0;0.875;0.938;0.938
ENSMUST00000026252_90_90;0.9;1.0;1.0;0.778;0.933;0.2;0.533;0.333;0.4;0.933;1.0;0.864;1.0;1.0;0.692;0.947;0.864;0.864;1.0;0.737;0.938;0.789
ENSMUST00000056931_90_90;0.9;1.0;1.0;0.778;0.933;0.2;0.533;0.333;0.4;0.933;1.0;0.864;1.0;1.0;0.692;0.947;0.864;0.864;1.0;0.737;0.938;0.789
ENSMUST00000137771_90_90;0.85;0.929;0.778;1.0;0.824;0.176;0.389;0.294;0.353;0.722;0.947;0.818;0.692;0.692;1.0;0.654;0.621;0.621;0.789;0.944;0.737;1.0
ENSMUST00000152946_90_90;0.9;0.929;0.933;0.722;0.867;0.214;0.467;0.357;0.429;1.0;0.947;0.818;0.947;0.947;0.654;1.0;0.818;0.818;0.938;0.778;1.0;0.737
ENSMUST00000156585_90_90;1.0;1.0;1.0;0.778;0.933;0.2;0.533;0.333;0.4;0.933;0.864;1.0;0.864;0.864;0.621;0.818;1.0;1.0;1.0;0.737;0.938;0.789
ENSMUST00000185355_90_90;1.0;1.0;1.0;0.778;0.933;0.2;0.533;0.333;0.4;0.933;0.864;1.0;0.864;0.864;0.621;0.818;1.0;1.0;1.0;0.737;0.938;0.789
ENSMUST00000070748_90_90;1.0;1.0;1.0;0.773;0.944;0.167;0.5;0.389;0.444;0.944;1.0;1.0;1.0;1.0;0.789;0.938;1.0;1.0;1.0;0.739;0.947;0.783
ENSMUST00000199256_90_90;0.933;0.882;0.727;0.952;0.762;0.15;0.318;0.35;0.4;0.762;0.875;0.875;0.737;0.737;0.944;0.778;0.737;0.737;0.739;1.0;0.773;0.955
ENSMUST00000199261_90_90;1.0;0.941;0.944;0.727;0.889;0.176;0.444;0.412;0.471;1.0;0.938;0.938;0.938;0.938;0.737;1.0;0.938;0.938;0.947;0.773;1.0;0.739
ENSMUST00000199534_90_90;0.933;0.941;0.773;1.0;0.81;0.143;0.364;0.333;0.381;0.727;0.938;0.938;0.789;0.789;1.0;0.737;0.789;0.789;0.783;0.955;0.739;1.0
