;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.935;0.865;0.844;0.306;0.356;0.138;0.456;0.935;0.865;0.935;0.827;0.774
ENST00000389384_90_90;0.935;1.0;0.918;0.903;0.326;0.379;0.146;0.485;1.0;0.918;1.0;0.877;0.71
ENST00000454077_90_90;0.865;0.918;1.0;0.828;0.304;0.351;0.138;0.449;0.918;0.93;0.918;0.891;0.653
ENST00000587097_90_90;0.844;0.903;0.828;1.0;0.363;0.421;0.163;0.392;0.903;0.828;0.903;0.786;0.619
ENST00000589805_90_90;0.306;0.326;0.304;0.363;1.0;0.849;0.0;0.0;0.326;0.304;0.326;0.263;0.081
ENST00000590169_90_90;0.356;0.379;0.351;0.421;0.849;1.0;0.0;0.0;0.379;0.351;0.379;0.309;0.13
ENST00000590537_90_90;0.138;0.146;0.138;0.163;0.0;0.0;1.0;0.268;0.146;0.138;0.146;0.142;0.186
ENST00000591295_90_90;0.456;0.485;0.449;0.392;0.0;0.0;0.268;1.0;0.485;0.449;0.485;0.467;0.591
ENSMUST00000073234_90_90;0.935;1.0;0.918;0.903;0.326;0.379;0.146;0.485;1.0;0.918;1.0;0.877;0.71
ENSMUST00000107132_90_90;0.865;0.918;0.93;0.828;0.304;0.351;0.138;0.449;0.918;1.0;0.918;0.959;0.653
ENSMUST00000107134_90_90;0.935;1.0;0.918;0.903;0.326;0.379;0.146;0.485;1.0;0.918;1.0;0.877;0.71
ENSMUST00000137387_90_90;0.827;0.877;0.891;0.786;0.263;0.309;0.142;0.467;0.877;0.959;0.877;1.0;0.68
ENSMUST00000141516_90_90;0.774;0.71;0.653;0.619;0.081;0.13;0.186;0.591;0.71;0.653;0.71;0.68;1.0
