;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.944;1.0;1.0;0.222;0.833;0.556;0.222;0.278;0.5;1.0;0.474;0.947;0.947;0.737
ENST00000355221_90_90;0.944;1.0;0.947;0.947;0.222;0.737;0.611;0.15;0.333;0.556;0.944;0.529;1.0;0.889;0.765
ENST00000359530_90_90;1.0;0.947;1.0;1.0;0.211;0.789;0.579;0.2;0.316;0.526;1.0;0.5;0.944;0.944;0.722
ENST00000396774_90_90;1.0;0.947;1.0;1.0;0.211;0.789;0.579;0.2;0.316;0.526;1.0;0.5;0.944;0.944;0.722
ENST00000519588_90_90;0.222;0.222;0.211;0.211;1.0;0.188;0.364;0.0;0.25;0.4;0.222;0.3;0.235;0.235;0.308
ENST00000520188_90_90;0.833;0.737;0.789;0.789;0.188;1.0;0.368;0.25;0.105;0.316;0.833;0.6;0.778;0.778;0.556
ENST00000521275_90_90;0.556;0.611;0.579;0.579;0.364;0.368;1.0;0.0;0.545;0.909;0.556;0.583;0.588;0.588;0.769
ENST00000522849_90_90;0.222;0.15;0.2;0.2;0.0;0.25;0.0;1.0;0.0;0.0;0.222;0.083;0.167;0.235;0.133
ENST00000524164_90_90;0.278;0.333;0.316;0.316;0.25;0.105;0.545;0.0;1.0;0.6;0.278;0.167;0.294;0.294;0.385
ENST00000524234_90_90;0.5;0.556;0.526;0.526;0.4;0.316;0.909;0.0;0.6;1.0;0.5;0.5;0.529;0.529;0.692
ENSMUST00000044369_90_90;1.0;0.944;1.0;1.0;0.222;0.833;0.556;0.222;0.278;0.5;1.0;0.474;0.947;0.947;0.737
ENSMUST00000192029_90_90;0.474;0.529;0.5;0.5;0.3;0.6;0.583;0.083;0.167;0.5;0.474;1.0;0.5;0.5;0.643
ENSMUST00000192698_90_90;0.947;1.0;0.944;0.944;0.235;0.778;0.588;0.167;0.294;0.529;0.947;0.5;1.0;0.895;0.778
ENSMUST00000192847_90_90;0.947;0.889;0.944;0.944;0.235;0.778;0.588;0.235;0.294;0.529;0.947;0.5;0.895;1.0;0.778
ENSMUST00000194676_90_90;0.737;0.765;0.722;0.722;0.308;0.556;0.769;0.133;0.385;0.692;0.737;0.643;0.778;0.778;1.0
