;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;1.0;0.364;0.833;0.182;0.692;0.769;0.182;0.071;0.182;0.364
ENST00000380321_90_90;0.364;1.0;0.364;0.5;0.364;0.333;0.5;0.0;0.5;1.0
ENST00000380338_90_90;0.833;0.364;1.0;0.182;0.833;0.769;0.182;0.071;0.182;0.364
ENST00000629733_90_90;0.182;0.5;0.182;1.0;0.182;0.167;1.0;0.0;0.333;0.5
ENST00000630269_90_90;0.692;0.364;0.833;0.182;1.0;0.643;0.182;0.071;0.182;0.364
ENSMUST00000078090_90_90;0.769;0.333;0.769;0.167;0.643;1.0;0.167;0.143;0.167;0.333
ENSMUST00000126353_90_90;0.182;0.5;0.182;1.0;0.182;0.167;1.0;0.0;0.333;0.5
ENSMUST00000142454_90_90;0.071;0.0;0.071;0.0;0.071;0.143;0.0;1.0;0.0;0.0
ENSMUST00000148059_90_90;0.182;0.5;0.182;0.333;0.182;0.167;0.333;0.0;1.0;0.5
ENSMUST00000149357_90_90;0.364;1.0;0.364;0.5;0.364;0.333;0.5;0.0;0.5;1.0
