;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.946;0.947;0.84;0.382;0.403;0.199;0.49;0.947;0.948;0.947;0.937;0.702
ENST00000389384_90_90;0.946;1.0;0.98;0.888;0.402;0.425;0.209;0.508;0.998;0.978;0.998;0.967;0.649
ENST00000454077_90_90;0.947;0.98;1.0;0.87;0.395;0.416;0.205;0.498;0.978;0.998;0.978;0.987;0.637
ENST00000587097_90_90;0.84;0.888;0.87;1.0;0.453;0.478;0.236;0.398;0.886;0.868;0.886;0.857;0.543
ENST00000589805_90_90;0.382;0.402;0.395;0.453;1.0;0.948;0.0;0.0;0.402;0.395;0.402;0.383;0.085
ENST00000590169_90_90;0.403;0.425;0.416;0.478;0.948;1.0;0.0;0.0;0.425;0.416;0.425;0.405;0.106
ENST00000590537_90_90;0.199;0.209;0.205;0.236;0.0;0.0;1.0;0.392;0.209;0.205;0.209;0.208;0.282
ENST00000591295_90_90;0.49;0.508;0.498;0.398;0.0;0.0;0.392;1.0;0.517;0.507;0.517;0.512;0.697
ENSMUST00000073234_90_90;0.947;0.998;0.978;0.886;0.402;0.425;0.209;0.517;1.0;0.98;1.0;0.969;0.651
ENSMUST00000107132_90_90;0.948;0.978;0.998;0.868;0.395;0.416;0.205;0.507;0.98;1.0;0.98;0.989;0.639
ENSMUST00000107134_90_90;0.947;0.998;0.978;0.886;0.402;0.425;0.209;0.517;1.0;0.98;1.0;0.969;0.651
ENSMUST00000137387_90_90;0.937;0.967;0.987;0.857;0.383;0.405;0.208;0.512;0.969;0.989;0.969;1.0;0.646
ENSMUST00000141516_90_90;0.702;0.649;0.637;0.543;0.085;0.106;0.282;0.697;0.651;0.639;0.651;0.646;1.0
