;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.894;0.857;0.862;0.857;0.814;0.903;0.986;0.857;0.883;0.883;0.764;0.764;0.789;0.846;0.846;0.77;0.845
transcript63_MGP-CAROLIEiJ-G0020234;0.894;1.0;0.958;0.965;0.959;0.918;0.807;0.894;0.959;0.988;0.988;0.859;0.846;0.887;0.949;0.949;0.864;0.945
transcript64_ENSMUSG00000054036;0.857;0.958;1.0;0.996;1.0;0.948;0.774;0.857;1.0;0.947;0.96;0.894;0.894;0.924;0.99;0.99;0.898;0.92
transcript48_MGP-PahariEiJ-G0020237;0.862;0.965;0.996;1.0;0.987;0.96;0.778;0.862;0.997;0.957;0.861;0.924;0.851;0.942;0.973;0.973;0.934;0.926
transcript57_ENSMUSG00000054036;0.857;0.959;1.0;0.987;1.0;0.947;0.774;0.857;1.0;0.948;0.846;0.905;0.818;0.931;0.987;0.987;0.914;0.917
transcript7_MGP-PahariEiJ-G0020237;0.814;0.918;0.948;0.96;0.947;1.0;0.818;0.814;0.956;0.911;0.819;0.886;0.81;0.903;0.933;0.933;0.897;0.883
transcript62_MGP-CAROLIEiJ-G0020234;0.903;0.807;0.774;0.778;0.774;0.818;1.0;0.903;0.774;0.798;0.798;0.688;0.688;0.711;0.762;0.762;0.695;0.753
transcript52_ENSMUSG00000054036;0.986;0.894;0.857;0.862;0.857;0.814;0.903;1.0;0.857;0.883;0.883;0.764;0.764;0.789;0.846;0.846;0.77;0.845
transcript67_ENSMUSG00000054036;0.857;0.959;1.0;0.997;1.0;0.956;0.774;0.857;1.0;0.948;0.867;0.904;0.832;0.931;0.988;0.988;0.912;0.928
transcript9_MGP-CAROLIEiJ-G0020234;0.883;0.988;0.947;0.957;0.948;0.911;0.798;0.883;0.948;1.0;1.0;0.854;0.842;0.882;0.944;0.944;0.864;0.939
transcript9_MGP-PahariEiJ-G0020237;0.883;0.988;0.96;0.861;0.846;0.819;0.798;0.883;0.867;1.0;1.0;0.803;0.888;0.82;0.848;0.848;0.808;0.839
transcript40_ENSRNOG00000031503;0.764;0.859;0.894;0.924;0.905;0.886;0.688;0.764;0.904;0.854;0.803;1.0;0.92;0.972;0.934;0.934;0.983;0.866
transcript49_ENSRNOG00000031503;0.764;0.846;0.894;0.851;0.818;0.81;0.688;0.764;0.832;0.842;0.888;0.92;1.0;0.889;0.846;0.846;0.903;0.788
transcript8_ENSRNOG00000031503;0.789;0.887;0.924;0.942;0.931;0.903;0.711;0.789;0.931;0.882;0.82;0.972;0.889;1.0;0.961;0.961;0.956;0.892
transcript55_ENSRNOG00000031503;0.846;0.949;0.99;0.973;0.987;0.933;0.762;0.846;0.988;0.944;0.848;0.934;0.846;0.961;1.0;1.0;0.918;0.93
transcript54_ENSRNOG00000031503;0.846;0.949;0.99;0.973;0.987;0.933;0.762;0.846;0.988;0.944;0.848;0.934;0.846;0.961;1.0;1.0;0.918;0.93
transcript41_ENSMUGG00000013649;0.77;0.864;0.898;0.934;0.914;0.897;0.695;0.77;0.912;0.864;0.808;0.983;0.903;0.956;0.918;0.918;1.0;0.85
transcript53_ENSRNOG00000031503;0.845;0.945;0.92;0.926;0.917;0.883;0.753;0.845;0.928;0.939;0.839;0.866;0.788;0.892;0.93;0.93;0.85;1.0
