;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.85;0.85;0.999;0.055;0.237;0.162;0.199;0.237;0.192;0.055;0.85;1.0;0.799
ENSCAFT00000008030_90_90;0.85;1.0;0.999;0.849;0.055;0.236;0.075;0.199;0.144;0.192;0.055;1.0;0.85;0.799
ENST00000293217_90_90;0.85;0.999;1.0;0.85;0.052;0.237;0.075;0.199;0.144;0.19;0.052;0.999;0.85;0.799
ENST00000301608_90_90;0.999;0.849;0.85;1.0;0.052;0.237;0.162;0.199;0.237;0.19;0.052;0.849;0.999;0.8
ENST00000572047_90_90;0.055;0.055;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.055;0.055;0.0
ENST00000573078_90_90;0.237;0.236;0.237;0.237;0.141;1.0;0.478;0.0;0.606;0.0;0.141;0.236;0.237;0.186
ENST00000576743_90_90;0.162;0.075;0.075;0.162;0.0;0.478;1.0;0.0;0.68;0.0;0.0;0.075;0.162;0.08
ENST00000587927_90_90;0.199;0.199;0.199;0.199;0.0;0.0;0.0;1.0;0.0;0.696;0.0;0.199;0.199;0.211
ENST00000588176_90_90;0.237;0.144;0.144;0.237;0.19;0.606;0.68;0.0;1.0;0.0;0.19;0.144;0.237;0.094
ENST00000588968_90_90;0.192;0.192;0.19;0.19;0.0;0.0;0.0;0.696;0.0;1.0;0.0;0.194;0.194;0.205
ENST00000589301_90_90;0.055;0.055;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.055;0.055;0.0
ENSMUST00000066587_90_90;0.85;1.0;0.999;0.849;0.055;0.236;0.075;0.199;0.144;0.194;0.055;1.0;0.85;0.799
ENSMUST00000072948_90_90;1.0;0.85;0.85;0.999;0.055;0.237;0.162;0.199;0.237;0.194;0.055;0.85;1.0;0.799
ENSMUST00000148601_90_90;0.799;0.799;0.799;0.8;0.0;0.186;0.08;0.211;0.094;0.205;0.0;0.799;0.799;1.0
