;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.576;0.561;0.631;0.617;0.631;0.578;0.528;0.576;0.528;0.584;0.304;0.285;0.311;0.29;0.308;0.316;0.331;0.326;0.33;0.348;0.308;0.258;0.309;0.329;0.265;0.283;0.283;0.336;0.336
transcript7_ENSMUSG00000054036;1.0;1.0;0.576;0.561;0.631;0.617;0.631;0.578;0.528;0.576;0.528;0.584;0.304;0.285;0.311;0.29;0.308;0.316;0.331;0.326;0.33;0.348;0.308;0.258;0.309;0.329;0.265;0.283;0.283;0.336;0.336
transcript26_ENSMSIG00000000513;0.576;0.576;1.0;0.97;0.546;0.537;0.546;0.508;0.702;1.0;0.702;0.988;0.364;0.347;0.37;0.332;0.285;0.289;0.304;0.248;0.247;0.267;0.285;0.318;0.556;0.589;0.41;0.347;0.347;0.595;0.595
transcript26_MGP-PahariEiJ-G0020237;0.561;0.561;0.97;1.0;0.532;0.522;0.532;0.492;0.688;0.97;0.688;0.958;0.354;0.338;0.361;0.321;0.275;0.278;0.294;0.237;0.235;0.257;0.275;0.305;0.536;0.572;0.399;0.336;0.336;0.579;0.579
transcript41_ENSMSIG00000000513;0.631;0.631;0.546;0.532;1.0;0.984;1.0;0.934;0.788;0.546;0.788;0.553;0.432;0.41;0.441;0.388;0.326;0.338;0.349;0.343;0.353;0.366;0.326;0.382;0.325;0.316;0.383;0.416;0.416;0.323;0.323
transcript41_MGP-SPRETEiJ-G0021131;0.617;0.617;0.537;0.522;0.984;1.0;0.984;0.917;0.774;0.537;0.774;0.543;0.435;0.403;0.433;0.381;0.318;0.33;0.342;0.335;0.344;0.359;0.318;0.372;0.318;0.31;0.375;0.407;0.407;0.317;0.317
transcript43_ENSMSIG00000000513;0.631;0.631;0.546;0.532;1.0;0.984;1.0;0.934;0.788;0.546;0.788;0.553;0.432;0.41;0.441;0.388;0.326;0.338;0.349;0.343;0.353;0.366;0.326;0.382;0.325;0.316;0.383;0.416;0.416;0.323;0.323
transcript43_MGP-CAROLIEiJ-G0020234;0.578;0.578;0.508;0.492;0.934;0.917;0.934;1.0;0.73;0.508;0.73;0.514;0.403;0.422;0.412;0.399;0.336;0.303;0.321;0.354;0.318;0.338;0.336;0.369;0.297;0.294;0.351;0.383;0.383;0.301;0.301
transcript46_ENSMSIG00000000513;0.528;0.528;0.702;0.688;0.788;0.774;0.788;0.73;1.0;0.702;1.0;0.69;0.444;0.423;0.452;0.404;0.349;0.364;0.37;0.302;0.31;0.325;0.349;0.399;0.43;0.413;0.508;0.431;0.431;0.42;0.42
transcript47_ENSMSIG00000000513;0.576;0.576;1.0;0.97;0.546;0.537;0.546;0.508;0.702;1.0;0.702;0.988;0.364;0.347;0.37;0.332;0.285;0.289;0.304;0.248;0.247;0.267;0.285;0.318;0.556;0.589;0.41;0.347;0.347;0.595;0.595
transcript48_ENSMSIG00000000513;0.528;0.528;0.702;0.688;0.788;0.774;0.788;0.73;1.0;0.702;1.0;0.69;0.444;0.423;0.452;0.404;0.349;0.364;0.37;0.302;0.31;0.325;0.349;0.399;0.43;0.413;0.508;0.431;0.431;0.42;0.42
transcript49_ENSMSIG00000000513;0.584;0.584;0.988;0.958;0.553;0.543;0.553;0.514;0.69;0.988;0.69;1.0;0.357;0.341;0.364;0.324;0.278;0.281;0.297;0.249;0.249;0.269;0.278;0.309;0.548;0.582;0.403;0.34;0.34;0.589;0.589
transcript22_MGP-SPRETEiJ-G0021131;0.304;0.304;0.364;0.354;0.432;0.435;0.432;0.403;0.444;0.364;0.444;0.357;1.0;0.938;0.962;0.915;0.853;0.708;0.894;0.802;0.667;0.844;0.853;0.711;0.621;0.724;0.723;0.788;0.788;0.73;0.73
transcript22_MGP-CAROLIEiJ-G0020234;0.285;0.285;0.347;0.338;0.41;0.403;0.41;0.422;0.423;0.347;0.423;0.341;0.938;1.0;0.942;0.978;0.913;0.687;0.874;0.862;0.646;0.823;0.913;0.712;0.605;0.708;0.703;0.768;0.768;0.714;0.714
transcript36_ENSMUSG00000054036;0.311;0.311;0.37;0.361;0.441;0.433;0.441;0.412;0.452;0.37;0.452;0.364;0.962;0.942;1.0;0.919;0.857;0.73;0.898;0.806;0.671;0.848;0.857;0.731;0.626;0.726;0.727;0.792;0.792;0.733;0.733
transcript8_MGP-CAROLIEiJ-G0020234;0.29;0.29;0.332;0.321;0.388;0.381;0.388;0.399;0.404;0.332;0.404;0.324;0.915;0.978;0.919;1.0;0.934;0.704;0.893;0.881;0.661;0.842;0.934;0.69;0.588;0.691;0.684;0.746;0.746;0.699;0.699
transcript32_MGP-CAROLIEiJ-G0020234;0.308;0.308;0.285;0.275;0.326;0.318;0.326;0.336;0.349;0.285;0.349;0.278;0.853;0.913;0.857;0.934;1.0;0.761;0.957;0.941;0.714;0.899;1.0;0.627;0.542;0.646;0.63;0.685;0.685;0.653;0.653
transcript32_ENSRNOG00000031503;0.316;0.316;0.289;0.278;0.338;0.33;0.338;0.303;0.364;0.289;0.364;0.281;0.708;0.687;0.73;0.704;0.761;1.0;0.804;0.703;0.92;0.747;0.761;0.796;0.679;0.545;0.81;0.876;0.876;0.542;0.542
transcript32_ENSMUGG00000013592;0.331;0.331;0.304;0.294;0.349;0.342;0.349;0.321;0.37;0.304;0.37;0.297;0.894;0.874;0.898;0.893;0.957;0.804;1.0;0.899;0.758;0.943;0.957;0.647;0.577;0.679;0.67;0.727;0.727;0.685;0.685
transcript33_MGP-CAROLIEiJ-G0020234;0.326;0.326;0.248;0.237;0.343;0.335;0.343;0.354;0.302;0.248;0.302;0.249;0.802;0.862;0.806;0.881;0.941;0.703;0.899;1.0;0.763;0.955;0.941;0.576;0.504;0.61;0.585;0.635;0.635;0.617;0.617
transcript33_ENSRNOG00000031503;0.33;0.33;0.247;0.235;0.353;0.344;0.353;0.318;0.31;0.247;0.31;0.249;0.667;0.646;0.671;0.661;0.714;0.92;0.758;0.763;1.0;0.808;0.714;0.729;0.646;0.516;0.772;0.832;0.832;0.512;0.512
transcript33_ENSMUGG00000013592;0.348;0.348;0.267;0.257;0.366;0.359;0.366;0.338;0.325;0.267;0.325;0.269;0.844;0.823;0.848;0.842;0.899;0.747;0.943;0.955;0.808;1.0;0.899;0.596;0.539;0.642;0.625;0.676;0.676;0.649;0.649
transcript42_MGP-CAROLIEiJ-G0020234;0.308;0.308;0.285;0.275;0.326;0.318;0.326;0.336;0.349;0.285;0.349;0.278;0.853;0.913;0.857;0.934;1.0;0.761;0.957;0.941;0.714;0.899;1.0;0.627;0.542;0.646;0.63;0.685;0.685;0.653;0.653
transcript9_ENSRNOG00000031503;0.258;0.258;0.318;0.305;0.382;0.372;0.382;0.369;0.399;0.318;0.399;0.309;0.711;0.712;0.731;0.69;0.627;0.796;0.647;0.576;0.729;0.596;0.627;1.0;0.663;0.543;0.792;0.863;0.863;0.54;0.54
transcript18_ENSRNOG00000031503;0.309;0.309;0.556;0.536;0.325;0.318;0.325;0.297;0.43;0.556;0.43;0.548;0.621;0.605;0.626;0.588;0.542;0.679;0.577;0.504;0.646;0.539;0.542;0.663;1.0;0.821;0.838;0.771;0.771;0.815;0.815
transcript18_ENSMUGG00000013592;0.329;0.329;0.589;0.572;0.316;0.31;0.316;0.294;0.413;0.589;0.413;0.582;0.724;0.708;0.726;0.691;0.646;0.545;0.679;0.61;0.516;0.642;0.646;0.543;0.821;1.0;0.687;0.626;0.626;0.994;0.994
transcript19_ENSRNOG00000031503;0.265;0.265;0.41;0.399;0.383;0.375;0.383;0.351;0.508;0.41;0.508;0.403;0.723;0.703;0.727;0.684;0.63;0.81;0.67;0.585;0.772;0.625;0.63;0.792;0.838;0.687;1.0;0.921;0.921;0.683;0.683
transcript21_ENSRNOG00000031503;0.283;0.283;0.347;0.336;0.416;0.407;0.416;0.383;0.431;0.347;0.431;0.34;0.788;0.768;0.792;0.746;0.685;0.876;0.727;0.635;0.832;0.676;0.685;0.863;0.771;0.626;0.921;1.0;1.0;0.623;0.623
transcript23_ENSRNOG00000031503;0.283;0.283;0.347;0.336;0.416;0.407;0.416;0.383;0.431;0.347;0.431;0.34;0.788;0.768;0.792;0.746;0.685;0.876;0.727;0.635;0.832;0.676;0.685;0.863;0.771;0.626;0.921;1.0;1.0;0.623;0.623
transcript34_ENSMUGG00000013592;0.336;0.336;0.595;0.579;0.323;0.317;0.323;0.301;0.42;0.595;0.42;0.589;0.73;0.714;0.733;0.699;0.653;0.542;0.685;0.617;0.512;0.649;0.653;0.54;0.815;0.994;0.683;0.623;0.623;1.0;1.0
transcript35_ENSMUGG00000013592;0.336;0.336;0.595;0.579;0.323;0.317;0.323;0.301;0.42;0.595;0.42;0.589;0.73;0.714;0.733;0.699;0.653;0.542;0.685;0.617;0.512;0.649;0.653;0.54;0.815;0.994;0.683;0.623;0.623;1.0;1.0
