;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.843;0.571;0.56;0.945;0.91;0.232;0.696;0.869;0.112;0.412;0.906;0.164;0.849;0.022;0.129;0.639;0.303;0.906;0.907;0.651;0.118;0.196;0.347;0.559;0.576;0.571;0.3;0.419;0.56;0.557;0.869;0.962;0.907;0.675;0.898;0.907;0.037;0.377;0.597;0.561;0.062;0.56;0.573;0.114;0.13;0.135;0.232;0.541
ENSCAFT00000021175_90_90;0.843;1.0;0.548;0.53;0.822;0.789;0.225;0.681;0.764;0.109;0.4;0.8;0.159;0.746;0.022;0.125;0.57;0.3;0.8;0.786;0.569;0.115;0.191;0.357;0.536;0.545;0.548;0.255;0.39;0.53;0.535;0.778;0.843;0.814;0.615;0.811;0.814;0.036;0.371;0.587;0.531;0.043;0.53;0.542;0.111;0.126;0.111;0.212;0.512
ENSCAFT00000022869_90_90;0.571;0.548;1.0;0.958;0.559;0.547;0.143;0.429;0.541;0.059;0.253;0.556;0.099;0.524;0.0;0.075;0.482;0.198;0.556;0.545;0.484;0.1;0.124;0.627;0.97;0.994;1.0;0.371;0.552;0.958;0.976;0.546;0.575;0.561;0.502;0.556;0.561;0.038;0.263;0.394;0.938;0.076;0.944;0.967;0.164;0.27;0.153;0.274;0.911
ENSCAFT00000049479_90_90;0.56;0.53;0.958;1.0;0.548;0.535;0.147;0.409;0.53;0.06;0.252;0.545;0.101;0.513;0.0;0.077;0.47;0.197;0.545;0.534;0.473;0.096;0.128;0.627;0.929;0.966;0.958;0.358;0.578;1.0;0.982;0.535;0.564;0.55;0.491;0.545;0.55;0.04;0.246;0.373;0.931;0.078;0.984;0.96;0.168;0.263;0.158;0.291;0.95
ENST00000346964_90_90;0.945;0.822;0.559;0.548;1.0;0.949;0.237;0.702;0.897;0.112;0.413;0.944;0.165;0.877;0.023;0.129;0.663;0.308;0.944;0.952;0.675;0.118;0.196;0.347;0.548;0.565;0.559;0.289;0.412;0.548;0.546;0.868;0.953;0.913;0.681;0.904;0.913;0.037;0.378;0.605;0.55;0.066;0.548;0.561;0.114;0.125;0.139;0.218;0.53
ENST00000357674_90_90;0.91;0.789;0.547;0.535;0.949;1.0;0.191;0.659;0.945;0.118;0.436;0.901;0.173;0.923;0.024;0.136;0.694;0.326;0.901;0.996;0.708;0.124;0.207;0.331;0.535;0.552;0.547;0.302;0.431;0.535;0.534;0.913;0.91;0.871;0.641;0.863;0.871;0.04;0.397;0.637;0.537;0.069;0.535;0.549;0.12;0.103;0.146;0.228;0.517
ENST00000392380_90_90;0.232;0.225;0.143;0.147;0.237;0.191;1.0;0.327;0.195;0.476;0.369;0.243;0.695;0.18;0.1;0.546;0.014;0.027;0.243;0.19;0.014;0.207;0.784;0.213;0.147;0.143;0.143;0.0;0.0;0.147;0.146;0.194;0.237;0.243;0.058;0.24;0.243;0.0;0.0;0.286;0.147;0.0;0.147;0.144;0.416;0.093;0.0;0.0;0.122
ENST00000392381_90_90;0.696;0.681;0.429;0.409;0.702;0.659;0.327;1.0;0.671;0.155;0.568;0.719;0.226;0.651;0.032;0.177;0.451;0.421;0.719;0.656;0.46;0.163;0.27;0.449;0.416;0.427;0.429;0.104;0.241;0.409;0.415;0.671;0.702;0.718;0.494;0.71;0.718;0.051;0.479;0.829;0.41;0.0;0.409;0.423;0.154;0.165;0.0;0.103;0.388
ENST00000392382_90_90;0.869;0.764;0.541;0.53;0.897;0.945;0.195;0.671;1.0;0.121;0.445;0.952;0.176;0.978;0.025;0.139;0.736;0.332;0.952;0.941;0.751;0.127;0.211;0.336;0.529;0.546;0.541;0.294;0.424;0.53;0.528;0.966;0.868;0.92;0.678;0.91;0.92;0.041;0.405;0.649;0.531;0.071;0.53;0.543;0.122;0.105;0.148;0.219;0.511
ENST00000412364_90_90;0.112;0.109;0.059;0.06;0.112;0.118;0.476;0.155;0.121;1.0;0.272;0.115;0.685;0.123;0.202;0.871;0.0;0.0;0.115;0.118;0.0;0.0;0.574;0.089;0.061;0.059;0.059;0.0;0.0;0.06;0.06;0.121;0.112;0.115;0.0;0.114;0.115;0.0;0.0;0.182;0.061;0.0;0.06;0.059;0.335;0.0;0.0;0.0;0.034
