;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;1.0;0.429;0.429;0.167;0.179;0.713;0.713;1.0;0.713;0.364;0.427;0.518;0.518;0.367;0.367;0.364;0.377;0.464;0.44;0.331;0.331;0.464;0.486;0.467
transcript9_ENSXMAG00000026005;1.0;1.0;0.584;0.584;0.26;0.291;0.713;0.713;1.0;0.713;0.538;0.686;0.728;0.728;0.541;0.541;0.532;0.532;0.691;0.615;0.492;0.492;0.691;0.745;0.71
transcript14_ENSAPOG00000016134;0.429;0.584;1.0;1.0;0.752;0.836;0.208;0.233;0.397;0.416;0.78;0.948;0.849;0.842;0.673;0.73;0.785;0.651;0.931;0.977;0.857;0.857;0.989;0.959;0.985
transcript14_ENSAPOG00000023408;0.429;0.584;1.0;1.0;0.752;0.836;0.208;0.233;0.397;0.416;0.78;0.948;0.849;0.842;0.673;0.73;0.785;0.651;0.931;0.977;0.857;0.857;0.989;0.959;0.985
transcript21_ENSAPOG00000016134;0.167;0.26;0.752;0.752;1.0;1.0;0.0;0.0;0.0;0.0;0.741;0.822;0.684;0.686;0.599;0.676;0.747;0.571;0.793;0.727;0.705;0.705;0.793;0.752;0.786
transcript21_ENSPNYG00000024266;0.179;0.291;0.836;0.836;1.0;1.0;0.0;0.0;0.0;0.0;0.771;0.859;0.731;0.733;0.626;0.711;0.777;0.597;0.847;0.807;0.752;0.752;0.847;0.805;0.84
transcript7_ENSAPOG00000023408;0.713;0.713;0.208;0.208;0.0;0.0;1.0;1.0;1.0;1.0;0.276;0.276;0.251;0.251;0.314;0.314;0.274;0.324;0.223;0.214;0.245;0.245;0.223;0.239;0.227
transcript7_ENSAOCG00000015695;0.713;0.713;0.233;0.233;0.0;0.0;1.0;1.0;1.0;1.0;0.326;0.326;0.29;0.29;0.325;0.325;0.322;0.337;0.255;0.239;0.284;0.284;0.255;0.276;0.26
transcript7_ENSPNYG00000024266;1.0;1.0;0.397;0.397;0.0;0.0;1.0;1.0;1.0;1.0;0.437;0.437;0.408;0.408;0.535;0.535;0.436;0.535;0.406;0.397;0.406;0.406;0.406;0.432;0.409
transcript7_ENSXMAG00000026005;0.713;0.713;0.416;0.416;0.0;0.0;1.0;1.0;1.0;1.0;0.686;0.686;0.519;0.519;0.692;0.692;0.676;0.676;0.492;0.439;0.614;0.614;0.492;0.532;0.506
