;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.929;0.786;0.929;0.429;0.929;0.429;0.071;0.429;0.357;0.786;0.933;0.067;0.4;0.467;0.933;0.2;0.8
ENST00000367378_90_90;0.929;1.0;0.812;0.778;0.471;1.0;0.444;0.118;0.471;0.375;0.875;1.0;0.067;0.312;0.5;0.8;0.214;0.857
ENST00000367380_90_90;0.786;0.812;1.0;0.611;0.294;0.812;0.278;0.143;0.294;0.267;0.688;0.857;0.0;0.188;0.357;0.667;0.154;0.714
ENST00000367384_90_90;0.929;0.778;0.611;1.0;0.471;0.778;0.444;0.118;0.471;0.375;0.667;0.8;0.071;0.333;0.538;1.0;0.231;0.667
ENST00000460828_90_90;0.429;0.471;0.294;0.471;1.0;0.471;0.727;0.2;0.8;0.154;0.533;0.429;0.143;0.625;0.182;0.462;0.125;0.286
ENST00000464889_90_90;0.929;1.0;0.812;0.778;0.471;1.0;0.444;0.118;0.471;0.375;0.875;1.0;0.067;0.312;0.5;0.8;0.214;0.857
ENST00000484601_90_90;0.429;0.444;0.278;0.444;0.727;0.444;1.0;0.182;0.727;0.143;0.5;0.375;0.25;0.875;0.154;0.4;0.1;0.25
ENST00000486585_90_90;0.071;0.118;0.143;0.118;0.2;0.118;0.182;1.0;0.2;0.0;0.133;0.071;0.0;0.143;0.0;0.077;0.0;0.083
ENST00000494411_90_90;0.429;0.471;0.294;0.471;0.8;0.471;0.727;0.2;1.0;0.154;0.533;0.429;0.143;0.625;0.182;0.462;0.125;0.286
ENST00000495487_90_90;0.357;0.375;0.267;0.375;0.154;0.375;0.143;0.0;0.154;1.0;0.25;0.357;0.167;0.091;0.714;0.385;0.6;0.417
ENST00000544496_90_90;0.786;0.875;0.688;0.667;0.533;0.875;0.5;0.133;0.533;0.25;1.0;0.857;0.077;0.357;0.357;0.667;0.154;0.714
ENSMUST00000159917_90_90;0.933;1.0;0.857;0.8;0.429;1.0;0.375;0.071;0.429;0.357;0.857;1.0;0.118;0.389;0.471;0.778;0.25;0.875
ENSMUST00000159977_90_90;0.067;0.067;0.0;0.071;0.143;0.067;0.25;0.0;0.143;0.167;0.077;0.118;1.0;0.333;0.2;0.118;0.4;0.133
ENSMUST00000161123_90_90;0.4;0.312;0.188;0.333;0.625;0.312;0.875;0.143;0.625;0.091;0.357;0.389;0.333;1.0;0.2;0.389;0.182;0.353
ENSMUST00000161428_90_90;0.467;0.5;0.357;0.538;0.182;0.5;0.154;0.0;0.182;0.714;0.357;0.471;0.2;0.2;1.0;0.471;0.444;0.533
ENSMUST00000162606_90_90;0.933;0.8;0.667;1.0;0.462;0.8;0.4;0.077;0.462;0.385;0.667;0.778;0.118;0.389;0.471;1.0;0.25;0.667
ENSMUST00000162682_90_90;0.2;0.214;0.154;0.231;0.125;0.214;0.1;0.0;0.125;0.6;0.154;0.25;0.4;0.182;0.444;0.25;1.0;0.286
ENSMUST00000163085_90_90;0.8;0.857;0.714;0.667;0.286;0.857;0.25;0.083;0.286;0.417;0.714;0.875;0.133;0.353;0.533;0.667;0.286;1.0
