;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.932;0.929;0.815;0.932;0.36;0.469;0.346;0.479;0.751;0.978;0.992;0.751;0.992;0.087;0.057;0.17;0.267;0.398
ENST00000290246_90_90;0.932;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.701;0.912;0.924;0.701;0.924;0.087;0.057;0.17;0.267;0.352
ENST00000352077_90_90;0.929;0.997;1.0;0.875;0.997;0.359;0.467;0.394;0.438;0.699;0.91;0.922;0.699;0.922;0.088;0.057;0.17;0.268;0.353
ENST00000372176_90_90;0.815;0.878;0.875;1.0;0.878;0.407;0.348;0.448;0.49;0.603;0.797;0.807;0.603;0.807;0.0;0.0;0.048;0.304;0.399
ENST00000396391_90_90;0.932;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.701;0.912;0.924;0.701;0.924;0.087;0.057;0.17;0.267;0.352
ENST00000425546_90_90;0.36;0.358;0.359;0.407;0.358;1.0;0.264;0.076;0.385;0.323;0.354;0.358;0.323;0.358;0.0;0.0;0.0;0.213;0.092
ENST00000450812_90_90;0.469;0.47;0.467;0.348;0.47;0.264;1.0;0.0;0.088;0.422;0.462;0.467;0.422;0.467;0.186;0.121;0.361;0.568;0.0
ENST00000452857_90_90;0.346;0.393;0.394;0.448;0.393;0.076;0.0;1.0;0.359;0.213;0.337;0.343;0.213;0.343;0.0;0.0;0.0;0.0;0.808
ENST00000467800_90_90;0.479;0.436;0.438;0.49;0.436;0.385;0.088;0.359;1.0;0.435;0.471;0.479;0.435;0.479;0.0;0.0;0.0;0.03;0.433
ENSMUST00000071699_90_90;0.751;0.701;0.699;0.603;0.701;0.323;0.422;0.213;0.435;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000074046_90_90;0.978;0.912;0.91;0.797;0.912;0.354;0.462;0.337;0.471;0.747;1.0;0.984;0.747;0.984;0.086;0.056;0.168;0.265;0.396
ENSMUST00000094329_90_90;0.992;0.924;0.922;0.807;0.924;0.358;0.467;0.343;0.479;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000103088_90_90;0.751;0.701;0.699;0.603;0.701;0.323;0.422;0.213;0.435;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000103091_90_90;0.992;0.924;0.922;0.807;0.924;0.358;0.467;0.343;0.479;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000126318_90_90;0.087;0.087;0.088;0.0;0.087;0.0;0.186;0.0;0.0;0.079;0.086;0.087;0.079;0.087;1.0;0.613;0.514;0.0;0.0
ENSMUST00000128690_90_90;0.057;0.057;0.057;0.0;0.057;0.0;0.121;0.0;0.0;0.052;0.056;0.057;0.052;0.057;0.613;1.0;0.337;0.0;0.0
ENSMUST00000133205_90_90;0.17;0.17;0.17;0.048;0.17;0.0;0.361;0.0;0.0;0.154;0.168;0.17;0.154;0.17;0.514;0.337;1.0;0.083;0.0
ENSMUST00000137188_90_90;0.267;0.267;0.268;0.304;0.267;0.213;0.568;0.0;0.03;0.243;0.265;0.269;0.243;0.269;0.0;0.0;0.083;1.0;0.0
ENSMUST00000148643_90_90;0.398;0.352;0.353;0.399;0.352;0.092;0.0;0.808;0.433;0.259;0.396;0.402;0.259;0.402;0.0;0.0;0.0;0.0;1.0
