;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.996;1.0;1.0;0.996;0.703;0.695;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.686;0.716;0.615;0.615;0.716;0.507;0.716
transcript8_ENSRNOG00000031503;0.996;1.0;0.996;0.996;1.0;0.705;0.712;1.0;1.0;1.0;0.971;1.0;1.0;1.0;1.0;1.0;1.0;0.971;0.971;0.971;0.907;1.0;0.792;0.792;1.0;0.706;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;0.996;1.0;1.0;0.996;0.703;0.695;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.686;0.716;0.615;0.615;0.716;0.507;0.716
transcript37_MGP-PahariEiJ-G0020237;1.0;0.996;1.0;1.0;0.996;0.703;0.695;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.686;0.716;0.615;0.615;0.716;0.507;0.716
transcript37_ENSCGRG00001010245;0.996;1.0;0.996;0.996;1.0;0.695;0.701;0.346;0.353;0.346;0.346;0.346;0.346;0.355;0.351;0.347;0.339;0.344;0.344;0.346;0.313;0.334;0.276;0.278;0.334;0.236;0.334
transcript38_MGP-PahariEiJ-G0020237;0.703;0.705;0.703;0.703;0.695;1.0;0.992;0.327;0.327;0.327;0.328;0.327;0.327;0.327;0.327;0.327;0.327;0.334;0.334;0.328;0.306;0.327;0.225;0.225;0.327;0.099;0.327
transcript38_ENSCGRG00001010245;0.695;0.712;0.695;0.695;0.701;0.992;1.0;0.167;0.17;0.167;0.169;0.167;0.167;0.173;0.17;0.167;0.164;0.168;0.168;0.169;0.149;0.161;0.106;0.106;0.161;0.05;0.161
transcript32_ENSCGRG00015005362;0.716;1.0;0.716;0.716;0.346;0.327;0.167;1.0;0.922;1.0;0.974;1.0;1.0;0.982;0.974;0.952;0.977;0.943;0.943;0.972;0.938;0.99;0.912;0.913;0.99;0.915;0.99
transcript33_ENSCGRG00015005362;0.716;1.0;0.716;0.716;0.353;0.327;0.17;0.922;1.0;0.922;0.912;0.922;0.922;0.905;0.895;0.974;0.899;0.881;0.881;0.91;0.85;0.913;0.825;0.825;0.913;0.838;0.913
transcript22_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.346;0.327;0.167;1.0;0.922;1.0;0.974;1.0;1.0;0.982;0.974;0.952;0.977;0.943;0.943;0.972;0.938;0.99;0.912;0.913;0.99;0.915;0.99
transcript22_ENSPEMG00000024651;0.708;0.971;0.708;0.708;0.346;0.328;0.169;0.974;0.912;0.974;1.0;0.974;0.974;0.958;0.953;0.927;0.941;0.954;0.954;0.998;0.903;0.95;0.874;0.879;0.95;0.881;0.95
transcript26_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.346;0.327;0.167;1.0;0.922;1.0;0.974;1.0;1.0;0.982;0.974;0.952;0.977;0.943;0.943;0.972;0.938;0.99;0.912;0.913;0.99;0.915;0.99
transcript26_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.346;0.327;0.167;1.0;0.922;1.0;0.974;1.0;1.0;0.982;0.974;0.94;0.964;0.928;0.928;0.972;0.925;0.976;0.9;0.905;0.976;0.902;0.976
transcript42_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.355;0.327;0.173;0.982;0.905;0.982;0.958;0.982;0.982;1.0;0.956;0.933;0.959;0.926;0.926;0.956;0.922;0.972;0.897;0.898;0.972;0.897;0.972
transcript43_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.351;0.327;0.17;0.974;0.895;0.974;0.953;0.974;0.974;0.956;1.0;0.964;0.989;0.921;0.921;0.951;0.907;0.963;0.881;0.882;0.963;0.888;0.963
transcript7_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.347;0.327;0.167;0.952;0.974;0.952;0.927;0.952;0.94;0.933;0.964;1.0;0.978;0.93;0.93;0.925;0.887;0.966;0.86;0.855;0.966;0.887;0.966
transcript29_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.339;0.327;0.164;0.977;0.899;0.977;0.941;0.977;0.964;0.959;0.989;0.978;1.0;0.945;0.945;0.939;0.928;0.988;0.902;0.896;0.988;0.913;0.988
transcript15_ENSPEMG00000024651;0.716;0.971;0.716;0.716;0.344;0.334;0.168;0.943;0.881;0.943;0.954;0.943;0.928;0.926;0.921;0.93;0.945;1.0;1.0;0.952;0.906;0.953;0.877;0.873;0.953;0.883;0.953
transcript24_ENSPEMG00000024651;0.716;0.971;0.716;0.716;0.344;0.334;0.168;0.943;0.881;0.943;0.954;0.943;0.928;0.926;0.921;0.93;0.945;1.0;1.0;0.952;0.906;0.953;0.877;0.873;0.953;0.883;0.953
transcript31_ENSPEMG00000024651;0.708;0.971;0.708;0.708;0.346;0.328;0.169;0.972;0.91;0.972;0.998;0.972;0.972;0.956;0.951;0.925;0.939;0.952;0.952;1.0;0.9;0.948;0.872;0.877;0.948;0.879;0.948
transcript5_ENSNGAG00000018584;0.686;0.907;0.686;0.686;0.313;0.306;0.149;0.938;0.85;0.938;0.903;0.938;0.925;0.922;0.907;0.887;0.928;0.906;0.906;0.9;1.0;0.946;0.974;0.968;0.946;0.879;0.946
transcript5_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.334;0.327;0.161;0.99;0.913;0.99;0.95;0.99;0.976;0.972;0.963;0.966;0.988;0.953;0.953;0.948;0.946;1.0;0.92;0.915;1.0;0.926;1.0
transcript17_ENSNGAG00000018584;0.615;0.792;0.615;0.615;0.276;0.225;0.106;0.912;0.825;0.912;0.874;0.912;0.9;0.897;0.881;0.86;0.902;0.877;0.877;0.872;0.974;0.92;1.0;0.994;0.92;0.854;0.92
transcript20_ENSNGAG00000018584;0.615;0.792;0.615;0.615;0.278;0.225;0.106;0.913;0.825;0.913;0.879;0.913;0.905;0.898;0.882;0.855;0.896;0.873;0.873;0.877;0.968;0.915;0.994;1.0;0.915;0.849;0.915
transcript12_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.334;0.327;0.161;0.99;0.913;0.99;0.95;0.99;0.976;0.972;0.963;0.966;0.988;0.953;0.953;0.948;0.946;1.0;0.92;0.915;1.0;0.926;1.0
transcript13_ENSSTOG00000019743;0.507;0.706;0.507;0.507;0.236;0.099;0.05;0.915;0.838;0.915;0.881;0.915;0.902;0.897;0.888;0.887;0.913;0.883;0.883;0.879;0.879;0.926;0.854;0.849;0.926;1.0;0.926
transcript14_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.334;0.327;0.161;0.99;0.913;0.99;0.95;0.99;0.976;0.972;0.963;0.966;0.988;0.953;0.953;0.948;0.946;1.0;0.92;0.915;1.0;0.926;1.0
