;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.94;0.878;0.72;0.878;0.101;0.101;0.087;0.102;0.405;0.452;0.168;0.201;0.101;0.878;0.94;0.878;0.38;0.191;0.405;0.087;0.21
ENST00000293872_90_90;0.94;1.0;0.858;0.655;0.858;0.14;0.14;0.048;0.099;0.423;0.441;0.132;0.197;0.14;0.877;0.998;0.877;0.389;0.209;0.416;0.049;0.218
ENST00000337351_90_90;0.878;0.858;1.0;0.771;1.0;0.151;0.151;0.052;0.108;0.298;0.487;0.179;0.217;0.151;1.0;0.877;1.0;0.422;0.218;0.314;0.052;0.231
ENST00000397780_90_90;0.72;0.655;0.771;1.0;0.771;0.0;0.0;0.0;0.143;0.372;0.627;0.234;0.279;0.0;0.793;0.69;0.793;0.526;0.032;0.387;0.0;0.293
ENST00000397783_90_90;0.878;0.858;1.0;0.771;1.0;0.151;0.151;0.052;0.108;0.298;0.487;0.179;0.217;0.151;1.0;0.877;1.0;0.422;0.218;0.314;0.052;0.231
ENST00000418978_90_90;0.101;0.14;0.151;0.0;0.151;1.0;1.0;0.178;0.0;0.0;0.0;0.0;0.0;1.0;0.129;0.123;0.129;0.0;0.703;0.0;0.153;0.0
ENST00000419516_90_90;0.101;0.14;0.151;0.0;0.151;1.0;1.0;0.178;0.0;0.0;0.0;0.0;0.0;1.0;0.129;0.123;0.129;0.0;0.703;0.0;0.153;0.0
ENST00000426094_90_90;0.087;0.048;0.052;0.0;0.052;0.178;0.178;1.0;0.0;0.0;0.0;0.0;0.0;0.178;0.054;0.051;0.054;0.0;0.147;0.0;0.793;0.0
ENST00000428363_90_90;0.102;0.099;0.108;0.143;0.108;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.112;0.105;0.112;0.0;0.073;0.0;0.0;0.482
ENST00000429378_90_90;0.405;0.423;0.298;0.372;0.298;0.0;0.0;0.0;0.0;1.0;0.319;0.298;0.117;0.0;0.314;0.416;0.314;0.212;0.0;0.998;0.0;0.0
ENST00000430864_90_90;0.452;0.441;0.487;0.627;0.487;0.0;0.0;0.0;0.0;0.319;1.0;0.062;0.445;0.0;0.5;0.465;0.5;0.829;0.0;0.341;0.0;0.134
ENST00000442701_90_90;0.168;0.132;0.179;0.234;0.179;0.0;0.0;0.0;0.0;0.298;0.062;1.0;0.0;0.0;0.185;0.139;0.185;0.0;0.0;0.316;0.0;0.0
ENST00000443357_90_90;0.201;0.197;0.217;0.279;0.217;0.0;0.0;0.0;0.0;0.117;0.445;0.0;1.0;0.0;0.223;0.207;0.223;0.543;0.0;0.124;0.0;0.237
ENST00000629543_90_90;0.101;0.14;0.151;0.0;0.151;1.0;1.0;0.178;0.0;0.0;0.0;0.0;0.0;1.0;0.129;0.123;0.129;0.0;0.703;0.0;0.153;0.0
ENSMUST00000025023_90_90;0.878;0.877;1.0;0.793;1.0;0.129;0.129;0.054;0.112;0.314;0.5;0.185;0.223;0.129;1.0;0.858;1.0;0.412;0.229;0.298;0.049;0.223
ENSMUST00000114976_90_90;0.94;0.998;0.877;0.69;0.877;0.123;0.123;0.051;0.105;0.416;0.465;0.139;0.207;0.123;0.858;1.0;0.858;0.372;0.213;0.423;0.045;0.204
ENSMUST00000119928_90_90;0.878;0.877;1.0;0.793;1.0;0.129;0.129;0.054;0.112;0.314;0.5;0.185;0.223;0.129;1.0;0.858;1.0;0.412;0.229;0.298;0.049;0.223
ENSMUST00000140427_90_90;0.38;0.389;0.422;0.526;0.422;0.0;0.0;0.0;0.0;0.212;0.829;0.0;0.543;0.0;0.412;0.372;0.412;1.0;0.0;0.201;0.0;0.15
ENSMUST00000148894_90_90;0.191;0.209;0.218;0.032;0.218;0.703;0.703;0.147;0.073;0.0;0.0;0.0;0.0;0.703;0.229;0.213;0.229;0.0;1.0;0.0;0.113;0.05
ENSMUST00000152107_90_90;0.405;0.416;0.314;0.387;0.314;0.0;0.0;0.0;0.0;0.998;0.341;0.316;0.124;0.0;0.298;0.423;0.298;0.201;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.087;0.049;0.052;0.0;0.052;0.153;0.153;0.793;0.0;0.0;0.0;0.0;0.0;0.153;0.049;0.045;0.049;0.0;0.113;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.21;0.218;0.231;0.293;0.231;0.0;0.0;0.0;0.482;0.0;0.134;0.0;0.237;0.0;0.223;0.204;0.223;0.15;0.05;0.0;0.0;1.0
