;transcript9_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript38_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript9_ENSMUNG00000002377;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript10_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;1.0;1.0;0.801;0.888;0.804;0.797;0.815;0.922;0.916;0.914;0.778;0.903;0.871;0.898;0.89;0.962;0.914;0.778;0.908;0.998
transcript31_ENSMUNG00000007775;1.0;1.0;1.0;0.801;0.888;0.804;0.797;0.815;0.922;0.916;0.914;0.778;0.903;0.871;0.898;0.89;0.962;0.914;0.778;0.908;0.998
transcript33_ENSMUNG00000007775;1.0;1.0;1.0;0.801;0.888;0.804;0.797;0.815;0.922;0.916;0.914;0.778;0.903;0.871;0.898;0.89;0.962;0.914;0.778;0.908;0.998
transcript25_ENSMUNG00000007775;0.801;0.801;0.801;1.0;0.846;0.761;0.758;0.775;0.879;0.873;0.872;0.735;0.86;0.829;0.855;0.847;0.767;0.872;0.735;0.866;0.8
transcript38_ENSMUNG00000002377;0.888;0.888;0.888;0.846;1.0;0.898;0.885;0.903;0.966;0.972;0.97;0.851;0.951;0.96;0.99;0.998;0.9;0.974;0.851;0.955;0.89
transcript36_ENSMUNG00000002377;0.804;0.804;0.804;0.761;0.898;1.0;0.797;0.815;0.882;0.887;0.886;0.946;0.863;0.871;0.899;0.899;0.809;0.886;0.946;0.868;0.802
transcript35_ENSMUNG00000002377;0.797;0.797;0.797;0.758;0.885;0.797;1.0;0.981;0.873;0.878;0.877;0.76;0.855;0.925;0.894;0.887;0.826;0.88;0.76;0.869;0.799
transcript27_ENSMUNG00000002377;0.815;0.815;0.815;0.775;0.903;0.815;0.981;1.0;0.891;0.896;0.894;0.778;0.872;0.943;0.912;0.905;0.844;0.898;0.778;0.887;0.817
transcript21_ENSMUNG00000007775;0.922;0.922;0.922;0.879;0.966;0.882;0.873;0.891;1.0;0.994;0.992;0.856;0.981;0.946;0.976;0.968;0.887;0.992;0.856;0.985;0.92
transcript23_ENSMUNG00000007775;0.916;0.916;0.916;0.873;0.972;0.887;0.878;0.896;0.994;1.0;0.998;0.861;0.975;0.952;0.982;0.974;0.893;0.998;0.861;0.979;0.914
transcript26_ENSMUNG00000007775;0.914;0.914;0.914;0.872;0.97;0.886;0.877;0.894;0.992;0.998;1.0;0.863;0.973;0.95;0.98;0.972;0.891;0.997;0.863;0.978;0.912
transcript30_ENSMUNG00000007775;0.778;0.778;0.778;0.735;0.851;0.946;0.76;0.778;0.856;0.861;0.863;1.0;0.837;0.834;0.861;0.853;0.771;0.86;1.0;0.843;0.776
transcript32_ENSMUNG00000007775;0.903;0.903;0.903;0.86;0.951;0.863;0.855;0.872;0.981;0.975;0.973;0.837;1.0;0.928;0.957;0.949;0.868;0.973;0.837;0.966;0.901
transcript13_ENSMUNG00000002377;0.871;0.871;0.871;0.829;0.96;0.871;0.925;0.943;0.946;0.952;0.95;0.834;0.928;1.0;0.969;0.961;0.881;0.954;0.834;0.942;0.872
transcript23_ENSMUNG00000002377;0.898;0.898;0.898;0.855;0.99;0.899;0.894;0.912;0.976;0.982;0.98;0.861;0.957;0.969;1.0;0.992;0.91;0.983;0.861;0.965;0.899
transcript37_ENSMUNG00000002377;0.89;0.89;0.89;0.847;0.998;0.899;0.887;0.905;0.968;0.974;0.972;0.853;0.949;0.961;0.992;1.0;0.902;0.976;0.853;0.957;0.892
transcript9_ENSMUNG00000002377;0.962;0.962;0.962;0.767;0.9;0.809;0.826;0.844;0.887;0.893;0.891;0.771;0.868;0.881;0.91;0.902;1.0;0.895;0.771;0.877;0.964
transcript23_ENSMUNG00000002391;0.914;0.914;0.914;0.872;0.974;0.886;0.88;0.898;0.992;0.998;0.997;0.86;0.973;0.954;0.983;0.976;0.895;1.0;0.86;0.981;0.916
transcript30_ENSMUNG00000002391;0.778;0.778;0.778;0.735;0.851;0.946;0.76;0.778;0.856;0.861;0.863;1.0;0.837;0.834;0.861;0.853;0.771;0.86;1.0;0.843;0.776
transcript10_ENSMUNG00000002391;0.908;0.908;0.908;0.866;0.955;0.868;0.869;0.887;0.985;0.979;0.978;0.843;0.966;0.942;0.965;0.957;0.877;0.981;0.843;1.0;0.91
transcript33_ENSMUNG00000002391;0.998;0.998;0.998;0.8;0.89;0.802;0.799;0.817;0.92;0.914;0.912;0.776;0.901;0.872;0.899;0.892;0.964;0.916;0.776;0.91;1.0
