;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.929;1.0;0.929;1.0;1.0;1.0;1.0;1.0;0.545;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.929;1.0;0.929;1.0;0.929;0.929;0.929;0.909;0.909;0.455;0.923;0.923;0.923;0.923;0.923;0.923;0.929
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.929;1.0;0.929;1.0;1.0;1.0;1.0;1.0;0.545;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript59_MGP-CAROLIEiJ-G0020234;0.929;1.0;0.929;1.0;0.929;0.929;0.929;0.909;0.909;0.455;0.923;0.923;0.923;0.923;0.923;0.923;0.929
transcript7_ENSMUGG00000013649;1.0;0.929;1.0;0.929;1.0;0.983;1.0;1.0;1.0;0.816;0.983;0.983;0.864;0.983;0.966;0.983;0.983
transcript28_ENSMUGG00000013649;1.0;0.929;1.0;0.929;0.983;1.0;0.983;1.0;1.0;0.816;1.0;1.0;0.881;1.0;0.983;1.0;1.0
transcript42_ENSMUGG00000013649;1.0;0.929;1.0;0.929;1.0;0.983;1.0;1.0;1.0;0.816;0.983;0.983;0.864;0.983;0.966;0.983;0.983
transcript7_ENSMUGG00000013592;1.0;0.909;1.0;0.909;1.0;1.0;1.0;1.0;1.0;0.816;1.0;1.0;0.892;1.0;0.973;1.0;1.0
transcript42_ENSMUGG00000013592;1.0;0.909;1.0;0.909;1.0;1.0;1.0;1.0;1.0;0.816;1.0;1.0;0.892;1.0;0.973;1.0;1.0
transcript52_ENSMUGG00000013592;0.545;0.455;0.545;0.455;0.816;0.816;0.816;0.816;0.816;1.0;0.811;0.811;0.703;0.811;0.784;0.811;0.816
transcript7_ENSCGRG00015005362;1.0;0.923;1.0;0.923;0.983;1.0;0.983;1.0;1.0;0.811;1.0;1.0;0.881;1.0;0.983;1.0;1.0
transcript52_ENSCGRG00015005362;1.0;0.923;1.0;0.923;0.983;1.0;0.983;1.0;1.0;0.811;1.0;1.0;0.881;1.0;0.983;1.0;1.0
transcript53_ENSCGRG00015005362;1.0;0.923;1.0;0.923;0.864;0.881;0.864;0.892;0.892;0.703;0.881;0.881;1.0;0.881;0.864;0.881;0.881
transcript54_ENSCGRG00015005362;1.0;0.923;1.0;0.923;0.983;1.0;0.983;1.0;1.0;0.811;1.0;1.0;0.881;1.0;0.983;1.0;1.0
transcript55_ENSCGRG00015005362;1.0;0.923;1.0;0.923;0.966;0.983;0.966;0.973;0.973;0.784;0.983;0.983;0.864;0.983;1.0;0.983;0.983
transcript7_ENSCGRG00000018457;1.0;0.923;1.0;0.923;0.983;1.0;0.983;1.0;1.0;0.811;1.0;1.0;0.881;1.0;0.983;1.0;1.0
transcript7_ENSPEMG00000024651;1.0;0.929;1.0;0.929;0.983;1.0;0.983;1.0;1.0;0.816;1.0;1.0;0.881;1.0;0.983;1.0;1.0
