;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.845;0.845;0.661;0.714;0.714;0.603;0.406;0.644;0.508;0.363;0.845;0.314;0.774;0.314;0.451;0.284;0.363;0.369;0.645;0.159;0.627;0.845;0.203;0.425;0.066;0.088;0.088;0.071;0.0;0.037;0.0;0.076;0.088
ENST00000264312_90_90;0.845;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000381473_90_90;0.845;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000396448_90_90;0.661;0.798;0.798;1.0;0.923;0.923;0.546;0.554;0.762;0.609;0.5;0.798;0.437;0.661;0.437;0.58;0.398;0.5;0.479;0.887;0.189;0.865;0.798;0.271;0.578;0.073;0.098;0.098;0.078;0.0;0.042;0.0;0.085;0.098
ENST00000425583_90_90;0.714;0.862;0.862;0.923;1.0;1.0;0.538;0.544;0.75;0.676;0.49;0.862;0.429;0.721;0.429;0.568;0.391;0.49;0.469;0.87;0.185;0.848;0.862;0.266;0.567;0.072;0.098;0.098;0.077;0.0;0.042;0.0;0.085;0.098
ENST00000444354_90_90;0.714;0.862;0.862;0.923;1.0;1.0;0.538;0.544;0.75;0.676;0.49;0.862;0.429;0.721;0.429;0.568;0.391;0.49;0.469;0.87;0.185;0.848;0.862;0.266;0.567;0.072;0.098;0.098;0.077;0.0;0.042;0.0;0.085;0.098
ENST00000503016_90_90;0.603;0.676;0.676;0.546;0.538;0.538;1.0;0.192;0.713;0.757;0.145;0.676;0.092;0.786;0.092;0.723;0.058;0.145;0.593;0.486;0.0;0.465;0.676;0.0;0.214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.406;0.467;0.467;0.554;0.544;0.544;0.192;1.0;0.38;0.219;0.904;0.467;0.792;0.325;0.792;0.245;0.724;0.904;0.274;0.625;0.346;0.641;0.467;0.494;0.959;0.1;0.141;0.141;0.111;0.0;0.065;0.0;0.127;0.141
ENST00000505922_90_90;0.644;0.724;0.724;0.762;0.75;0.75;0.713;0.38;1.0;0.704;0.327;0.724;0.266;0.846;0.266;0.672;0.228;0.327;0.555;0.705;0.138;0.683;0.724;0.127;0.402;0.08;0.087;0.087;0.087;0.0;0.048;0.0;0.096;0.087
ENST00000506801_90_90;0.508;0.579;0.579;0.609;0.676;0.676;0.757;0.219;0.704;1.0;0.167;0.579;0.105;0.675;0.105;0.839;0.068;0.167;0.692;0.545;0.0;0.523;0.579;0.0;0.242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000507210_90_90;0.363;0.422;0.422;0.5;0.49;0.49;0.145;0.904;0.327;0.167;1.0;0.422;0.875;0.281;0.875;0.186;0.799;1.0;0.209;0.564;0.381;0.579;0.422;0.544;0.867;0.104;0.147;0.147;0.115;0.0;0.068;0.0;0.133;0.147
ENST00000508293_90_90;0.845;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000508996_90_90;0.314;0.371;0.371;0.437;0.429;0.429;0.092;0.792;0.266;0.105;0.875;0.371;1.0;0.229;1.0;0.117;0.913;0.875;0.132;0.494;0.43;0.508;0.371;0.62;0.758;0.108;0.154;0.154;0.121;0.0;0.071;0.0;0.141;0.154
ENST00000509122_90_90;0.774;0.859;0.859;0.661;0.721;0.721;0.786;0.325;0.846;0.675;0.281;0.859;0.229;1.0;0.229;0.566;0.198;0.281;0.465;0.607;0.119;0.587;0.859;0.111;0.346;0.074;0.081;0.081;0.08;0.0;0.044;0.0;0.088;0.081
ENST00000509164_90_90;0.314;0.371;0.371;0.437;0.429;0.429;0.092;0.792;0.266;0.105;0.875;0.371;1.0;0.229;1.0;0.117;0.913;0.875;0.132;0.494;0.43;0.508;0.371;0.62;0.758;0.108;0.154;0.154;0.121;0.0;0.071;0.0;0.141;0.154
ENST00000509246_90_90;0.451;0.485;0.485;0.58;0.568;0.568;0.723;0.245;0.672;0.839;0.186;0.485;0.117;0.566;0.117;1.0;0.075;0.186;0.824;0.612;0.0;0.587;0.485;0.0;0.271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000509664_90_90;0.284;0.339;0.339;0.398;0.391;0.391;0.058;0.724;0.228;0.068;0.799;0.339;0.913;0.198;0.913;0.075;1.0;0.799;0.084;0.451;0.471;0.464;0.339;0.678;0.693;0.112;0.161;0.161;0.126;0.0;0.075;0.0;0.147;0.161
ENST00000509963_90_90;0.363;0.422;0.422;0.5;0.49;0.49;0.145;0.904;0.327;0.167;1.0;0.422;0.875;0.281;0.875;0.186;0.799;1.0;0.209;0.564;0.381;0.579;0.422;0.544;0.867;0.104;0.147;0.147;0.115;0.0;0.068;0.0;0.133;0.147
ENST00000510824_90_90;0.369;0.399;0.399;0.479;0.469;0.469;0.593;0.274;0.555;0.692;0.209;0.399;0.132;0.465;0.132;0.824;0.084;0.209;1.0;0.538;0.0;0.551;0.399;0.0;0.303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000511102_90_90;0.645;0.748;0.748;0.887;0.87;0.87;0.486;0.625;0.705;0.545;0.564;0.748;0.494;0.607;0.494;0.612;0.451;0.564;0.538;1.0;0.215;0.974;0.748;0.307;0.651;0.078;0.107;0.107;0.085;0.0;0.047;0.0;0.093;0.107
ENST00000511662_90_90;0.159;0.162;0.162;0.189;0.185;0.185;0.0;0.346;0.138;0.0;0.381;0.162;0.43;0.119;0.43;0.0;0.471;0.381;0.0;0.215;1.0;0.222;0.162;0.69;0.33;0.138;0.205;0.205;0.158;0.0;0.102;0.0;0.194;0.205
ENST00000512236_90_90;0.627;0.728;0.728;0.865;0.848;0.848;0.465;0.641;0.683;0.523;0.579;0.728;0.508;0.587;0.508;0.587;0.464;0.579;0.551;0.974;0.222;1.0;0.728;0.317;0.669;0.08;0.11;0.11;0.087;0.0;0.048;0.0;0.096;0.11
