;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.368;0.286;0.286;0.465;0.093;0.239;0.2;0.311;0.096;0.284;0.319;0.319;0.319;0.241;0.453;0.093;0.096;0.869;0.869;0.782;0.619;0.375;0.36
ENST00000249647_90_90;0.368;1.0;0.586;0.586;0.719;0.127;0.666;0.173;0.406;0.13;0.702;0.331;0.331;0.331;0.673;0.625;0.127;0.13;0.398;0.398;0.366;0.275;0.324;0.312
ENST00000349777_90_90;0.286;0.586;1.0;1.0;0.388;0.217;0.27;0.276;0.688;0.223;0.288;0.516;0.516;0.516;0.274;0.43;0.217;0.223;0.324;0.324;0.291;0.44;0.531;0.518
ENST00000397138_90_90;0.286;0.586;1.0;1.0;0.388;0.217;0.27;0.276;0.688;0.223;0.288;0.516;0.516;0.516;0.274;0.43;0.217;0.223;0.324;0.324;0.291;0.44;0.531;0.518
ENST00000561526_90_90;0.465;0.719;0.388;0.388;1.0;0.179;0.494;0.24;0.438;0.186;0.576;0.481;0.481;0.481;0.498;0.869;0.179;0.186;0.502;0.502;0.457;0.362;0.472;0.469
ENST00000563765_90_90;0.093;0.127;0.217;0.217;0.179;1.0;0.0;0.0;0.248;0.558;0.0;0.248;0.248;0.248;0.0;0.203;1.0;0.558;0.122;0.122;0.111;0.172;0.227;0.263
ENST00000563830_90_90;0.239;0.666;0.27;0.27;0.494;0.0;1.0;0.2;0.117;0.0;0.853;0.126;0.126;0.126;0.887;0.398;0.0;0.0;0.244;0.244;0.223;0.107;0.13;0.108
ENST00000563873_90_90;0.2;0.173;0.276;0.276;0.24;0.0;0.2;1.0;0.312;0.0;0.188;0.319;0.319;0.319;0.186;0.268;0.0;0.0;0.205;0.205;0.184;0.284;0.359;0.331
ENST00000564153_90_90;0.311;0.406;0.688;0.688;0.438;0.248;0.117;0.312;1.0;0.256;0.16;0.594;0.594;0.594;0.118;0.49;0.248;0.256;0.351;0.351;0.315;0.489;0.613;0.606
ENST00000566035_90_90;0.096;0.13;0.223;0.223;0.186;0.558;0.0;0.0;0.256;1.0;0.0;0.26;0.26;0.26;0.0;0.212;0.558;1.0;0.126;0.126;0.113;0.177;0.238;0.277
ENST00000566327_90_90;0.284;0.702;0.288;0.288;0.576;0.0;0.853;0.188;0.16;0.0;1.0;0.169;0.169;0.169;0.866;0.471;0.0;0.0;0.29;0.29;0.264;0.146;0.177;0.157
ENST00000567094_90_90;0.319;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568331_90_90;0.319;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568451_90_90;0.319;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568841_90_90;0.241;0.673;0.274;0.274;0.498;0.0;0.887;0.186;0.118;0.0;0.866;0.128;0.128;0.128;1.0;0.401;0.0;0.0;0.246;0.246;0.225;0.108;0.132;0.111
ENST00000568859_90_90;0.453;0.625;0.43;0.43;0.869;0.203;0.398;0.268;0.49;0.212;0.471;0.543;0.543;0.543;0.401;1.0;0.203;0.212;0.494;0.494;0.447;0.399;0.535;0.536
